State,City,Investment,Revenue,Date,Property Type
AL,MONTGOMERY,"$1,766,343.81","$1,958,840.00",2011-01-01,Commercial 
AL,MONTGOMERY,"$405,504.19","$502,807.50",2011-01-05,Land
AL,MONTGOMERY,"$1,127,046.61","$1,381,320.00",2011-01-06,Industrial
AL,MONTGOMERY,"$329,862.23","$396,273.75",2011-01-13,Land
AL,MONTGOMERY,"$216,068.89","$255,000.00",2011-01-18,Commercial 
AL,MONTGOMERY,"$781,632.83","$638,970.00",2011-01-24,Land
AL,MONTGOMERY,"$673,714.11","$925,342.50",2011-01-31,Industrial
AL,MONTGOMERY,"$443,634.62","$762,065.00",2011-02-01,Residential
AL,MONTGOMERY,"$37,770.05","$33,888.75",2011-02-01,Land
AL,MONTGOMERY,"$2,443,321.77","$1,904,840.00",2011-02-04,Commercial 
AL,MONTGOMERY,"$214,295.66","$235,715.00",2011-02-05,Residential
AL,MONTGOMERY,"$72,184.27","$105,595.00",2011-02-07,Residential
AL,MONTGOMERY,"$606,872.57","$467,775.00",2011-02-08,Land
AL,MONTGOMERY,"$1,317,112.68","$1,467,710.00",2011-02-10,Commercial 
AL,MONTGOMERY,"$287,037.40","$402,701.25",2011-02-10,Land
AL,MONTGOMERY,"$405,124.51","$510,592.50",2011-02-16,Industrial
AL,MONTGOMERY,"$1,191,232.66","$1,548,900.00",2011-02-18,Commercial 
AL,MONTGOMERY,"$82,515.77","$112,840.00",2011-02-18,Residential
AL,MONTGOMERY,"$992,874.21","$751,050.00",2011-02-23,Commercial 
AL,MONTGOMERY,"$538,342.16","$846,920.00",2011-02-26,Residential
AL,MONTGOMERY,"$859,267.76","$725,947.50",2011-03-01,Land
AL,MONTGOMERY,"$1,575,924.43","$1,421,557.50",2011-03-02,Industrial
AL,MONTGOMERY,"$1,465,771.37","$1,235,467.50",2011-03-05,Industrial
AL,MONTGOMERY,"$324,404.24","$431,583.75",2011-03-10,Land
AL,MONTGOMERY,"$586,270.77","$847,970.00",2011-03-11,Residential
AL,MONTGOMERY,"$121,975.49","$163,095.00",2011-03-15,Industrial
AL,MONTGOMERY,"$537,644.16","$747,195.00",2011-03-16,Industrial
AL,MONTGOMERY,"$345,858.14","$376,240.00",2011-03-21,Residential
AL,MONTGOMERY,"$559,335.39","$824,345.00",2011-03-24,Residential
AL,MONTGOMERY,"$710,631.23","$809,910.00",2011-03-27,Industrial
AL,MONTGOMERY,"$581,945.05","$480,435.00",2011-03-28,Industrial
AL,MONTGOMERY,"$537,310.21","$704,872.50",2011-04-06,Industrial
AL,MONTGOMERY,"$911,421.86","$879,840.00",2011-04-07,Residential
AL,MONTGOMERY,"$715,327.59","$604,728.75",2011-04-07,Land
AL,MONTGOMERY,"$555,155.34","$631,095.00",2011-04-11,Industrial
AL,MONTGOMERY,"$100,180.55","$154,335.00",2011-04-14,Residential
AL,MONTGOMERY,"$333,052.79","$323,955.00",2011-04-16,Residential
AL,MONTGOMERY,"$343,228.53","$296,985.00",2011-04-22,Land
AL,MONTGOMERY,"$110,106.18","$188,840.00",2011-04-22,Residential
AL,MONTGOMERY,"$261,795.21","$270,750.00",2011-04-25,Residential
AL,MONTGOMERY,"$663,330.56","$636,270.00",2011-05-10,Industrial
AL,MONTGOMERY,"$559,743.75","$786,295.00",2011-05-27,Residential
AL,MONTGOMERY,"$564,596.14","$767,963.22",2011-06-02,Commercial 
AL,MONTGOMERY,"$273,029.89","$402,995.14",2011-06-04,Land
AL,MONTGOMERY,"$280,085.67","$285,562.54",2011-06-13,Residential
AL,MONTGOMERY,"$497,121.45","$583,352.79",2011-06-15,Land
AL,MONTGOMERY,"$2,003,752.40","$1,482,073.37",2011-06-17,Commercial 
AL,MONTGOMERY,"$741,086.25","$579,186.80",2011-06-20,Commercial 
AL,MONTGOMERY,"$48,714.57","$60,337.21",2011-06-23,Commercial 
AL,MONTGOMERY,"$89,741.15","$75,966.18",2011-06-25,Industrial
AL,MONTGOMERY,"$142,264.73","$236,255.39",2011-06-28,Residential
AL,MONTGOMERY,"$451,959.45","$433,672.01",2011-07-05,Land
AL,MONTGOMERY,"$490,539.95","$688,402.75",2011-07-06,Land
AL,MONTGOMERY,"$716,875.03","$642,818.46",2011-07-11,Industrial
AL,MONTGOMERY,"$1,215,610.21","$990,881.38",2011-07-12,Industrial
AL,MONTGOMERY,"$160,305.85","$242,110.30",2011-07-12,Land
AL,MONTGOMERY,"$885,419.88","$1,074,771.98",2011-07-19,Industrial
AL,MONTGOMERY,"$372,926.44","$306,257.11",2011-07-22,Land
AL,MONTGOMERY,"$364,935.03","$323,349.66",2011-07-23,Land
AL,MONTGOMERY,"$449,854.59","$782,788.15",2011-07-30,Residential
AL,MONTGOMERY,"$419,505.01","$522,626.18",2011-07-31,Commercial 
AL,MONTGOMERY,"$284,445.99","$348,543.58",2011-08-04,Land
AL,MONTGOMERY,"$463,068.52","$648,818.04",2011-08-10,Industrial
AL,MONTGOMERY,"$835,635.23","$907,982.24",2011-08-11,Residential
AL,MONTGOMERY,"$1,346,021.76","$1,851,192.41",2011-08-13,Commercial 
AL,MONTGOMERY,"$708,873.46","$673,664.84",2011-08-14,Land
AL,MONTGOMERY,"$480,209.40","$668,218.45",2011-08-15,Land
AL,MONTGOMERY,"$553,571.41","$464,334.15",2011-08-18,Industrial
AL,MONTGOMERY,"$614,554.91","$929,646.18",2011-08-20,Industrial
AL,MONTGOMERY,"$1,471,347.12","$1,362,737.02",2011-08-20,Commercial 
