State,City,Investment,Revenue,Date,Property Type
AZ,PHEONIX,"$374,291.56","$467,150.00",2011-01-05,Commercial 
AZ,PHEONIX,"$491,382.30","$406,185.00",2011-01-08,Land
AZ,PHEONIX,"$539,729.97","$471,660.00",2011-01-08,Land
AZ,PHEONIX,"$517,204.11","$445,788.75",2011-01-11,Land
AZ,PHEONIX,"$37,297.29","$65,275.00",2011-01-18,Residential
AZ,PHEONIX,"$145,561.49","$124,620.00",2011-01-24,Industrial
AZ,PHEONIX,"$257,163.33","$305,227.50",2011-01-25,Industrial
AZ,PHEONIX,"$57,862.76","$91,220.00",2011-01-26,Residential
AZ,PHEONIX,"$156,181.21","$269,145.00",2011-01-26,Residential
AZ,PHEONIX,"$1,097,582.24","$1,382,955.00",2011-01-28,Industrial
AZ,PHEONIX,"$643,496.87","$818,865.00",2011-02-17,Industrial
AZ,PHEONIX,"$1,794,129.73","$1,628,760.00",2011-02-18,Commercial 
AZ,PHEONIX,"$299,968.46","$503,085.00",2011-02-20,Residential
AZ,PHEONIX,"$151,830.54","$116,411.25",2011-02-24,Land
AZ,PHEONIX,"$531,056.30","$412,852.50",2011-03-03,Industrial
AZ,PHEONIX,"$295,445.83","$241,340.00",2011-03-06,Commercial 
AZ,PHEONIX,"$456,074.58","$653,630.00",2011-03-25,Residential
AZ,PHEONIX,"$696,198.23","$842,830.00",2011-03-25,Commercial 
AZ,PHEONIX,"$808,983.36","$927,985.00",2011-03-30,Residential
AZ,PHEONIX,"$634,508.58","$510,675.00",2011-03-31,Industrial
AZ,PHEONIX,"$457,773.81","$467,985.00",2011-04-08,Residential
AZ,PHEONIX,"$423,637.26","$521,130.00",2011-04-15,Commercial 
AZ,PHEONIX,"$243,357.43","$322,571.25",2011-04-16,Land
AZ,PHEONIX,"$593,363.59","$462,060.00",2011-04-21,Industrial
AZ,PHEONIX,"$1,053,006.79","$853,530.00",2011-04-22,Commercial 
AZ,PHEONIX,"$205,975.38","$314,490.00",2011-04-26,Residential
AZ,PHEONIX,"$245,904.92","$188,223.75",2011-04-29,Land
AZ,PHEONIX,"$277,223.91","$422,600.00",2011-04-30,Residential
AZ,PHEONIX,"$1,296,197.37","$1,050,840.00",2011-04-30,Industrial
AZ,PHEONIX,"$879,989.85","$792,802.50",2011-05-06,Industrial
AZ,PHEONIX,"$39,496.95","$54,420.00",2011-05-07,Land
AZ,PHEONIX,"$280,171.22","$478,470.00",2011-05-09,Residential
AZ,PHEONIX,"$1,367,595.54","$1,165,995.00",2011-05-11,Industrial
AZ,PHEONIX,"$2,243,506.00","$1,714,220.00",2011-05-15,Commercial 
AZ,PHEONIX,"$787,249.05","$615,900.00",2011-05-15,Commercial 
AZ,PHEONIX,"$366,171.26","$333,915.00",2011-05-22,Land
AZ,PHEONIX,"$477,422.47","$379,820.00",2011-05-27,Commercial 
AZ,PHEONIX,"$433,864.38","$556,507.50",2011-05-29,Industrial
AZ,PHEONIX,"$142,405.37","$149,248.80",2011-06-04,Residential
AZ,PHEONIX,"$281,666.57","$448,914.11",2011-06-06,Residential
AZ,PHEONIX,"$727,867.18","$989,059.47",2011-06-07,Industrial
AZ,PHEONIX,"$449,297.93","$593,150.96",2011-06-08,Commercial 
AZ,PHEONIX,"$1,774,656.52","$1,512,820.98",2011-06-10,Industrial
AZ,PHEONIX,"$819,565.02","$923,510.82",2011-06-17,Industrial
AZ,PHEONIX,"$261,218.12","$232,486.55",2011-06-23,Industrial
AZ,PHEONIX,"$240,367.76","$336,628.50",2011-06-28,Land
AZ,PHEONIX,"$263,209.40","$267,947.04",2011-07-01,Industrial
AZ,PHEONIX,"$207,187.96","$249,366.47",2011-07-01,Residential
AZ,PHEONIX,"$717,144.56","$658,798.66",2011-07-09,Land
AZ,PHEONIX,"$732,434.27","$800,929.51",2011-07-10,Residential
AZ,PHEONIX,"$253,549.12","$297,516.77",2011-07-10,Industrial
AZ,PHEONIX,"$310,923.84","$272,978.64",2011-07-11,Land
AZ,PHEONIX,"$158,927.32","$148,616.29",2011-07-25,Land
AZ,PHEONIX,"$327,172.51","$535,418.23",2011-07-26,Residential
AZ,PHEONIX,"$201,943.81","$240,223.08",2011-08-02,Land
AZ,PHEONIX,"$182,648.22","$181,571.99",2011-08-04,Land
AZ,PHEONIX,"$437,857.33","$397,822.52",2011-08-04,Commercial 
AZ,PHEONIX,"$1,797,407.17","$1,460,648.98",2011-08-08,Commercial 
AZ,PHEONIX,"$342,651.03","$428,151.70",2011-08-18,Commercial 
AZ,PHEONIX,"$340,107.79","$572,230.37",2011-08-20,Residential
AZ,PHEONIX,"$1,241,853.92","$1,415,212.27",2011-08-28,Industrial
AZ,PHEONIX,"$470,231.37","$696,907.50",2011-09-03,Industrial
AZ,PHEONIX,"$266,262.09","$366,525.00",2011-09-11,Industrial
AZ,PHEONIX,"$908,990.94","$959,810.00",2011-09-11,Residential
AZ,PHEONIX,"$904,627.34","$756,170.00",2011-09-14,Commercial 
AZ,PHEONIX,"$1,069,746.55","$1,438,972.50",2011-09-17,Industrial
AZ,PHEONIX,"$650,003.23","$635,025.00",2011-09-20,Residential
AZ,PHEONIX,"$1,218,333.81","$1,033,930.00",2011-09-21,Commercial 
AZ,PHEONIX,"$571,848.83","$490,031.25",2011-09-22,Land
AZ,PHEONIX,"$812,066.13","$1,002,142.50",2011-09-23,Industrial
AZ,PHEONIX,"$302,302.14","$404,400.00",2011-09-25,Residential
AZ,PHEONIX,"$230,228.91","$348,805.00",2011-09-26,Residential
AZ,PHEONIX,"$1,246,870.50","$919,520.00",2011-10-01,Commercial 
AZ,PHEONIX,"$243,307.70","$201,052.50",2011-10-04,Industrial
AZ,PHEONIX,"$2,384,983.58","$1,878,320.00",2011-10-04,Commercial 
AZ,PHEONIX,"$85,240.09","$119,340.00",2011-10-11,Commercial 
