State,City,Investment,Revenue,Date,Property Type
CA,SAN JOSE,"$772,771.28","$742,443.96",2011-01-03,Land
CA,SAN FRANCISCO,"$255,637.46","$338,978.54",2011-01-05,Residential
CA,SAN DIEGO,"$910,904.59","$514,716.89",2011-01-05,Commercial 
CA,OAKLAND-EAST BAY,"$3,062,430.07","$1,820,630.91",2011-01-06,Commercial 
CA,SAN DIEGO,"$195,642.06","$126,895.28",2011-01-08,Industrial
CA,LOS ANGELES,"$2,954,619.79","$2,133,247.36",2011-01-08,Commercial 
CA,SAN FRANCISCO,"$242,084.64","$270,168.61",2011-01-10,Industrial
CA,SAN DIEGO,"$329,364.17","$454,896.35",2011-01-11,Residential
CA,SAN FRANCISCO,"$1,451,299.14","$1,498,210.91",2011-01-12,Commercial 
CA,LOS ANGELES,"$1,171,003.94","$683,819.16",2011-01-13,Commercial 
CA,LOS ANGELES,"$187,154.93","$205,531.71",2011-01-14,Commercial 
CA,OAKLAND-EAST BAY,"$229,240.22","$191,504.42",2011-01-14,Residential
CA,OAKLAND-EAST BAY,"$1,226,952.62","$1,563,793.06",2011-01-15,Industrial
CA,SAN FRANCISCO,"$812,481.97","$743,860.97",2011-01-17,Commercial 
CA,SAN FRANCISCO,"$963,702.35","$944,271.19",2011-01-18,Industrial
CA,SAN FRANCISCO,"$331,976.91","$359,952.74",2011-01-19,Commercial 
CA,ORANGE COUNTY,"$845,728.69","$965,018.56",2011-01-23,Commercial 
CA,SAN JOSE,"$1,057,809.33","$800,383.10",2011-01-24,Land
CA,SAN FRANCISCO,"$1,059,203.00","$1,273,036.69",2011-01-27,Industrial
CA,SAN FRANCISCO,"$1,352,184.49","$989,140.60",2011-01-27,Industrial
CA,SAN JOSE,"$198,011.17","$119,828.79",2011-01-29,Commercial 
CA,OAKLAND-EAST BAY,"$2,029,699.34","$1,982,117.85",2011-01-30,Commercial 
CA,SAN DIEGO,"$864,683.47","$981,959.69",2011-02-02,Industrial
CA,SAN FRANCISCO,"$443,708.11","$462,392.53",2011-02-02,Industrial
CA,SAN DIEGO,"$249,357.43","$223,776.01",2011-02-03,Residential
CA,ORANGE COUNTY,"$599,967.85","$614,325.82",2011-02-03,Residential
CA,SAN DIEGO,"$1,491,636.02","$1,062,700.85",2011-02-05,Industrial
CA,OAKLAND-EAST BAY,"$1,785,842.36","$1,165,215.48",2011-02-05,Industrial
CA,ORANGE COUNTY,"$143,299.65","$114,019.68",2011-02-07,Land
CA,OAKLAND-EAST BAY,"$754,245.71","$825,441.73",2011-02-09,Residential
CA,LOS ANGELES,"$1,821,897.21","$1,217,116.30",2011-02-09,Industrial
CA,OAKLAND-EAST BAY,"$220,111.12","$148,272.02",2011-02-11,Industrial
CA,SAN FRANCISCO,"$958,969.66","$639,051.61",2011-02-12,Industrial
CA,OAKLAND-EAST BAY,"$705,509.37","$745,787.77",2011-02-14,Industrial
CA,ORANGE COUNTY,"$212,792.92","$148,814.73",2011-02-14,Land
CA,SAN FRANCISCO,"$2,585,961.13","$1,632,264.24",2011-02-16,Commercial 
CA,LOS ANGELES,"$1,905,656.00","$1,439,687.37",2011-02-18,Commercial 
CA,SAN FRANCISCO,"$512,552.71","$573,653.39",2011-02-20,Residential
CA,LOS ANGELES,"$603,401.18","$738,184.72",2011-02-21,Residential
CA,SAN JOSE,"$1,096,253.34","$1,152,807.10",2011-02-21,Industrial
CA,ORANGE COUNTY,"$218,399.87","$199,474.88",2011-02-23,Commercial 
CA,SAN JOSE,"$1,910,476.13","$1,830,869.80",2011-02-25,Commercial 
CA,OAKLAND-EAST BAY,"$1,341,581.68","$1,321,726.60",2011-02-28,Industrial
CA,SAN FRANCISCO,"$241,597.31","$236,211.46",2011-03-01,Industrial
CA,SAN FRANCISCO,"$1,075,814.40","$1,224,945.43",2011-03-01,Industrial
CA,SAN JOSE,"$57,731.23","$61,393.65",2011-03-04,Residential
CA,SAN DIEGO,"$37,479.75","$37,189.78",2011-03-05,Land
CA,SAN JOSE,"$892,169.43","$565,275.01",2011-03-06,Commercial 
CA,LOS ANGELES,"$1,800,913.50","$1,251,000.34",2011-03-06,Commercial 
CA,OAKLAND-EAST BAY,"$995,095.81","$755,186.19",2011-03-06,Residential
CA,SAN FRANCISCO,"$2,789,198.73","$1,843,558.21",2011-03-06,Commercial 
CA,LOS ANGELES,"$965,875.38","$620,794.27",2011-03-07,Land
CA,SAN JOSE,"$663,646.78","$652,492.46",2011-03-09,Land
