State,City,Investment,Revenue,Date,Property Type
CO,DENVER,"$348,147.38","$384,740.00",2011-01-01,Commercial 
CO,DENVER,"$735,141.85","$546,140.00",2011-01-02,Commercial 
CO,DENVER,"$363,211.23","$472,691.25",2011-01-02,Land
CO,DENVER,"$694,264.86","$664,425.00",2011-01-06,Industrial
CO,DENVER,"$44,534.05","$41,590.00",2011-01-14,Residential
CO,DENVER,"$415,839.09","$325,507.50",2011-01-17,Land
CO,DENVER,"$367,450.54","$372,785.00",2011-01-28,Residential
CO,DENVER,"$1,660,280.48","$1,444,200.00",2011-02-11,Industrial
CO,DENVER,"$596,706.06","$497,516.25",2011-02-19,Land
CO,DENVER,"$514,834.87","$536,615.00",2011-02-21,Residential
CO,DENVER,"$608,809.26","$571,672.50",2011-02-24,Land
CO,DENVER,"$787,949.29","$882,322.50",2011-02-27,Industrial
CO,DENVER,"$309,255.21","$379,631.25",2011-02-28,Land
CO,DENVER,"$266,094.12","$370,455.00",2011-03-05,Industrial
CO,DENVER,"$458,307.21","$655,680.00",2011-03-11,Land
CO,DENVER,"$736,980.61","$1,073,017.50",2011-03-19,Industrial
CO,DENVER,"$509,775.03","$620,073.75",2011-03-29,Land
CO,DENVER,"$475,568.50","$373,700.00",2011-04-05,Commercial 
CO,DENVER,"$941,662.34","$996,915.00",2011-04-18,Residential
CO,DENVER,"$1,335,809.05","$1,492,657.50",2011-04-25,Industrial
CO,DENVER,"$1,291,310.35","$1,256,077.50",2011-05-03,Industrial
CO,DENVER,"$488,949.84","$514,890.00",2011-05-08,Residential
CO,DENVER,"$296,435.07","$400,631.25",2011-05-09,Land
CO,DENVER,"$456,676.93","$369,626.25",2011-05-12,Land
CO,DENVER,"$116,535.46","$156,600.00",2011-05-29,Industrial
CO,DENVER,"$2,127,289.44","$1,963,488.17",2011-06-02,Commercial 
CO,DENVER,"$1,062,906.04","$1,313,200.99",2011-06-16,Commercial 
CO,DENVER,"$939,674.55","$769,144.62",2011-06-26,Commercial 
CO,DENVER,"$339,183.08","$522,227.41",2011-06-28,Land
CO,DENVER,"$368,971.21","$695,186.48",2011-07-06,Residential
CO,DENVER,"$733,829.72","$1,094,416.28",2011-07-14,Industrial
CO,DENVER,"$873,006.11","$1,205,861.45",2011-07-21,Industrial
CO,DENVER,"$358,303.46","$492,389.58",2011-07-22,Land
CO,DENVER,"$115,188.06","$152,894.03",2011-08-03,Land
CO,DENVER,"$780,628.32","$986,225.06",2011-08-08,Commercial 
CO,DENVER,"$834,920.65","$776,503.95",2011-08-08,Industrial
CO,DENVER,"$259,257.74","$223,279.73",2011-08-09,Land
CO,DENVER,"$571,220.37","$801,839.06",2011-08-24,Commercial 
CO,DENVER,"$465,993.97","$562,278.53",2011-08-31,Land
CO,DENVER,"$494,077.20","$632,621.25",2011-09-02,Land
CO,DENVER,"$394,915.66","$559,080.00",2011-09-03,Residential
CO,DENVER,"$291,352.34","$308,800.00",2011-09-14,Commercial 
CO,DENVER,"$2,042,891.04","$1,579,660.00",2011-09-21,Commercial 
CO,DENVER,"$174,606.16","$237,400.00",2011-09-26,Commercial 
CO,DENVER,"$1,537,303.16","$1,392,840.00",2011-10-05,Commercial 
CO,DENVER,"$907,961.19","$1,028,920.00",2011-10-05,Commercial 
CO,DENVER,"$432,084.65","$341,617.50",2011-10-10,Industrial
CO,DENVER,"$769,697.35","$965,452.50",2011-10-24,Industrial
CO,DENVER,"$147,842.45","$123,048.75",2011-10-25,Land
CO,DENVER,"$728,658.30","$724,410.00",2011-11-24,Residential
CO,DENVER,"$890,981.00","$772,147.50",2011-12-02,Industrial
