State,City,Investment,Revenue,Date,Property Type
CT,FAIRFIELD-NEW HAVEN,"$246,095.83","$411,695.00",2011-01-04,Residential
CT,FAIRFIELD-NEW HAVEN,"$1,626,788.50","$1,352,990.00",2011-01-09,Commercial 
CT,FAIRFIELD-NEW HAVEN,"$1,173,317.77","$927,510.00",2011-01-15,Commercial 
CT,FAIRFIELD-NEW HAVEN,"$847,950.20","$742,935.00",2011-01-21,Land
CT,FAIRFIELD-NEW HAVEN,"$497,236.00","$602,002.50",2011-01-24,Industrial
CT,FAIRFIELD-NEW HAVEN,"$1,806,657.08","$1,628,970.00",2011-01-27,Commercial 
CT,FAIRFIELD-NEW HAVEN,"$308,379.34","$275,520.00",2011-01-28,Residential
CT,FAIRFIELD-NEW HAVEN,"$169,053.99","$148,946.25",2011-01-30,Land
CT,FAIRFIELD-NEW HAVEN,"$617,657.40","$464,700.00",2011-02-22,Commercial 
CT,FAIRFIELD-NEW HAVEN,"$384,648.67","$322,470.00",2011-03-06,Industrial
CT,FAIRFIELD-NEW HAVEN,"$1,174,654.81","$851,300.00",2011-03-07,Commercial 
CT,FAIRFIELD-NEW HAVEN,"$176,900.14","$301,655.00",2011-03-08,Residential
CT,FAIRFIELD-NEW HAVEN,"$1,142,813.59","$973,040.00",2011-03-09,Commercial 
CT,FAIRFIELD-NEW HAVEN,"$1,849,328.30","$1,563,290.00",2011-03-12,Commercial 
CT,FAIRFIELD-NEW HAVEN,"$516,887.34","$667,511.25",2011-03-15,Land
CT,FAIRFIELD-NEW HAVEN,"$382,676.44","$518,595.00",2011-03-15,Land
CT,FAIRFIELD-NEW HAVEN,"$162,629.45","$125,530.00",2011-03-16,Commercial 
CT,FAIRFIELD-NEW HAVEN,"$426,652.97","$500,302.50",2011-03-18,Industrial
CT,FAIRFIELD-NEW HAVEN,"$675,913.13","$957,967.50",2011-03-20,Industrial
CT,FAIRFIELD-NEW HAVEN,"$326,069.37","$256,130.00",2011-03-29,Commercial 
CT,FAIRFIELD-NEW HAVEN,"$220,578.93","$372,135.00",2011-03-29,Residential
CT,FAIRFIELD-NEW HAVEN,"$1,699,886.44","$1,492,402.50",2011-04-02,Industrial
CT,FAIRFIELD-NEW HAVEN,"$1,766,173.62","$1,336,440.00",2011-04-06,Commercial 
CT,FAIRFIELD-NEW HAVEN,"$1,484,357.95","$1,385,730.00",2011-04-21,Industrial
CT,FAIRFIELD-NEW HAVEN,"$711,678.79","$1,038,750.00",2011-04-23,Industrial
CT,FAIRFIELD-NEW HAVEN,"$215,956.12","$207,990.00",2011-04-23,Residential
CT,FAIRFIELD-NEW HAVEN,"$1,195,188.07","$1,343,617.50",2011-04-29,Industrial
CT,FAIRFIELD-NEW HAVEN,"$1,944,470.27","$1,395,000.00",2011-05-02,Commercial 
CT,FAIRFIELD-NEW HAVEN,"$544,685.53","$889,305.00",2011-05-06,Residential
CT,FAIRFIELD-NEW HAVEN,"$263,724.78","$213,907.50",2011-05-08,Land
CT,FAIRFIELD-NEW HAVEN,"$1,559,378.91","$1,267,635.00",2011-05-13,Industrial
CT,FAIRFIELD-NEW HAVEN,"$925,579.26","$953,075.00",2011-05-18,Residential
CT,FAIRFIELD-NEW HAVEN,"$103,186.65","$136,575.00",2011-05-21,Residential
CT,FAIRFIELD-NEW HAVEN,"$112,150.51","$149,643.75",2011-05-23,Land
CT,FAIRFIELD-NEW HAVEN,"$137,075.75","$161,505.00",2011-05-27,Land
CT,FAIRFIELD-NEW HAVEN,"$309,233.87","$423,120.00",2011-05-29,Commercial 
CT,FAIRFIELD-NEW HAVEN,"$347,693.86","$305,737.50",2011-05-29,Industrial
CT,FAIRFIELD-NEW HAVEN,"$169,807.30","$260,286.55",2011-06-04,Land
CT,FAIRFIELD-NEW HAVEN,"$406,546.92","$671,876.36",2011-06-06,Residential
CT,FAIRFIELD-NEW HAVEN,"$101,816.02","$145,803.09",2011-06-12,Land
CT,FAIRFIELD-NEW HAVEN,"$286,837.06","$228,030.90",2011-06-13,Land
CT,FAIRFIELD-NEW HAVEN,"$54,314.54","$48,090.54",2011-06-14,Land
CT,FAIRFIELD-NEW HAVEN,"$285,953.31","$251,159.28",2011-06-16,Land
CT,FAIRFIELD-NEW HAVEN,"$561,222.79","$734,639.03",2011-06-23,Commercial 
CT,FAIRFIELD-NEW HAVEN,"$100,062.36","$80,740.02",2011-06-27,Land
CT,FAIRFIELD-NEW HAVEN,"$1,522,200.47","$2,009,146.72",2011-07-08,Commercial 
CT,FAIRFIELD-NEW HAVEN,"$847,877.76","$838,934.94",2011-07-21,Industrial
CT,FAIRFIELD-NEW HAVEN,"$94,152.04","$155,773.61",2011-07-26,Residential
CT,FAIRFIELD-NEW HAVEN,"$784,330.43","$598,534.94",2011-08-06,Land
CT,FAIRFIELD-NEW HAVEN,"$837,615.10","$875,683.29",2011-08-09,Residential
CT,FAIRFIELD-NEW HAVEN,"$1,036,762.82","$1,049,054.73",2011-08-17,Industrial
CT,FAIRFIELD-NEW HAVEN,"$346,329.88","$550,559.99",2011-08-20,Industrial
