State,City,Investment,Revenue,Date,Property Type
DC,WASHINGTON,"$365,463.64","$299,445.00",2011-01-02,Land
DC,WASHINGTON,"$686,302.56","$906,345.00",2011-01-03,Industrial
DC,WASHINGTON,"$2,185,691.74","$1,857,600.00",2011-01-05,Commercial 
DC,WASHINGTON,"$224,988.98","$304,541.25",2011-01-08,Land
DC,WASHINGTON,"$301,570.78","$392,542.50",2011-01-12,Industrial
DC,WASHINGTON,"$1,825,631.05","$1,439,250.00",2011-01-14,Industrial
DC,WASHINGTON,"$560,863.76","$589,230.00",2011-01-14,Commercial 
DC,WASHINGTON,"$1,598,695.23","$1,220,960.00",2011-01-15,Commercial 
DC,WASHINGTON,"$937,209.06","$710,820.00",2011-01-15,Industrial
DC,WASHINGTON,"$1,361,560.47","$1,250,870.00",2011-01-16,Commercial 
DC,WASHINGTON,"$528,451.15","$440,740.00",2011-01-17,Commercial 
DC,WASHINGTON,"$46,289.30","$58,135.00",2011-01-19,Residential
DC,WASHINGTON,"$574,754.08","$683,190.00",2011-01-20,Land
DC,WASHINGTON,"$27,922.21","$25,286.25",2011-01-23,Land
DC,WASHINGTON,"$236,981.30","$352,635.00",2011-01-23,Land
DC,WASHINGTON,"$84,031.75","$113,185.00",2011-01-23,Residential
DC,WASHINGTON,"$1,660,945.57","$1,273,140.00",2011-01-25,Commercial 
DC,WASHINGTON,"$2,015,977.85","$1,848,720.00",2011-01-28,Commercial 
DC,WASHINGTON,"$166,044.87","$128,508.75",2011-01-29,Land
DC,WASHINGTON,"$598,126.81","$607,230.00",2011-01-29,Residential
DC,WASHINGTON,"$613,838.58","$765,230.00",2011-01-31,Residential
DC,WASHINGTON,"$731,831.56","$675,742.50",2011-02-01,Land
DC,WASHINGTON,"$1,691,826.72","$1,222,250.00",2011-02-04,Commercial 
DC,WASHINGTON,"$790,779.25","$992,145.00",2011-02-04,Industrial
DC,WASHINGTON,"$1,155,852.97","$939,420.00",2011-02-05,Residential
DC,WASHINGTON,"$1,338,180.46","$1,645,080.00",2011-02-05,Commercial 
DC,WASHINGTON,"$1,042,550.17","$872,730.00",2011-02-09,Residential
DC,WASHINGTON,"$252,672.20","$241,660.00",2011-02-10,Residential
