State,City,Investment,Revenue,Date,Property Type
ID,IDAHO FALLS,"$336,843.40","$420,266.25",2011-01-01,Land
ID,IDAHO FALLS,"$338,426.30","$546,960.00",2011-01-01,Residential
ID,BOISE,"$384,790.86","$295,908.75",2011-01-01,Land
ID,BOISE,"$1,792,987.68","$1,468,240.00",2011-01-02,Commercial 
ID,IDAHO FALLS,"$855,234.03","$1,020,240.00",2011-01-06,Commercial 
ID,BOISE,"$26,344.23","$20,017.50",2011-01-08,Land
ID,BOISE,"$750,380.20","$752,825.00",2011-01-10,Residential
ID,IDAHO FALLS,"$286,846.02","$267,626.25",2011-01-13,Land
ID,BOISE,"$476,349.37","$638,245.00",2011-01-14,Residential
ID,BOISE,"$780,729.45","$810,245.00",2011-01-16,Residential
ID,BOISE,"$870,424.12","$963,305.00",2011-01-22,Residential
ID,IDAHO FALLS,"$168,753.62","$287,780.00",2011-01-28,Residential
ID,IDAHO FALLS,"$592,995.81","$525,690.00",2011-02-01,Commercial 
ID,BOISE,"$371,357.81","$506,970.00",2011-02-02,Residential
ID,IDAHO FALLS,"$724,095.04","$571,571.25",2011-02-03,Land
ID,IDAHO FALLS,"$434,768.95","$422,470.00",2011-02-05,Residential
ID,IDAHO FALLS,"$218,228.35","$261,307.50",2011-02-07,Industrial
ID,IDAHO FALLS,"$1,535,134.91","$1,631,060.00",2011-02-09,Commercial 
ID,IDAHO FALLS,"$566,828.48","$785,000.00",2011-02-10,Commercial 
ID,BOISE,"$633,557.62","$519,427.50",2011-02-10,Industrial
ID,BOISE,"$717,570.29","$589,155.00",2011-02-14,Land
ID,BOISE,"$546,892.52","$948,790.00",2011-02-16,Residential
ID,IDAHO FALLS,"$257,916.04","$426,670.00",2011-02-19,Residential
ID,IDAHO FALLS,"$89,863.63","$122,835.00",2011-02-19,Land
ID,IDAHO FALLS,"$624,316.36","$717,258.75",2011-02-20,Land
ID,IDAHO FALLS,"$699,586.17","$617,752.50",2011-02-24,Land
ID,IDAHO FALLS,"$1,219,245.47","$1,395,690.00",2011-02-24,Commercial 
ID,IDAHO FALLS,"$800,200.19","$637,548.75",2011-02-25,Land
ID,BOISE,"$177,357.82","$151,612.50",2011-02-26,Industrial
ID,BOISE,"$969,901.48","$1,071,770.00",2011-03-01,Commercial 
ID,BOISE,"$243,917.54","$219,900.00",2011-03-04,Industrial
ID,IDAHO FALLS,"$446,858.02","$620,450.00",2011-03-04,Commercial 
ID,IDAHO FALLS,"$627,374.72","$988,215.00",2011-03-11,Residential
ID,IDAHO FALLS,"$428,064.66","$343,132.50",2011-03-18,Industrial
