State,City,Investment,Revenue,Date,Property Type
IL,CHICAGO,"$433,431.40","$503,130.00",2011-01-14,Land
IL,CHICAGO,"$259,408.33","$200,943.75",2011-01-17,Land
IL,ROCKFORD,"$196,589.55","$272,250.00",2011-01-19,Residential
IL,ROCKFORD,"$412,275.77","$403,060.00",2011-01-20,Residential
IL,CHICAGO,"$1,012,240.76","$1,153,485.00",2011-01-22,Industrial
IL,ROCKFORD,"$958,778.66","$982,625.00",2011-01-24,Residential
IL,ROCKFORD,"$1,101,733.52","$1,073,820.00",2011-01-24,Industrial
IL,CHICAGO,"$240,346.45","$250,770.00",2011-01-29,Residential
IL,CHICAGO,"$908,208.62","$886,250.00",2011-02-03,Residential
IL,CHICAGO,"$359,085.62","$422,250.00",2011-02-03,Industrial
IL,CHICAGO,"$358,856.36","$298,192.50",2011-02-05,Industrial
IL,ROCKFORD,"$367,953.43","$442,597.50",2011-02-08,Land
IL,CHICAGO,"$1,719,651.66","$1,469,302.50",2011-02-09,Industrial
IL,CHICAGO,"$252,400.08","$420,555.00",2011-02-10,Residential
IL,ROCKFORD,"$665,093.12","$618,885.00",2011-02-13,Residential
IL,CHICAGO,"$348,241.85","$301,780.00",2011-02-15,Commercial 
IL,CHICAGO,"$1,039,250.44","$877,690.00",2011-02-18,Commercial 
IL,ROCKFORD,"$664,474.43","$592,170.00",2011-02-19,Industrial
IL,CHICAGO,"$1,707,850.36","$1,400,692.50",2011-02-20,Industrial
IL,ROCKFORD,"$1,610,374.26","$1,336,192.50",2011-02-23,Industrial
IL,ROCKFORD,"$483,028.32","$540,850.00",2011-02-26,Residential
IL,ROCKFORD,"$645,970.54","$939,435.00",2011-02-28,Residential
IL,CHICAGO,"$958,488.15","$1,253,302.50",2011-03-02,Industrial
IL,CHICAGO,"$1,151,357.69","$973,515.00",2011-03-05,Industrial
IL,ROCKFORD,"$428,361.54","$358,443.75",2011-03-13,Land
IL,ROCKFORD,"$442,492.25","$525,830.00",2011-03-14,Commercial 
IL,CHICAGO,"$267,427.02","$220,758.75",2011-03-15,Land
IL,ROCKFORD,"$957,587.74","$825,060.00",2011-03-19,Commercial 
IL,CHICAGO,"$516,780.53","$436,867.50",2011-03-23,Land
IL,CHICAGO,"$39,155.38","$45,247.50",2011-03-23,Land
IL,ROCKFORD,"$233,063.98","$202,010.00",2011-03-24,Commercial 
IL,CHICAGO,"$237,254.54","$345,570.00",2011-03-24,Industrial
IL,ROCKFORD,"$519,210.68","$908,820.00",2011-03-26,Residential
IL,ROCKFORD,"$496,656.02","$510,225.00",2011-03-26,Residential
IL,ROCKFORD,"$84,261.12","$69,288.75",2011-03-27,Land
IL,CHICAGO,"$1,100,807.79","$1,356,540.00",2011-04-02,Commercial 
IL,ROCKFORD,"$517,267.31","$420,810.00",2011-04-12,Commercial 
IL,CHICAGO,"$653,480.85","$575,380.00",2011-04-13,Commercial 
IL,ROCKFORD,"$291,766.41","$241,263.75",2011-04-16,Land
IL,ROCKFORD,"$1,010,208.61","$1,266,052.50",2011-04-21,Industrial
IL,CHICAGO,"$1,295,408.79","$1,613,110.00",2011-04-27,Commercial 
IL,ROCKFORD,"$918,790.50","$954,135.00",2011-04-27,Residential
IL,ROCKFORD,"$1,075,197.43","$1,011,457.50",2011-05-05,Industrial
IL,CHICAGO,"$1,029,661.65","$923,767.50",2011-05-10,Industrial
IL,CHICAGO,"$165,653.64","$148,815.00",2011-05-18,Residential
IL,ROCKFORD,"$571,215.11","$726,468.75",2011-05-20,Land
IL,CHICAGO,"$192,927.41","$304,360.00",2011-05-20,Residential
IL,CHICAGO,"$445,901.28","$372,161.25",2011-05-21,Land
IL,ROCKFORD,"$2,084,978.58","$1,494,250.00",2011-05-24,Commercial 
IL,CHICAGO,"$953,958.31","$1,090,425.00",2011-05-31,Industrial
IL,ROCKFORD,"$1,673,663.34","$1,257,774.46",2011-06-10,Commercial 
IL,ROCKFORD,"$765,182.60","$901,098.31",2011-06-12,Commercial 
IL,ROCKFORD,"$58,610.02","$79,567.88",2011-06-14,Land
IL,CHICAGO,"$98,452.79","$160,361.70",2011-06-14,Residential
IL,ROCKFORD,"$471,344.25","$478,184.12",2011-06-15,Residential
IL,ROCKFORD,"$1,294,897.78","$1,115,811.97",2011-06-15,Industrial
IL,CHICAGO,"$854,551.00","$1,213,090.86",2011-06-23,Commercial 
IL,CHICAGO,"$578,120.66","$837,023.35",2011-07-02,Industrial
IL,CHICAGO,"$911,785.81","$763,650.49",2011-07-06,Land
IL,ROCKFORD,"$509,095.06","$731,503.94",2011-07-15,Land
IL,ROCKFORD,"$564,150.02","$669,285.55",2011-07-15,Land
IL,ROCKFORD,"$314,561.09","$444,567.35",2011-07-18,Residential
IL,ROCKFORD,"$469,875.11","$804,811.68",2011-07-27,Residential
IL,ROCKFORD,"$182,989.98","$238,092.89",2011-07-28,Land
IL,CHICAGO,"$88,866.76","$76,706.57",2011-07-31,Commercial 
IL,ROCKFORD,"$1,014,749.83","$1,274,572.25",2011-08-09,Industrial
IL,CHICAGO,"$436,251.03","$618,961.30",2011-08-11,Land
IL,CHICAGO,"$1,370,960.25","$1,113,423.34",2011-08-17,Industrial
IL,CHICAGO,"$335,612.57","$444,399.77",2011-08-23,Land
IL,CHICAGO,"$1,515,726.99","$1,744,705.45",2011-08-24,Commercial 
IL,CHICAGO,"$243,366.33","$251,068.97",2011-08-27,Land
IL,ROCKFORD,"$321,155.65","$362,167.50",2011-09-02,Land
IL,ROCKFORD,"$1,982,532.26","$1,737,820.00",2011-09-04,Commercial 
IL,CHICAGO,"$204,057.69","$166,237.50",2011-09-14,Land
IL,CHICAGO,"$750,331.07","$685,297.50",2011-09-15,Industrial
IL,CHICAGO,"$885,032.38","$840,055.00",2011-09-19,Residential
IL,ROCKFORD,"$215,253.10","$307,340.00",2011-09-20,Residential
IL,CHICAGO,"$631,758.17","$740,145.00",2011-09-21,Land
IL,CHICAGO,"$122,129.73","$93,243.75",2011-09-23,Land
IL,CHICAGO,"$310,154.17","$299,677.50",2011-10-02,Land
IL,ROCKFORD,"$473,729.18","$410,328.75",2011-10-08,Land
IL,CHICAGO,"$492,310.74","$749,255.00",2011-10-15,Residential
IL,ROCKFORD,"$335,554.75","$397,402.50",2011-10-18,Land
IL,CHICAGO,"$89,823.22","$119,970.00",2011-10-30,Residential
IL,ROCKFORD,"$168,489.10","$224,805.00",2011-11-02,Industrial
IL,ROCKFORD,"$151,399.57","$170,580.00",2011-11-04,Residential
IL,CHICAGO,"$1,489,701.56","$1,439,497.50",2011-11-04,Industrial
IL,ROCKFORD,"$476,705.32","$359,148.75",2011-11-05,Land
IL,CHICAGO,"$815,844.25","$858,220.00",2011-11-06,Residential
IL,CHICAGO,"$223,797.47","$191,827.50",2011-11-07,Land
IL,ROCKFORD,"$2,257,873.54","$1,762,500.00",2011-11-08,Commercial 
IL,ROCKFORD,"$566,195.26","$678,378.75",2011-11-08,Land
IL,ROCKFORD,"$156,698.19","$144,150.00",2011-11-19,Commercial 
IL,ROCKFORD,"$659,775.05","$774,547.50",2011-11-19,Industrial
IL,ROCKFORD,"$1,110,358.21","$982,192.50",2011-11-21,Industrial
IL,CHICAGO,"$459,395.94","$419,720.00",2011-11-25,Commercial 
IL,CHICAGO,"$617,645.10","$993,290.00",2011-11-25,Residential
IL,CHICAGO,"$1,125,578.19","$1,409,227.50",2011-11-26,Industrial
IL,CHICAGO,"$510,104.20","$425,576.25",2011-11-29,Land
IL,CHICAGO,"$168,955.05","$228,540.00",2011-12-04,Land
IL,CHICAGO,"$930,922.97","$1,236,712.50",2011-12-05,Industrial
IL,CHICAGO,"$474,264.51","$613,053.75",2011-12-16,Land
IL,ROCKFORD,"$2,151,164.63","$1,794,910.00",2011-12-19,Commercial 
IL,CHICAGO,"$743,062.64","$959,632.50",2011-12-22,Industrial
IL,ROCKFORD,"$117,956.55","$147,945.00",2011-12-23,Industrial
IL,CHICAGO,"$887,432.56","$668,448.75",2011-12-28,Land
IL,CHICAGO,"$526,865.40","$641,298.75",2011-12-28,Land
IL,CHICAGO,"$220,257.49","$169,365.00",2011-12-30,Industrial
IL,CHICAGO,"$67,373.19","$58,811.25",2011-12-30,Land
IL,CHICAGO,"$370,268.75","$424,700.00",2011-12-31,Commercial 
IL,CHICAGO,"$260,037.64","$252,350.00",2012-01-01,Residential
IL,ROCKFORD,"$74,592.57","$104,690.00",2012-01-06,Commercial 
IL,CHICAGO,"$384,565.18","$326,180.00",2012-01-06,Commercial 
IL,ROCKFORD,"$730,911.26","$576,892.50",2012-01-13,Industrial
IL,ROCKFORD,"$492,695.28","$410,602.50",2012-01-16,Land
IL,CHICAGO,"$469,822.66","$650,600.00",2012-01-19,Commercial 
IL,CHICAGO,"$1,483,708.86","$1,270,060.00",2012-01-23,Commercial 
IL,CHICAGO,"$92,090.33","$148,525.00",2012-01-26,Residential
IL,CHICAGO,"$156,006.97","$130,310.00",2012-01-31,Commercial 
IL,ROCKFORD,"$477,871.06","$775,450.00",2012-01-31,Residential
IL,ROCKFORD,"$131,228.12","$109,698.75",2012-02-03,Land
IL,CHICAGO,"$316,496.60","$435,450.00",2012-02-04,Residential
IL,ROCKFORD,"$293,874.52","$329,422.50",2012-02-06,Industrial
IL,CHICAGO,"$870,301.28","$735,430.00",2012-02-10,Commercial 
IL,ROCKFORD,"$142,861.09","$177,922.50",2012-02-11,Industrial
IL,ROCKFORD,"$764,985.95","$615,093.75",2012-02-12,Land
IL,CHICAGO,"$672,606.03","$768,085.00",2012-02-14,Residential
IL,CHICAGO,"$209,684.97","$224,820.00",2012-02-16,Residential
IL,ROCKFORD,"$561,834.64","$675,810.00",2012-02-20,Land
IL,ROCKFORD,"$514,679.71","$390,847.50",2012-03-08,Industrial
IL,CHICAGO,"$442,220.80","$524,542.50",2012-03-10,Industrial
IL,ROCKFORD,"$171,987.04","$250,750.00",2012-03-12,Residential
IL,ROCKFORD,"$384,244.59","$519,832.50",2012-03-13,Land
IL,CHICAGO,"$291,456.17","$235,852.50",2012-03-17,Industrial
IL,ROCKFORD,"$2,026,981.48","$1,577,520.00",2012-03-17,Commercial 
IL,ROCKFORD,"$738,603.46","$854,647.50",2012-03-23,Industrial
IL,CHICAGO,"$404,537.60","$336,165.00",2012-03-26,Land
IL,CHICAGO,"$435,993.17","$609,806.25",2012-03-29,Land
IL,CHICAGO,"$125,826.09","$122,310.00",2012-03-29,Industrial
IL,ROCKFORD,"$941,061.60","$1,182,730.00",2012-04-01,Commercial 
IL,ROCKFORD,"$726,511.17","$852,270.00",2012-04-03,Commercial 
IL,ROCKFORD,"$238,095.08","$208,790.00",2012-04-07,Commercial 
IL,CHICAGO,"$1,082,628.37","$1,370,800.00",2012-04-09,Commercial 
IL,CHICAGO,"$2,514,325.05","$1,972,630.00",2012-04-11,Commercial 
IL,ROCKFORD,"$470,449.73","$367,518.75",2012-04-13,Land
IL,ROCKFORD,"$54,462.82","$65,505.00",2012-04-20,Land
IL,ROCKFORD,"$132,433.47","$126,310.00",2012-04-22,Residential
IL,CHICAGO,"$972,894.68","$893,122.50",2012-04-28,Industrial
IL,ROCKFORD,"$830,941.95","$792,865.00",2012-04-30,Residential
