State,City,Investment,Revenue,Date,Property Type
IN,FORT WAYNE,"$183,791.95","$269,535.00",2011-01-01,Residential
IN,FORT WAYNE,"$1,294,544.35","$1,122,802.50",2011-01-03,Industrial
IN,FORT WAYNE,"$233,358.73","$360,315.00",2011-01-06,Residential
IN,FORT WAYNE,"$1,619,591.36","$1,699,630.00",2011-01-06,Commercial 
IN,FORT WAYNE,"$997,634.65","$1,362,960.00",2011-01-09,Commercial 
IN,FORT WAYNE,"$1,551,497.30","$1,920,130.00",2011-01-14,Commercial 
IN,FORT WAYNE,"$523,128.12","$626,951.25",2011-01-15,Land
IN,FORT WAYNE,"$155,022.38","$130,586.25",2011-01-19,Land
IN,FORT WAYNE,"$154,246.89","$134,096.25",2011-01-22,Land
IN,FORT WAYNE,"$334,319.40","$536,310.00",2011-01-23,Residential
IN,FORT WAYNE,"$541,187.23","$625,751.25",2011-01-27,Land
IN,FORT WAYNE,"$507,315.06","$730,910.00",2011-01-30,Residential
IN,FORT WAYNE,"$634,601.32","$670,520.00",2011-01-30,Commercial 
IN,FORT WAYNE,"$632,508.93","$552,200.00",2011-01-31,Residential
IN,FORT WAYNE,"$354,422.29","$464,475.00",2011-01-31,Industrial
IN,FORT WAYNE,"$867,018.21","$1,231,455.00",2011-02-09,Industrial
IN,FORT WAYNE,"$966,837.22","$1,224,247.50",2011-02-09,Industrial
IN,FORT WAYNE,"$741,272.09","$678,487.50",2011-02-10,Industrial
IN,FORT WAYNE,"$620,409.45","$973,140.00",2011-02-14,Residential
IN,FORT WAYNE,"$752,408.02","$965,182.50",2011-02-19,Industrial
IN,FORT WAYNE,"$1,336,846.35","$1,517,350.00",2011-02-22,Commercial 
IN,FORT WAYNE,"$732,609.46","$605,602.50",2011-02-23,Land
IN,FORT WAYNE,"$558,751.05","$641,726.25",2011-02-24,Land
IN,FORT WAYNE,"$1,561,342.45","$1,193,960.00",2011-02-24,Commercial 
IN,FORT WAYNE,"$156,199.21","$202,640.00",2011-02-28,Residential
IN,FORT WAYNE,"$190,809.22","$166,297.50",2011-03-02,Land
IN,FORT WAYNE,"$992,568.05","$860,510.00",2011-03-09,Commercial 
IN,FORT WAYNE,"$876,929.99","$850,710.00",2011-03-13,Residential
IN,FORT WAYNE,"$254,905.16","$225,060.00",2011-03-14,Residential
IN,FORT WAYNE,"$411,476.62","$368,516.25",2011-03-15,Land
IN,FORT WAYNE,"$336,935.89","$478,357.50",2011-03-15,Land
IN,FORT WAYNE,"$908,920.87","$1,333,882.50",2011-03-20,Industrial
IN,FORT WAYNE,"$774,361.86","$700,070.00",2011-03-21,Residential
IN,FORT WAYNE,"$77,628.51","$75,712.50",2011-03-23,Industrial
IN,FORT WAYNE,"$2,229,317.19","$1,841,420.00",2011-03-23,Commercial 
IN,FORT WAYNE,"$646,530.40","$975,930.00",2011-03-25,Residential
