State,City,Investment,Revenue,Date,Property Type
LA,BATON ROUGE,"$709,196.98","$589,278.75",2011-01-01,Land
LA,BATON ROUGE,"$514,549.05","$427,645.00",2011-01-02,Residential
LA,BATON ROUGE,"$134,569.68","$111,037.50",2011-01-04,Industrial
LA,BATON ROUGE,"$615,334.53","$822,375.00",2011-01-05,Residential
LA,BATON ROUGE,"$772,368.06","$583,042.50",2011-01-07,Industrial
LA,BATON ROUGE,"$74,543.04","$90,030.00",2011-01-08,Industrial
LA,BATON ROUGE,"$100,750.29","$124,290.00",2011-01-08,Residential
LA,BATON ROUGE,"$414,979.62","$608,028.75",2011-01-09,Land
LA,BATON ROUGE,"$147,892.80","$144,185.00",2011-01-13,Residential
LA,BATON ROUGE,"$76,098.74","$71,418.75",2011-01-16,Land
LA,BATON ROUGE,"$753,704.51","$972,660.00",2011-01-20,Industrial
LA,BATON ROUGE,"$1,376,217.02","$1,164,940.00",2011-01-20,Commercial 
LA,BATON ROUGE,"$592,641.47","$493,608.75",2011-01-27,Land
LA,BATON ROUGE,"$252,941.81","$192,930.00",2011-02-04,Commercial 
LA,BATON ROUGE,"$351,158.33","$340,045.00",2011-02-05,Residential
LA,BATON ROUGE,"$207,033.71","$297,052.50",2011-02-11,Industrial
LA,BATON ROUGE,"$958,466.22","$949,135.00",2011-02-12,Residential
LA,BATON ROUGE,"$693,020.62","$891,150.00",2011-02-17,Industrial
LA,BATON ROUGE,"$418,213.77","$377,122.50",2011-02-20,Industrial
LA,BATON ROUGE,"$94,803.39","$95,680.00",2011-02-20,Residential
LA,BATON ROUGE,"$2,243,149.02","$1,775,660.00",2011-02-23,Commercial 
LA,BATON ROUGE,"$339,538.07","$305,050.00",2011-03-08,Residential
LA,BATON ROUGE,"$2,188,625.31","$1,732,720.00",2011-03-11,Commercial 
LA,BATON ROUGE,"$668,692.96","$530,595.00",2011-03-11,Land
LA,BATON ROUGE,"$300,354.70","$402,221.25",2011-03-12,Land
LA,BATON ROUGE,"$997,084.03","$918,130.00",2011-03-23,Residential
LA,BATON ROUGE,"$1,259,039.73","$1,050,907.50",2011-03-24,Industrial
LA,BATON ROUGE,"$338,641.77","$280,595.00",2011-03-25,Residential
LA,BATON ROUGE,"$583,327.07","$503,535.00",2011-03-26,Land
LA,BATON ROUGE,"$1,143,143.47","$962,935.00",2011-03-27,Residential
LA,BATON ROUGE,"$600,519.48","$534,585.00",2011-03-27,Land
LA,BATON ROUGE,"$1,703,426.78","$1,438,140.00",2011-04-08,Commercial 
LA,BATON ROUGE,"$411,359.01","$569,305.00",2011-04-08,Residential
LA,BATON ROUGE,"$259,376.78","$257,085.00",2011-04-11,Residential
LA,BATON ROUGE,"$163,058.42","$224,715.00",2011-04-12,Residential
