State,City,Investment,Revenue,Date,Property Type
MA,BOSTON,"$318,333.45","$429,217.50",2011-01-06,Land
MA,BOSTON,"$409,077.31","$389,955.00",2011-01-07,Residential
MA,BOSTON,"$197,123.16","$168,022.50",2011-01-11,Industrial
MA,BOSTON,"$290,136.82","$398,047.50",2011-01-18,Industrial
MA,BOSTON,"$439,816.84","$470,230.00",2011-01-21,Commercial 
MA,BOSTON,"$107,062.85","$86,865.00",2011-01-24,Land
MA,BOSTON,"$449,071.64","$576,716.25",2011-02-01,Land
MA,BOSTON,"$144,180.69","$136,185.00",2011-02-01,Industrial
MA,BOSTON,"$623,335.01","$531,660.00",2011-02-02,Commercial 
MA,BOSTON,"$364,351.80","$340,305.00",2011-02-02,Industrial
MA,BOSTON,"$41,368.96","$42,910.00",2011-02-04,Residential
MA,BOSTON,"$443,031.58","$390,678.75",2011-02-04,Land
MA,BOSTON,"$1,234,595.26","$1,452,157.50",2011-02-07,Industrial
MA,BOSTON,"$1,338,328.81","$994,200.00",2011-02-09,Commercial 
MA,BOSTON,"$468,103.09","$478,530.00",2011-02-10,Residential
MA,BOSTON,"$632,820.72","$745,170.00",2011-02-13,Industrial
MA,BOSTON,"$268,267.57","$212,400.00",2011-02-26,Industrial
MA,BOSTON,"$1,508,689.51","$1,371,370.00",2011-02-27,Commercial 
MA,BOSTON,"$134,957.50","$182,710.00",2011-03-03,Residential
MA,BOSTON,"$1,097,581.11","$1,017,172.50",2011-03-04,Industrial
MA,BOSTON,"$519,617.04","$633,220.00",2011-03-06,Residential
MA,BOSTON,"$307,626.36","$269,981.25",2011-03-06,Land
MA,BOSTON,"$1,138,290.68","$922,740.00",2011-03-11,Industrial
MA,BOSTON,"$508,397.50","$712,535.00",2011-03-12,Residential
MA,BOSTON,"$1,694,509.78","$1,340,810.00",2011-03-16,Commercial 
MA,BOSTON,"$671,823.96","$926,130.00",2011-03-19,Industrial
MA,BOSTON,"$724,199.96","$578,550.00",2011-03-20,Land
MA,BOSTON,"$65,115.20","$49,515.00",2011-03-25,Industrial
MA,BOSTON,"$912,689.53","$799,800.00",2011-03-26,Industrial
MA,BOSTON,"$238,457.86","$232,665.00",2011-04-28,Residential
MA,BOSTON,"$1,362,633.79","$1,795,020.00",2011-05-04,Commercial 
MA,BOSTON,"$326,284.65","$313,665.00",2011-05-07,Industrial
MA,BOSTON,"$881,392.08","$691,430.00",2011-05-10,Commercial 
MA,BOSTON,"$664,389.27","$671,400.00",2011-05-11,Residential
MA,BOSTON,"$208,282.27","$358,729.73",2011-06-05,Land
MA,BOSTON,"$408,830.42","$384,343.82",2011-06-07,Industrial
MA,BOSTON,"$158,646.93","$233,553.71",2011-06-14,Industrial
MA,BOSTON,"$1,104,815.69","$1,757,667.71",2011-06-24,Commercial 
MA,BOSTON,"$1,825,774.39","$2,401,220.05",2011-07-02,Commercial 
MA,BOSTON,"$637,187.09","$910,907.02",2011-07-06,Commercial 
MA,BOSTON,"$425,281.94","$590,328.79",2011-07-15,Land
MA,BOSTON,"$226,288.66","$259,263.91",2011-07-18,Industrial
MA,BOSTON,"$208,918.87","$318,439.48",2011-07-23,Land
MA,BOSTON,"$660,904.49","$642,054.91",2011-08-07,Residential
MA,BOSTON,"$300,671.35","$396,852.25",2011-08-17,Residential
MA,BOSTON,"$68,254.15","$98,032.50",2011-09-09,Industrial
MA,BOSTON,"$521,685.13","$522,595.00",2011-09-09,Residential
MA,BOSTON,"$466,057.37","$560,111.25",2011-09-17,Land
MA,BOSTON,"$869,031.84","$689,062.50",2011-09-20,Land
MA,BOSTON,"$645,738.94","$803,740.00",2011-09-22,Residential
MA,BOSTON,"$693,959.00","$796,372.50",2011-09-25,Industrial
MA,BOSTON,"$1,307,493.90","$1,553,840.00",2011-09-30,Commercial 
MA,BOSTON,"$1,225,059.72","$1,021,890.00",2011-10-07,Commercial 
MA,BOSTON,"$580,120.96","$474,380.00",2011-10-11,Residential
MA,BOSTON,"$393,224.69","$339,390.00",2011-10-25,Industrial
MA,BOSTON,"$64,987.62","$82,360.00",2011-10-27,Residential
MA,BOSTON,"$936,969.52","$1,068,430.00",2011-10-29,Commercial 
MA,BOSTON,"$1,809,145.25","$1,471,100.00",2011-10-31,Commercial 
MA,BOSTON,"$510,599.80","$417,795.00",2011-11-02,Land
MA,BOSTON,"$794,754.98","$661,395.00",2011-11-04,Industrial
MA,BOSTON,"$835,122.12","$703,871.25",2011-11-19,Land
MA,BOSTON,"$240,926.39","$200,925.00",2011-12-05,Land
MA,BOSTON,"$57,594.35","$69,832.50",2011-12-19,Industrial
MA,BOSTON,"$366,047.55","$306,960.00",2012-01-08,Commercial 
MA,BOSTON,"$309,838.11","$394,980.00",2012-01-22,Land
MA,BOSTON,"$519,074.58","$597,840.00",2012-01-23,Land
MA,BOSTON,"$716,155.34","$732,250.00",2012-01-25,Residential
MA,BOSTON,"$1,009,366.52","$973,740.00",2012-01-26,Residential
MA,BOSTON,"$605,757.45","$781,860.00",2012-02-15,Commercial 
MA,BOSTON,"$964,459.32","$1,184,430.00",2012-02-18,Commercial 
MA,BOSTON,"$880,398.73","$1,265,977.50",2012-02-25,Industrial
MA,BOSTON,"$488,990.02","$447,090.00",2012-02-29,Land
MA,BOSTON,"$432,575.37","$490,353.75",2012-03-04,Land
MA,BOSTON,"$1,274,848.59","$1,151,760.00",2012-03-09,Industrial
MA,BOSTON,"$357,071.45","$298,920.00",2012-03-10,Residential
MA,BOSTON,"$479,403.47","$717,270.00",2012-03-17,Residential
MA,BOSTON,"$490,366.48","$704,377.50",2012-03-19,Land
MA,BOSTON,"$331,189.45","$344,305.00",2012-03-31,Residential
MA,BOSTON,"$435,526.91","$601,166.25",2012-04-01,Land
MA,BOSTON,"$319,925.12","$415,147.50",2012-04-03,Industrial
MA,BOSTON,"$551,186.87","$528,060.00",2012-04-19,Residential
MA,BOSTON,"$892,927.39","$792,375.00",2012-04-24,Industrial
MA,BOSTON,"$713,340.06","$765,330.00",2012-05-01,Commercial 
MA,BOSTON,"$84,448.43","$93,480.00",2012-05-27,Commercial 
MA,BOSTON,"$424,498.18","$531,067.50",2012-05-30,Land
MA,BOSTON,"$758,438.91","$700,912.50",2012-05-31,Land
MA,BOSTON,"$471,427.98","$751,145.96",2012-06-04,Commercial 
MA,BOSTON,"$658,303.31","$739,417.79",2012-06-18,Residential
MA,BOSTON,"$788,512.12","$780,066.04",2012-06-21,Land
MA,BOSTON,"$364,959.09","$305,700.33",2012-06-24,Commercial 
MA,BOSTON,"$426,712.19","$531,320.17",2012-06-30,Residential
