State,City,Investment,Revenue,Date,Property Type
ME,PORTLAND,"$22,643.72","$30,965.00",2011-01-04,Residential
ME,PORTLAND,"$593,806.43","$489,547.50",2011-01-04,Land
ME,PORTLAND,"$2,238,206.33","$1,989,700.00",2011-01-06,Commercial 
ME,PORTLAND,"$590,764.09","$459,490.00",2011-01-07,Commercial 
ME,PORTLAND,"$220,264.82","$186,491.25",2011-01-08,Land
ME,PORTLAND,"$56,242.26","$82,875.00",2011-01-10,Residential
ME,PORTLAND,"$2,170,796.74","$1,566,240.00",2011-01-12,Commercial 
ME,PORTLAND,"$412,059.76","$343,308.75",2011-01-12,Land
ME,PORTLAND,"$657,982.44","$811,380.00",2011-01-13,Commercial 
ME,PORTLAND,"$603,776.50","$681,678.75",2011-01-15,Land
ME,PORTLAND,"$872,662.92","$1,200,290.00",2011-01-16,Commercial 
ME,PORTLAND,"$308,072.20","$320,160.00",2011-01-17,Residential
ME,PORTLAND,"$1,123,356.47","$1,443,750.00",2011-01-18,Commercial 
ME,PORTLAND,"$403,083.38","$568,211.25",2011-01-18,Land
ME,PORTLAND,"$171,525.65","$134,137.50",2011-01-18,Industrial
ME,PORTLAND,"$540,891.46","$658,310.00",2011-01-20,Residential
ME,PORTLAND,"$862,830.53","$870,710.00",2011-01-20,Residential
ME,PORTLAND,"$505,247.85","$706,670.00",2011-01-20,Commercial 
ME,PORTLAND,"$257,834.28","$339,515.00",2011-01-21,Residential
ME,PORTLAND,"$61,055.75","$80,340.00",2011-01-21,Commercial 
ME,PORTLAND,"$207,435.14","$271,192.50",2011-01-22,Industrial
ME,PORTLAND,"$152,597.38","$206,850.00",2011-01-23,Industrial
ME,PORTLAND,"$1,084,515.90","$822,490.00",2011-01-23,Commercial 
ME,PORTLAND,"$1,219,922.57","$1,447,490.00",2011-01-26,Commercial 
ME,PORTLAND,"$161,087.90","$221,820.00",2011-01-28,Industrial
ME,PORTLAND,"$2,527,240.19","$1,999,890.00",2011-01-29,Commercial 
ME,PORTLAND,"$674,415.09","$811,190.00",2011-01-29,Commercial 
ME,PORTLAND,"$941,672.73","$1,276,342.50",2011-01-31,Industrial
ME,PORTLAND,"$513,829.07","$423,375.00",2011-02-01,Land
ME,PORTLAND,"$130,631.27","$161,482.50",2011-02-01,Land
ME,PORTLAND,"$903,161.50","$830,980.00",2011-02-02,Residential
ME,PORTLAND,"$434,300.31","$376,875.00",2011-02-02,Land
ME,PORTLAND,"$30,517.82","$45,260.00",2011-02-04,Residential
ME,PORTLAND,"$920,265.00","$833,970.00",2011-02-06,Commercial 
ME,PORTLAND,"$1,019,137.51","$970,420.00",2011-02-07,Residential
ME,PORTLAND,"$630,567.71","$671,940.00",2011-02-07,Commercial 
ME,PORTLAND,"$209,941.03","$257,770.00",2011-02-07,Commercial 
ME,PORTLAND,"$1,706,855.56","$1,385,070.00",2011-02-07,Industrial
ME,PORTLAND,"$580,190.35","$480,810.00",2011-02-07,Industrial
ME,PORTLAND,"$273,083.13","$405,240.00",2011-02-11,Land
ME,PORTLAND,"$736,829.84","$895,297.50",2011-02-15,Industrial
ME,PORTLAND,"$1,591,874.71","$1,198,755.00",2011-02-16,Industrial
ME,PORTLAND,"$367,312.31","$423,405.00",2011-02-18,Industrial
ME,PORTLAND,"$773,144.29","$659,572.50",2011-02-19,Land
ME,PORTLAND,"$529,593.06","$432,536.25",2011-02-21,Land
ME,PORTLAND,"$348,353.03","$316,226.25",2011-02-22,Land
ME,PORTLAND,"$17,257.17","$26,345.00",2011-02-24,Residential
ME,PORTLAND,"$1,538,465.77","$1,900,910.00",2011-02-24,Commercial 
ME,PORTLAND,"$1,252,866.62","$1,620,130.00",2011-02-24,Commercial 
ME,PORTLAND,"$624,635.91","$727,395.00",2011-02-25,Industrial
ME,PORTLAND,"$1,768,451.67","$1,867,710.00",2011-02-26,Commercial 
ME,PORTLAND,"$625,673.91","$576,930.00",2011-02-26,Commercial 
ME,PORTLAND,"$940,062.52","$883,537.50",2011-02-27,Industrial
ME,PORTLAND,"$296,901.97","$328,790.00",2011-02-28,Commercial 
ME,PORTLAND,"$1,531,333.96","$1,726,280.00",2011-02-28,Commercial 
ME,PORTLAND,"$109,476.49","$141,120.00",2011-03-02,Residential
ME,PORTLAND,"$1,143,183.58","$953,535.00",2011-03-02,Industrial
ME,PORTLAND,"$779,041.30","$790,315.00",2011-03-03,Residential
ME,PORTLAND,"$1,272,751.89","$1,464,465.00",2011-03-05,Industrial
ME,PORTLAND,"$190,570.30","$182,970.00",2011-03-07,Residential
ME,PORTLAND,"$1,053,226.66","$884,450.00",2011-03-07,Commercial 
ME,PORTLAND,"$1,707,332.28","$1,381,760.00",2011-03-10,Commercial 
ME,PORTLAND,"$252,245.81","$309,671.25",2011-03-13,Land
ME,PORTLAND,"$68,236.93","$58,650.00",2011-03-15,Land
ME,PORTLAND,"$92,152.70","$80,955.00",2011-03-17,Industrial
ME,PORTLAND,"$1,767,681.17","$1,369,987.50",2011-03-19,Industrial
ME,PORTLAND,"$367,821.48","$498,220.00",2011-03-19,Residential
ME,PORTLAND,"$373,137.08","$492,530.00",2011-03-21,Commercial 
ME,PORTLAND,"$342,117.44","$325,207.50",2011-03-21,Land
ME,PORTLAND,"$775,288.48","$708,615.00",2011-03-23,Residential
ME,PORTLAND,"$712,956.57","$675,785.00",2011-03-24,Residential
ME,PORTLAND,"$1,029,020.53","$840,530.00",2011-03-25,Residential
ME,PORTLAND,"$101,394.56","$141,363.75",2011-03-26,Land
ME,PORTLAND,"$466,845.45","$678,603.75",2011-03-26,Land
ME,PORTLAND,"$1,432,456.55","$1,204,170.00",2011-03-27,Industrial
ME,PORTLAND,"$303,218.30","$399,945.00",2011-03-30,Industrial
ME,PORTLAND,"$983,463.74","$741,705.00",2011-03-31,Land
ME,PORTLAND,"$664,510.86","$645,405.00",2011-04-01,Residential
ME,PORTLAND,"$447,335.75","$697,535.00",2011-04-01,Residential
ME,PORTLAND,"$1,196,673.33","$1,568,600.00",2011-04-02,Commercial 
ME,PORTLAND,"$602,044.05","$811,670.00",2011-04-02,Commercial 
ME,PORTLAND,"$121,029.15","$157,301.25",2011-04-03,Land
ME,PORTLAND,"$914,932.63","$692,145.00",2011-04-03,Land
ME,PORTLAND,"$1,383,737.26","$1,046,985.00",2011-04-04,Industrial
ME,PORTLAND,"$398,848.93","$450,750.00",2011-04-08,Commercial 
ME,PORTLAND,"$249,784.48","$348,500.00",2011-04-10,Residential
ME,PORTLAND,"$647,567.08","$546,382.50",2011-04-10,Land
ME,PORTLAND,"$213,907.01","$274,620.00",2011-04-11,Land
ME,PORTLAND,"$606,811.97","$708,390.00",2011-04-12,Commercial 
ME,PORTLAND,"$914,473.25","$1,138,665.00",2011-04-12,Industrial
ME,PORTLAND,"$1,648,980.89","$1,341,600.00",2011-04-14,Commercial 
ME,PORTLAND,"$1,032,023.61","$890,105.00",2011-04-15,Residential
ME,PORTLAND,"$455,490.34","$539,380.00",2011-04-16,Commercial 
ME,PORTLAND,"$827,369.71","$724,980.00",2011-04-16,Commercial 
ME,PORTLAND,"$97,260.46","$75,746.25",2011-04-17,Land
ME,PORTLAND,"$403,629.06","$462,082.50",2011-04-18,Industrial
ME,PORTLAND,"$1,135,626.40","$886,120.00",2011-04-18,Commercial 
ME,PORTLAND,"$218,201.84","$193,835.00",2011-04-18,Residential
ME,PORTLAND,"$1,003,124.17","$865,350.00",2011-04-19,Commercial 
ME,PORTLAND,"$86,266.84","$70,150.00",2011-04-19,Residential
ME,PORTLAND,"$41,657.05","$54,520.00",2011-04-19,Commercial 
ME,PORTLAND,"$123,159.17","$99,772.50",2011-04-21,Land
ME,PORTLAND,"$333,995.55","$437,500.00",2011-04-24,Residential
ME,PORTLAND,"$2,501,608.58","$1,784,060.00",2011-04-25,Commercial 
ME,PORTLAND,"$125,799.24","$106,140.00",2011-04-26,Residential
ME,PORTLAND,"$283,921.82","$357,206.25",2011-04-27,Land
ME,PORTLAND,"$435,802.87","$626,620.00",2011-04-28,Residential
ME,PORTLAND,"$452,177.68","$553,447.50",2011-04-29,Land
ME,PORTLAND,"$2,530,888.33","$1,964,980.00",2011-04-30,Commercial 
ME,PORTLAND,"$775,013.25","$688,020.00",2011-04-30,Land
ME,PORTLAND,"$564,859.40","$731,355.00",2011-04-30,Residential
ME,PORTLAND,"$530,553.12","$717,157.50",2011-04-30,Land
ME,PORTLAND,"$167,619.00","$240,330.00",2011-05-01,Residential
ME,PORTLAND,"$982,702.99","$775,880.00",2011-05-02,Commercial 
ME,PORTLAND,"$537,312.91","$825,920.00",2011-05-05,Residential
ME,PORTLAND,"$362,367.18","$406,305.00",2011-05-07,Land
ME,PORTLAND,"$1,076,203.83","$1,190,980.00",2011-05-07,Commercial 
ME,PORTLAND,"$61,315.58","$77,850.00",2011-05-08,Commercial 
ME,PORTLAND,"$582,286.05","$563,960.00",2011-05-09,Residential
ME,PORTLAND,"$581,049.42","$546,975.00",2011-05-11,Residential
ME,PORTLAND,"$603,594.84","$946,310.00",2011-05-11,Residential
ME,PORTLAND,"$39,260.21","$51,880.00",2011-05-11,Residential
ME,PORTLAND,"$768,478.46","$1,018,330.00",2011-05-11,Commercial 
ME,PORTLAND,"$115,644.55","$164,865.00",2011-05-14,Land
ME,PORTLAND,"$571,836.42","$845,530.00",2011-05-15,Residential
ME,PORTLAND,"$649,576.35","$643,335.00",2011-05-16,Residential
ME,PORTLAND,"$1,442,716.05","$1,259,970.00",2011-05-16,Industrial
ME,PORTLAND,"$287,832.72","$251,782.50",2011-05-17,Land
ME,PORTLAND,"$206,856.10","$258,547.50",2011-05-17,Land
ME,PORTLAND,"$182,718.23","$277,255.00",2011-05-18,Residential
ME,PORTLAND,"$331,803.99","$291,941.25",2011-05-19,Land
ME,PORTLAND,"$777,957.53","$967,515.00",2011-05-20,Residential
ME,PORTLAND,"$87,087.03","$78,093.75",2011-05-20,Land
ME,PORTLAND,"$262,495.89","$230,445.00",2011-05-20,Industrial
ME,PORTLAND,"$417,723.58","$613,840.00",2011-05-24,Residential
ME,PORTLAND,"$1,656,234.02","$1,394,640.00",2011-05-25,Commercial 
ME,PORTLAND,"$818,290.61","$641,550.00",2011-05-26,Land
ME,PORTLAND,"$422,428.66","$462,720.00",2011-05-26,Commercial 
ME,PORTLAND,"$449,579.72","$439,125.00",2011-05-26,Residential
ME,PORTLAND,"$320,477.14","$463,177.50",2011-05-27,Land
ME,PORTLAND,"$68,792.60","$57,352.50",2011-05-27,Industrial
ME,PORTLAND,"$730,522.22","$734,220.00",2011-05-28,Residential
ME,PORTLAND,"$286,166.20","$365,745.00",2011-05-31,Industrial
ME,PORTLAND,"$643,252.15","$626,664.18",2011-06-02,Industrial
ME,PORTLAND,"$447,704.25","$475,314.69",2011-06-03,Residential
ME,PORTLAND,"$492,466.27","$553,084.27",2011-06-03,Residential
ME,PORTLAND,"$987,763.46","$1,350,640.09",2011-06-04,Commercial 
ME,PORTLAND,"$275,807.55","$255,213.74",2011-06-06,Industrial
