State,City,Investment,Revenue,Date,Property Type
MI,DETROIT,"$641,240.66","$758,730.00",2011-01-05,Industrial
MI,LANSING,"$1,012,783.69","$1,188,030.00",2011-01-06,Industrial
MI,LANSING,"$808,214.14","$852,565.00",2011-01-12,Residential
MI,DETROIT,"$1,329,537.69","$1,579,210.00",2011-01-13,Commercial 
MI,LANSING,"$328,945.83","$418,548.75",2011-01-16,Land
MI,LANSING,"$930,285.56","$717,270.00",2011-01-17,Commercial 
MI,DETROIT,"$262,563.50","$246,925.00",2011-01-17,Residential
MI,LANSING,"$165,840.28","$158,665.00",2011-01-17,Residential
MI,LANSING,"$717,890.45","$953,070.00",2011-01-22,Industrial
MI,DETROIT,"$382,329.13","$413,840.00",2011-01-28,Residential
MI,LANSING,"$476,097.74","$790,665.00",2011-02-01,Residential
MI,LANSING,"$613,646.27","$548,527.50",2011-02-04,Industrial
MI,DETROIT,"$591,846.68","$684,817.50",2011-02-07,Land
MI,LANSING,"$896,027.73","$694,923.75",2011-02-11,Land
MI,LANSING,"$498,664.29","$660,570.00",2011-02-12,Industrial
MI,DETROIT,"$886,782.56","$1,113,922.50",2011-02-13,Industrial
MI,DETROIT,"$895,734.09","$1,100,990.00",2011-02-13,Commercial 
MI,DETROIT,"$548,604.16","$535,661.25",2011-02-16,Land
MI,LANSING,"$1,502,038.16","$1,696,830.00",2011-02-18,Commercial 
MI,DETROIT,"$1,949,755.43","$1,468,900.00",2011-02-22,Commercial 
MI,LANSING,"$667,323.45","$529,560.00",2011-02-24,Commercial 
MI,DETROIT,"$435,629.53","$668,430.00",2011-02-25,Residential
MI,DETROIT,"$1,017,386.00","$988,545.00",2011-02-26,Industrial
MI,DETROIT,"$427,182.40","$393,506.25",2011-02-28,Land
MI,DETROIT,"$448,750.63","$406,451.25",2011-03-01,Land
MI,LANSING,"$369,404.11","$329,981.25",2011-03-01,Land
MI,DETROIT,"$477,108.53","$349,950.00",2011-03-06,Commercial 
MI,LANSING,"$373,925.34","$367,230.00",2011-03-07,Residential
MI,LANSING,"$1,088,182.20","$821,220.00",2011-03-09,Industrial
MI,LANSING,"$478,848.00","$441,200.00",2011-03-14,Commercial 
MI,LANSING,"$132,932.28","$198,397.50",2011-03-15,Industrial
MI,LANSING,"$87,828.69","$105,870.00",2011-03-18,Industrial
MI,DETROIT,"$150,033.55","$178,185.00",2011-03-20,Industrial
MI,LANSING,"$228,679.01","$375,725.00",2011-04-06,Residential
MI,DETROIT,"$675,057.26","$726,380.00",2011-04-08,Commercial 
MI,DETROIT,"$2,655,064.36","$1,932,260.00",2011-04-08,Commercial 
MI,DETROIT,"$890,797.98","$991,430.00",2011-04-09,Residential
MI,DETROIT,"$443,569.98","$653,741.25",2011-04-11,Land
MI,LANSING,"$1,413,025.21","$1,231,665.00",2011-04-16,Industrial
MI,LANSING,"$446,505.72","$654,240.00",2011-04-18,Land
MI,LANSING,"$1,051,326.40","$1,199,145.00",2011-04-19,Industrial
MI,DETROIT,"$37,284.19","$32,838.75",2011-04-19,Land
MI,LANSING,"$311,043.10","$244,480.00",2011-04-20,Commercial 
MI,LANSING,"$648,838.95","$506,707.50",2011-04-25,Industrial
MI,DETROIT,"$223,660.68","$307,725.00",2011-05-11,Land
MI,LANSING,"$701,436.23","$529,473.75",2011-05-12,Land
MI,DETROIT,"$589,515.98","$964,105.00",2011-05-28,Residential
MI,LANSING,"$673,477.68","$546,135.00",2011-05-31,Industrial
MI,DETROIT,"$1,067,883.90","$1,338,126.59",2011-06-03,Commercial 
MI,DETROIT,"$883,078.77","$1,240,425.23",2011-06-03,Commercial 
MI,DETROIT,"$2,025,735.02","$1,751,563.84",2011-06-04,Commercial 
MI,DETROIT,"$473,925.60","$894,307.81",2011-06-07,Residential
MI,LANSING,"$189,553.60","$182,804.14",2011-06-11,Residential
MI,LANSING,"$744,406.06","$747,279.18",2011-06-12,Land
MI,DETROIT,"$225,224.74","$362,841.10",2011-06-14,Land
MI,DETROIT,"$661,388.54","$524,729.99",2011-06-14,Land
MI,LANSING,"$126,097.86","$139,587.18",2011-06-21,Residential
MI,DETROIT,"$1,464,498.14","$1,852,392.36",2011-06-23,Commercial 
MI,DETROIT,"$285,258.44","$436,133.99",2011-06-24,Residential
MI,LANSING,"$749,122.10","$638,651.79",2011-06-25,Land
MI,DETROIT,"$212,654.54","$381,443.87",2011-06-28,Residential
MI,LANSING,"$156,037.26","$128,644.92",2011-06-30,Commercial 
MI,DETROIT,"$24,330.06","$35,311.63",2011-07-03,Residential
