State,City,Investment,Revenue,Date,Property Type
MN,MINNEAPOLIS,"$984,263.84","$1,178,985.00",2011-01-01,Industrial
MN,MINNEAPOLIS,"$316,116.52","$470,125.00",2011-01-01,Residential
MN,MINNEAPOLIS,"$219,843.28","$199,350.00",2011-01-04,Commercial 
MN,MINNEAPOLIS,"$805,691.85","$748,490.00",2011-01-07,Residential
MN,MINNEAPOLIS,"$1,337,942.76","$1,160,340.00",2011-01-13,Commercial 
MN,MINNEAPOLIS,"$619,886.84","$750,160.00",2011-01-15,Commercial 
MN,MINNEAPOLIS,"$489,535.91","$396,558.75",2011-01-17,Land
MN,MINNEAPOLIS,"$273,667.66","$235,721.25",2011-01-25,Land
MN,MINNEAPOLIS,"$2,384,517.01","$1,829,980.00",2011-01-25,Commercial 
MN,MINNEAPOLIS,"$172,037.10","$196,042.50",2011-01-28,Industrial
MN,MINNEAPOLIS,"$628,963.25","$705,900.00",2011-01-29,Commercial 
MN,MINNEAPOLIS,"$549,126.49","$471,547.50",2011-01-31,Industrial
MN,MINNEAPOLIS,"$336,848.18","$502,241.25",2011-02-01,Land
MN,MINNEAPOLIS,"$940,219.34","$856,285.00",2011-02-06,Residential
MN,MINNEAPOLIS,"$612,514.01","$722,602.50",2011-02-10,Land
MN,MINNEAPOLIS,"$168,884.77","$130,640.00",2011-02-11,Commercial 
MN,MINNEAPOLIS,"$974,084.03","$1,138,387.50",2011-02-11,Industrial
MN,MINNEAPOLIS,"$160,935.64","$146,002.50",2011-02-12,Land
MN,MINNEAPOLIS,"$350,577.33","$601,090.00",2011-02-13,Residential
MN,MINNEAPOLIS,"$347,307.35","$293,257.50",2011-02-13,Industrial
MN,MINNEAPOLIS,"$802,907.27","$685,140.00",2011-02-19,Commercial 
MN,MINNEAPOLIS,"$1,315,588.47","$1,099,380.00",2011-02-21,Commercial 
MN,MINNEAPOLIS,"$915,063.53","$821,362.50",2011-02-22,Industrial
MN,MINNEAPOLIS,"$487,024.97","$586,586.25",2011-02-23,Land
MN,MINNEAPOLIS,"$916,398.27","$893,570.00",2011-02-25,Residential
MN,MINNEAPOLIS,"$92,350.93","$79,901.25",2011-02-26,Land
MN,MINNEAPOLIS,"$1,138,966.24","$1,303,612.50",2011-03-02,Industrial
MN,MINNEAPOLIS,"$192,962.71","$168,592.50",2011-03-03,Land
MN,MINNEAPOLIS,"$584,214.42","$443,167.50",2011-03-08,Land
MN,MINNEAPOLIS,"$1,352,175.20","$1,039,575.00",2011-03-11,Industrial
MN,MINNEAPOLIS,"$1,537,667.80","$1,244,230.00",2011-03-14,Commercial 
MN,MINNEAPOLIS,"$2,227,256.98","$1,936,080.00",2011-03-15,Commercial 
MN,MINNEAPOLIS,"$244,510.71","$195,221.25",2011-03-15,Land
MN,MINNEAPOLIS,"$273,559.41","$228,948.75",2011-03-16,Land
MN,MINNEAPOLIS,"$896,279.12","$1,213,930.00",2011-03-17,Commercial 
MN,MINNEAPOLIS,"$1,696,456.70","$1,861,010.00",2011-03-23,Commercial 
MN,MINNEAPOLIS,"$663,985.73","$965,730.00",2011-03-30,Residential
MN,MINNEAPOLIS,"$1,777,765.47","$1,475,670.00",2011-04-02,Commercial 
MN,MINNEAPOLIS,"$1,247,538.02","$1,539,150.00",2011-04-02,Commercial 
MN,MINNEAPOLIS,"$548,982.10","$680,182.50",2011-04-02,Land
MN,MINNEAPOLIS,"$782,009.10","$755,240.00",2011-04-04,Residential
MN,MINNEAPOLIS,"$823,562.76","$925,050.00",2011-04-05,Industrial
MN,MINNEAPOLIS,"$1,241,164.44","$1,032,810.00",2011-04-08,Commercial 
MN,MINNEAPOLIS,"$538,478.27","$436,128.75",2011-04-08,Land
