State,City,Investment,Revenue,Date,Property Type
MO,ST. LOUIS,"$692,435.10","$645,860.00",2011-01-12,Residential
MO,ST. LOUIS,"$359,437.84","$411,435.00",2011-01-21,Land
MO,ST. LOUIS,"$381,804.67","$562,271.25",2011-01-27,Land
MO,ST. LOUIS,"$1,653,841.63","$1,386,660.00",2011-01-31,Commercial 
MO,ST. LOUIS,"$1,091,918.74","$1,014,075.00",2011-02-13,Industrial
MO,ST. LOUIS,"$172,007.89","$218,915.00",2011-02-14,Residential
MO,ST. LOUIS,"$240,041.68","$319,327.50",2011-02-18,Land
MO,ST. LOUIS,"$482,150.51","$431,381.25",2011-02-18,Land
MO,ST. LOUIS,"$495,499.04","$441,050.00",2011-02-23,Residential
MO,ST. LOUIS,"$74,134.21","$102,510.00",2011-03-09,Land
MO,ST. LOUIS,"$1,137,015.86","$937,350.00",2011-03-29,Commercial 
MO,ST. LOUIS,"$150,150.95","$112,960.00",2011-03-31,Commercial 
MO,ST. LOUIS,"$586,180.46","$684,382.50",2011-04-16,Industrial
MO,ST. LOUIS,"$409,543.93","$332,797.50",2011-04-20,Industrial
MO,ST. LOUIS,"$1,231,296.54","$1,479,532.50",2011-05-15,Industrial
MO,ST. LOUIS,"$1,573,377.77","$1,170,100.00",2011-05-30,Commercial 
MO,ST. LOUIS,"$933,560.35","$1,093,200.82",2011-06-04,Residential
MO,ST. LOUIS,"$332,140.70","$359,872.72",2011-06-21,Residential
MO,ST. LOUIS,"$787,113.22","$837,595.84",2011-06-21,Residential
MO,ST. LOUIS,"$151,990.58","$146,490.52",2011-06-23,Land
MO,ST. LOUIS,"$647,156.35","$834,744.62",2011-07-01,Commercial 
MO,ST. LOUIS,"$898,276.79","$1,125,262.72",2011-07-06,Industrial
MO,ST. LOUIS,"$656,197.33","$886,965.76",2011-07-10,Commercial 
MO,ST. LOUIS,"$420,861.95","$676,369.37",2011-07-10,Residential
MO,ST. LOUIS,"$195,925.07","$272,170.82",2011-07-12,Industrial
MO,ST. LOUIS,"$877,405.66","$706,701.43",2011-07-28,Commercial 
MO,ST. LOUIS,"$439,590.82","$831,591.62",2011-08-05,Residential
MO,ST. LOUIS,"$252,474.59","$451,541.76",2011-08-14,Industrial
MO,ST. LOUIS,"$799,677.51","$1,072,464.28",2011-08-18,Commercial 
MO,ST. LOUIS,"$1,213,431.22","$1,535,241.78",2011-08-19,Industrial
MO,ST. LOUIS,"$298,972.53","$258,556.23",2011-08-29,Commercial 
MO,ST. LOUIS,"$791,872.10","$617,617.50",2011-09-10,Industrial
MO,ST. LOUIS,"$376,536.39","$308,452.50",2011-09-12,Land
MO,ST. LOUIS,"$597,691.13","$757,290.00",2011-09-18,Industrial
MO,ST. LOUIS,"$829,126.61","$762,060.00",2011-09-25,Industrial
MO,ST. LOUIS,"$53,648.29","$71,455.00",2011-10-24,Residential
MO,ST. LOUIS,"$669,630.97","$553,350.00",2011-10-26,Industrial
MO,ST. LOUIS,"$205,546.35","$259,620.00",2011-10-26,Land
MO,ST. LOUIS,"$1,234,807.88","$1,469,047.50",2011-10-27,Industrial
MO,ST. LOUIS,"$944,349.38","$695,860.00",2011-11-01,Commercial 
MO,ST. LOUIS,"$1,837,313.95","$1,342,240.00",2011-11-03,Commercial 
MO,ST. LOUIS,"$286,342.20","$237,070.00",2011-11-27,Commercial 
MO,ST. LOUIS,"$168,773.96","$173,115.00",2011-11-27,Residential
MO,ST. LOUIS,"$828,283.20","$705,805.00",2011-12-10,Residential
MO,ST. LOUIS,"$85,285.64","$97,140.00",2011-12-15,Commercial 
MO,ST. LOUIS,"$627,052.12","$548,670.00",2012-01-02,Industrial
MO,ST. LOUIS,"$68,159.35","$55,721.25",2012-01-04,Land
MO,ST. LOUIS,"$101,276.98","$124,383.75",2012-01-09,Land
MO,ST. LOUIS,"$113,545.12","$100,841.25",2012-01-25,Land
MO,ST. LOUIS,"$1,454,847.50","$1,224,100.00",2012-01-26,Commercial 
MO,ST. LOUIS,"$1,128,703.18","$1,461,975.00",2012-01-31,Industrial
MO,ST. LOUIS,"$2,044,077.66","$1,670,040.00",2012-02-01,Commercial 
MO,ST. LOUIS,"$732,036.85","$926,347.50",2012-02-21,Industrial
MO,ST. LOUIS,"$1,715,679.26","$1,864,320.00",2012-02-23,Commercial 
MO,ST. LOUIS,"$1,303,234.69","$1,010,900.00",2012-02-24,Commercial 
MO,ST. LOUIS,"$2,350,137.19","$1,876,330.00",2012-02-25,Commercial 
MO,ST. LOUIS,"$708,392.81","$746,590.00",2012-02-26,Commercial 
MO,ST. LOUIS,"$128,180.51","$153,585.00",2012-03-03,Industrial
MO,ST. LOUIS,"$403,835.95","$525,547.50",2012-03-06,Industrial
MO,ST. LOUIS,"$110,195.65","$84,311.25",2012-03-09,Land
MO,ST. LOUIS,"$162,868.22","$132,945.00",2012-03-19,Land
MO,ST. LOUIS,"$256,042.91","$362,913.75",2012-03-20,Land
