State,City,Investment,Revenue,Date,Property Type
MS,JACKSON,"$160,510.68","$123,660.00",2011-01-14,Industrial
MS,JACKSON,"$206,395.61","$176,390.00",2011-01-22,Commercial 
MS,JACKSON,"$879,790.54","$988,230.00",2011-01-26,Residential
MS,JACKSON,"$320,330.41","$394,646.25",2011-02-12,Land
MS,JACKSON,"$202,943.56","$183,480.00",2011-02-12,Land
MS,JACKSON,"$336,470.16","$456,960.00",2011-02-26,Commercial 
MS,JACKSON,"$146,476.01","$166,372.50",2011-03-14,Land
MS,JACKSON,"$646,861.70","$562,001.34",2011-06-14,Land
MS,JACKSON,"$492,674.56","$568,297.72",2011-08-04,Commercial 
MS,JACKSON,"$433,784.09","$545,638.44",2011-08-25,Land
MS,JACKSON,"$959,683.06","$772,520.00",2011-09-22,Commercial 
MS,JACKSON,"$567,647.13","$644,550.00",2011-09-25,Commercial 
MS,JACKSON,"$349,890.57","$472,325.00",2011-10-06,Residential
MS,JACKSON,"$666,106.71","$891,637.50",2011-10-10,Industrial
MS,JACKSON,"$2,436,929.95","$1,917,010.00",2011-11-18,Commercial 
MS,JACKSON,"$1,109,496.34","$1,477,732.50",2011-11-25,Industrial
MS,JACKSON,"$153,125.67","$204,393.75",2011-12-09,Land
MS,JACKSON,"$371,226.07","$548,291.25",2012-01-02,Land
MS,JACKSON,"$619,499.26","$603,985.00",2012-01-27,Residential
MS,JACKSON,"$247,625.63","$297,720.00",2012-01-28,Land
MS,JACKSON,"$480,850.42","$440,990.00",2012-02-17,Residential
MS,JACKSON,"$29,424.90","$27,180.00",2012-03-07,Residential
MS,JACKSON,"$370,792.25","$519,045.00",2012-05-01,Residential
MS,JACKSON,"$328,831.13","$415,886.79",2012-06-02,Commercial 
MS,JACKSON,"$313,034.56","$229,440.10",2012-06-03,Commercial 
MS,JACKSON,"$396,322.55","$589,596.39",2012-06-15,Industrial
MS,JACKSON,"$527,721.78","$752,183.00",2012-06-23,Residential
MS,JACKSON,"$743,091.12","$651,412.43",2012-07-15,Commercial 
MS,JACKSON,"$304,837.19","$271,810.50",2012-07-21,Commercial 
MS,JACKSON,"$825,472.20","$669,654.79",2012-08-15,Commercial 
MS,JACKSON,"$683,983.31","$552,892.50",2012-09-29,Land
MS,JACKSON,"$1,721,583.43","$1,398,097.50",2012-10-06,Industrial
MS,JACKSON,"$493,273.84","$590,330.00",2012-11-06,Commercial 
MS,JACKSON,"$545,746.67","$902,485.00",2012-11-28,Residential
MS,JACKSON,"$2,160,815.19","$1,806,460.00",2013-01-08,Commercial 
MS,JACKSON,"$436,704.76","$647,651.25",2013-01-15,Land
MS,JACKSON,"$209,514.77","$194,650.00",2013-01-21,Commercial 
MS,JACKSON,"$1,274,981.45","$1,085,572.50",2013-01-31,Industrial
MS,JACKSON,"$309,723.08","$257,017.50",2013-03-03,Industrial
MS,JACKSON,"$567,094.93","$503,130.00",2013-04-02,Residential
MS,JACKSON,"$1,150,999.86","$1,575,620.00",2013-04-18,Commercial 
MS,JACKSON,"$652,411.65","$540,832.50",2013-04-21,Land
MS,JACKSON,"$1,503,576.66","$1,205,500.00",2013-04-26,Commercial 
MS,JACKSON,"$287,658.83","$237,404.79",2013-06-11,Land
MS,JACKSON,"$1,267,540.76","$1,824,049.24",2013-08-02,Commercial 
MS,JACKSON,"$1,163,816.07","$1,547,710.65",2013-08-06,Commercial 
