State,City,Investment,Revenue,Date,Property Type
NE,OMAHA,"$677,732.40","$886,237.50",2011-01-04,Industrial
NE,OMAHA,"$592,443.48","$597,465.00",2011-01-18,Residential
NE,OMAHA,"$643,570.25","$910,450.00",2011-01-22,Commercial 
NE,OMAHA,"$1,693,745.12","$1,455,195.00",2011-01-22,Industrial
NE,OMAHA,"$171,160.82","$216,780.00",2011-02-12,Land
NE,OMAHA,"$191,867.76","$266,842.50",2011-02-14,Industrial
NE,OMAHA,"$1,370,321.45","$1,825,270.00",2011-02-16,Commercial 
NE,OMAHA,"$936,548.74","$1,130,565.00",2011-02-27,Industrial
NE,OMAHA,"$50,125.55","$70,920.00",2011-03-12,Land
NE,OMAHA,"$719,849.89","$592,297.50",2011-03-18,Industrial
NE,OMAHA,"$608,229.50","$476,415.00",2011-04-05,Land
NE,OMAHA,"$476,335.47","$602,422.50",2011-04-08,Industrial
NE,OMAHA,"$829,409.34","$1,126,027.50",2011-04-13,Industrial
NE,OMAHA,"$366,412.88","$317,523.75",2011-04-15,Land
NE,OMAHA,"$127,591.53","$198,230.00",2011-04-30,Residential
NE,OMAHA,"$316,125.30","$264,410.00",2011-04-30,Commercial 
NE,OMAHA,"$53,410.12","$74,302.50",2011-05-04,Land
NE,OMAHA,"$652,073.45","$796,095.00",2011-05-14,Industrial
NE,OMAHA,"$85,747.85","$96,945.00",2011-05-15,Land
NE,OMAHA,"$839,143.96","$717,131.25",2011-05-20,Land
NE,OMAHA,"$58,925.35","$70,035.00",2011-05-24,Industrial
NE,OMAHA,"$526,251.64","$735,337.50",2011-05-30,Land
NE,OMAHA,"$67,579.70","$90,572.61",2011-06-10,Residential
NE,OMAHA,"$1,283,335.69","$1,157,839.53",2011-06-17,Industrial
NE,OMAHA,"$546,540.56","$544,503.77",2011-06-18,Industrial
NE,OMAHA,"$603,671.78","$525,904.93",2011-06-26,Commercial 
NE,OMAHA,"$558,537.83","$502,892.55",2011-06-27,Land
NE,OMAHA,"$448,355.41","$630,109.47",2011-07-06,Industrial
NE,OMAHA,"$35,142.15","$39,961.70",2011-07-12,Land
NE,OMAHA,"$171,814.27","$143,102.35",2011-07-12,Commercial 
NE,OMAHA,"$138,651.57","$230,667.06",2011-07-18,Residential
NE,OMAHA,"$133,956.37","$203,620.22",2011-07-22,Residential
NE,OMAHA,"$2,126,988.56","$1,801,751.91",2011-07-26,Commercial 
NE,OMAHA,"$999,520.08","$750,669.10",2011-08-11,Commercial 
NE,OMAHA,"$2,431,798.36","$2,066,546.78",2011-08-13,Commercial 
NE,OMAHA,"$555,907.39","$562,824.95",2011-08-16,Residential
NE,OMAHA,"$306,583.66","$371,903.93",2011-08-19,Industrial
NE,OMAHA,"$262,750.09","$250,098.18",2011-08-25,Residential
NE,OMAHA,"$138,489.71","$202,117.91",2011-08-27,Residential
NE,OMAHA,"$644,699.80","$575,977.39",2011-08-27,Land
NE,OMAHA,"$560,612.44","$702,180.00",2011-09-07,Commercial 
