State,City,Investment,Revenue,Date,Property Type
NJ,TRENTON,"$757,532.08","$1,019,360.00",2011-01-03,Commercial 
NJ,JERSEY CITY,"$194,389.72","$228,971.25",2011-01-05,Land
NJ,NEWARK,"$737,482.63","$612,710.00",2011-01-07,Commercial 
NJ,TRENTON,"$787,591.55","$663,615.00",2011-01-16,Land
NJ,NEWARK,"$1,316,557.29","$1,654,040.00",2011-01-17,Commercial 
NJ,NEWARK,"$14,073.49","$20,070.00",2011-01-25,Land
NJ,TRENTON,"$653,022.03","$852,787.50",2011-01-29,Industrial
NJ,NEWARK,"$594,511.22","$538,721.25",2011-02-11,Land
NJ,NEWARK,"$770,386.01","$976,470.00",2011-02-28,Industrial
NJ,TRENTON,"$323,072.51","$279,250.00",2011-03-02,Residential
NJ,NEWARK,"$786,908.88","$645,980.00",2011-03-06,Commercial 
NJ,JERSEY CITY,"$260,203.76","$363,540.00",2011-03-17,Industrial
NJ,JERSEY CITY,"$228,962.84","$222,615.00",2011-04-02,Industrial
NJ,JERSEY CITY,"$457,335.82","$389,812.50",2011-04-14,Industrial
NJ,NEWARK,"$66,144.57","$86,280.00",2011-04-15,Residential
NJ,NEWARK,"$485,823.56","$365,955.00",2011-04-22,Land
NJ,TRENTON,"$289,236.40","$395,110.00",2011-04-23,Residential
NJ,JERSEY CITY,"$858,478.71","$852,655.00",2011-04-27,Residential
NJ,JERSEY CITY,"$1,602,777.87","$1,276,890.00",2011-05-23,Industrial
NJ,JERSEY CITY,"$1,649,944.40","$1,313,490.00",2011-05-28,Commercial 
NJ,TRENTON,"$987,155.07","$1,049,995.88",2011-06-01,Residential
NJ,JERSEY CITY,"$677,746.04","$760,212.64",2011-06-04,Land
NJ,NEWARK,"$140,186.56","$260,834.49",2011-06-23,Residential
NJ,JERSEY CITY,"$945,548.68","$772,332.10",2011-06-26,Land
NJ,JERSEY CITY,"$518,965.23","$761,119.76",2011-06-27,Industrial
NJ,TRENTON,"$251,615.59","$234,662.30",2011-07-06,Land
NJ,JERSEY CITY,"$464,043.31","$407,598.85",2011-07-07,Industrial
NJ,NEWARK,"$264,883.06","$359,858.63",2011-07-14,Commercial 
NJ,TRENTON,"$942,531.91","$983,088.52",2011-07-17,Industrial
NJ,JERSEY CITY,"$999,282.22","$1,374,613.30",2011-07-19,Commercial 
NJ,NEWARK,"$411,577.47","$598,465.36",2011-07-28,Land
NJ,TRENTON,"$745,762.22","$810,060.26",2011-08-03,Residential
NJ,NEWARK,"$699,228.37","$1,069,647.54",2011-08-08,Industrial
NJ,TRENTON,"$193,019.78","$257,098.62",2011-08-11,Commercial 
NJ,JERSEY CITY,"$1,233,380.60","$1,682,386.60",2011-08-23,Commercial 
NJ,NEWARK,"$380,665.06","$700,581.01",2011-08-24,Industrial
NJ,JERSEY CITY,"$521,133.68","$523,548.36",2011-08-29,Residential
NJ,JERSEY CITY,"$307,876.63","$458,047.50",2011-09-04,Industrial
NJ,TRENTON,"$445,935.31","$619,785.00",2011-09-09,Land
NJ,TRENTON,"$527,233.83","$487,361.25",2011-09-17,Land
NJ,NEWARK,"$733,689.63","$978,085.00",2011-09-19,Residential
NJ,TRENTON,"$456,968.21","$647,208.75",2011-09-23,Land
NJ,NEWARK,"$684,196.03","$615,810.00",2011-10-06,Residential
NJ,NEWARK,"$692,884.88","$833,140.00",2011-10-09,Commercial 
NJ,JERSEY CITY,"$500,258.86","$564,817.50",2011-10-21,Land
NJ,JERSEY CITY,"$281,911.96","$330,030.00",2011-10-26,Commercial 
NJ,JERSEY CITY,"$1,092,200.27","$1,294,920.00",2011-11-19,Industrial
NJ,TRENTON,"$414,537.50","$520,331.25",2011-11-19,Land
NJ,NEWARK,"$790,825.47","$705,187.50",2011-12-06,Land
NJ,TRENTON,"$707,631.83","$601,402.50",2011-12-07,Industrial
NJ,JERSEY CITY,"$1,415,454.50","$1,784,610.00",2011-12-11,Commercial 
NJ,TRENTON,"$922,790.98","$807,080.00",2012-01-11,Residential
NJ,JERSEY CITY,"$146,621.59","$140,590.00",2012-01-15,Residential
NJ,NEWARK,"$329,904.86","$452,170.00",2012-01-20,Residential
NJ,TRENTON,"$944,355.85","$696,240.00",2012-01-23,Commercial 
NJ,NEWARK,"$2,098,301.03","$1,727,840.00",2012-01-29,Commercial 
NJ,JERSEY CITY,"$455,754.08","$385,432.50",2012-03-06,Land
NJ,NEWARK,"$1,258,223.40","$1,093,860.00",2012-03-13,Industrial
NJ,NEWARK,"$609,732.22","$962,175.00",2012-03-17,Residential
NJ,JERSEY CITY,"$2,400,556.69","$1,859,050.00",2012-04-05,Commercial 
NJ,JERSEY CITY,"$429,654.81","$364,815.00",2012-04-09,Industrial
NJ,JERSEY CITY,"$779,999.95","$1,042,220.00",2012-04-27,Commercial 
NJ,TRENTON,"$190,486.71","$143,970.00",2012-05-10,Industrial
NJ,TRENTON,"$106,434.07","$133,608.75",2012-05-13,Land
