State,City,Investment,Revenue,Date,Property Type
NM,SANTA FE,"$668,558.01","$728,840.00",2011-01-04,Commercial 
NM,SANTA FE,"$1,125,814.03","$1,318,515.00",2011-01-11,Industrial
NM,SANTA FE,"$636,767.46","$749,535.00",2011-01-12,Land
NM,SANTA FE,"$594,232.17","$927,910.00",2011-01-16,Residential
NM,SANTA FE,"$1,033,817.15","$1,260,645.00",2011-01-16,Industrial
NM,SANTA FE,"$1,416,104.24","$1,521,000.00",2011-01-18,Commercial 
NM,SANTA FE,"$343,601.74","$357,710.00",2011-01-18,Residential
NM,SANTA FE,"$415,641.54","$547,040.00",2011-01-18,Commercial 
NM,SANTA FE,"$238,903.04","$200,715.00",2011-01-29,Industrial
NM,SANTA FE,"$294,814.82","$438,915.00",2011-02-06,Industrial
NM,SANTA FE,"$91,600.42","$134,160.00",2011-02-08,Land
NM,SANTA FE,"$217,695.64","$231,150.00",2011-02-08,Residential
NM,SANTA FE,"$174,370.56","$181,345.00",2011-02-08,Residential
NM,SANTA FE,"$62,272.60","$85,432.50",2011-02-09,Land
NM,SANTA FE,"$1,538,429.74","$1,310,205.00",2011-02-10,Industrial
NM,SANTA FE,"$284,730.19","$224,280.00",2011-02-11,Industrial
NM,SANTA FE,"$291,449.46","$372,397.50",2011-02-14,Industrial
NM,SANTA FE,"$406,486.60","$426,795.00",2011-02-15,Residential
NM,SANTA FE,"$363,424.98","$328,530.00",2011-02-17,Residential
NM,SANTA FE,"$99,353.96","$82,110.00",2011-02-19,Commercial 
NM,SANTA FE,"$324,809.31","$315,690.00",2011-02-23,Industrial
NM,SANTA FE,"$1,768,958.66","$1,640,180.00",2011-03-01,Commercial 
NM,SANTA FE,"$274,023.55","$383,435.00",2011-03-05,Residential
NM,SANTA FE,"$1,368,961.00","$1,121,070.00",2011-03-05,Industrial
NM,SANTA FE,"$457,880.85","$472,605.00",2011-03-09,Residential
NM,SANTA FE,"$525,690.60","$439,578.75",2011-03-10,Land
NM,SANTA FE,"$209,120.56","$299,051.25",2011-03-13,Land
NM,SANTA FE,"$485,971.60","$441,675.00",2011-03-15,Land
NM,SANTA FE,"$1,196,037.03","$1,616,500.00",2011-03-16,Commercial 
NM,SANTA FE,"$119,189.85","$186,435.00",2011-03-18,Residential
NM,SANTA FE,"$1,377,898.96","$1,763,160.00",2011-03-19,Commercial 
NM,SANTA FE,"$119,617.59","$145,357.50",2011-03-24,Land
NM,SANTA FE,"$332,828.22","$474,960.00",2011-03-25,Land
NM,SANTA FE,"$63,564.44","$66,555.00",2011-03-26,Residential
NM,SANTA FE,"$503,738.36","$562,076.25",2011-03-28,Land
NM,SANTA FE,"$307,677.77","$324,325.00",2011-03-29,Residential
NM,SANTA FE,"$31,563.90","$36,213.75",2011-03-30,Land
NM,SANTA FE,"$344,276.72","$413,920.00",2011-03-30,Commercial 
NM,SANTA FE,"$99,526.91","$140,733.75",2011-04-03,Land
NM,SANTA FE,"$421,143.17","$342,585.00",2011-04-03,Industrial
NM,SANTA FE,"$301,098.48","$365,047.50",2011-04-04,Land
NM,SANTA FE,"$395,921.76","$546,215.00",2011-04-08,Residential
NM,SANTA FE,"$483,730.21","$772,890.00",2011-04-08,Residential
NM,SANTA FE,"$874,562.78","$1,030,935.00",2011-04-11,Industrial
NM,SANTA FE,"$449,366.70","$347,583.75",2011-04-12,Land
NM,SANTA FE,"$54,960.73","$73,046.25",2011-04-12,Land
NM,SANTA FE,"$442,670.09","$359,640.00",2011-04-13,Land
NM,SANTA FE,"$976,084.24","$734,830.00",2011-04-14,Commercial 
NM,SANTA FE,"$1,422,038.10","$1,585,820.00",2011-04-19,Commercial 
NM,SANTA FE,"$1,478,114.98","$1,645,350.00",2011-04-20,Commercial 
NM,SANTA FE,"$667,885.81","$588,532.50",2011-04-21,Industrial
NM,SANTA FE,"$826,527.39","$802,930.00",2011-04-23,Residential
NM,SANTA FE,"$105,575.05","$145,350.00",2011-04-27,Residential
NM,SANTA FE,"$934,027.02","$1,135,222.50",2011-04-29,Industrial
NM,SANTA FE,"$711,081.81","$938,055.00",2011-05-01,Residential
NM,SANTA FE,"$1,500,868.23","$1,309,372.50",2011-05-06,Industrial
NM,SANTA FE,"$711,099.26","$613,391.25",2011-05-06,Land
NM,SANTA FE,"$1,067,446.60","$1,183,460.00",2011-05-07,Commercial 
NM,SANTA FE,"$1,160,624.31","$1,478,257.50",2011-05-12,Industrial
NM,SANTA FE,"$537,481.38","$518,752.50",2011-05-12,Industrial
NM,SANTA FE,"$784,023.48","$966,100.00",2011-05-13,Commercial 
NM,SANTA FE,"$189,325.15","$266,508.75",2011-05-16,Land
NM,SANTA FE,"$277,054.21","$377,062.50",2011-05-17,Land
NM,SANTA FE,"$1,125,559.88","$1,062,870.00",2011-05-17,Industrial
NM,SANTA FE,"$1,007,835.93","$955,192.50",2011-05-18,Industrial
NM,SANTA FE,"$360,119.24","$326,917.50",2011-05-21,Industrial
NM,SANTA FE,"$1,620,633.68","$1,430,350.00",2011-05-29,Commercial 
NM,SANTA FE,"$103,203.85","$89,002.50",2011-05-31,Industrial
NM,SANTA FE,"$567,246.80","$964,940.57",2011-06-01,Residential
NM,SANTA FE,"$120,848.65","$117,208.86",2011-06-02,Industrial
NM,SANTA FE,"$114,286.49","$153,748.03",2011-06-03,Residential
NM,SANTA FE,"$697,158.85","$751,656.56",2011-06-11,Residential
NM,SANTA FE,"$208,470.63","$172,669.70",2011-06-11,Land
NM,SANTA FE,"$1,484,743.66","$1,412,365.72",2011-06-12,Industrial
NM,SANTA FE,"$602,092.72","$494,619.31",2011-06-14,Commercial 
NM,SANTA FE,"$397,546.49","$538,439.52",2011-06-18,Residential
NM,SANTA FE,"$1,284,550.10","$1,048,877.15",2011-06-21,Commercial 
NM,SANTA FE,"$441,187.07","$536,648.35",2011-06-21,Land
NM,SANTA FE,"$588,248.03","$686,952.21",2011-06-22,Residential
NM,SANTA FE,"$1,152,741.77","$1,047,816.13",2011-06-24,Industrial
NM,SANTA FE,"$1,596,494.04","$1,231,433.67",2011-07-01,Commercial 
NM,SANTA FE,"$280,304.47","$366,200.33",2011-07-01,Land
NM,SANTA FE,"$1,144,759.44","$1,261,260.31",2011-07-05,Commercial 
NM,SANTA FE,"$1,436,936.36","$1,619,654.41",2011-07-06,Commercial 
NM,SANTA FE,"$361,142.99","$314,375.19",2011-07-06,Land
NM,SANTA FE,"$561,354.46","$762,755.77",2011-07-07,Land
NM,SANTA FE,"$1,448,759.61","$1,191,797.47",2011-07-07,Industrial
NM,SANTA FE,"$1,988,915.31","$1,598,284.03",2011-07-11,Commercial 
NM,SANTA FE,"$179,579.14","$236,128.27",2011-07-13,Industrial
NM,SANTA FE,"$1,329,716.33","$1,928,421.44",2011-07-15,Commercial 
NM,SANTA FE,"$407,906.01","$393,432.10",2011-07-16,Land
NM,SANTA FE,"$1,581,266.28","$1,917,685.84",2011-07-18,Commercial 
NM,SANTA FE,"$1,489,547.90","$1,964,066.31",2011-07-20,Commercial 
NM,SANTA FE,"$1,558,222.14","$1,900,035.20",2011-07-22,Commercial 
NM,SANTA FE,"$354,636.48","$320,736.99",2011-07-23,Land
NM,SANTA FE,"$1,190,849.50","$1,429,170.97",2011-07-27,Commercial 
NM,SANTA FE,"$1,014,302.77","$839,263.41",2011-07-27,Industrial
NM,SANTA FE,"$808,912.97","$1,000,479.79",2011-07-27,Industrial
NM,SANTA FE,"$96,238.84","$166,435.06",2011-07-28,Residential
NM,SANTA FE,"$74,977.08","$57,001.91",2011-07-29,Land
NM,SANTA FE,"$585,359.29","$833,950.34",2011-07-29,Industrial
NM,SANTA FE,"$280,106.03","$320,288.73",2011-07-31,Industrial
NM,SANTA FE,"$1,058,222.62","$1,079,415.17",2011-08-05,Industrial
NM,SANTA FE,"$1,563,476.33","$1,291,378.89",2011-08-07,Industrial
NM,SANTA FE,"$64,183.44","$51,021.77",2011-08-07,Land
NM,SANTA FE,"$1,362,522.15","$1,258,152.41",2011-08-08,Industrial
NM,SANTA FE,"$130,213.36","$162,159.59",2011-08-10,Land
NM,SANTA FE,"$374,559.20","$596,351.81",2011-08-10,Land
NM,SANTA FE,"$577,655.57","$509,457.68",2011-08-18,Land
NM,SANTA FE,"$615,073.58","$602,841.08",2011-08-25,Industrial
NM,SANTA FE,"$365,052.93","$447,986.35",2011-08-26,Land
NM,SANTA FE,"$30,984.98","$52,366.24",2011-08-28,Residential
NM,SANTA FE,"$245,876.03","$377,983.84",2011-08-31,Industrial
NM,SANTA FE,"$553,842.33","$765,645.00",2011-09-01,Residential
NM,SANTA FE,"$776,985.45","$635,651.25",2011-09-02,Land
NM,SANTA FE,"$2,118,248.46","$1,609,500.00",2011-09-04,Commercial 
NM,SANTA FE,"$711,089.64","$598,560.00",2011-09-04,Land
NM,SANTA FE,"$1,812,236.35","$1,469,610.00",2011-09-05,Commercial 
NM,SANTA FE,"$2,001,337.36","$1,588,120.00",2011-09-06,Commercial 
NM,SANTA FE,"$533,264.96","$758,390.00",2011-09-07,Residential
NM,SANTA FE,"$57,983.61","$79,792.50",2011-09-09,Industrial
NM,SANTA FE,"$495,670.24","$818,605.00",2011-09-10,Residential
NM,SANTA FE,"$223,118.80","$299,842.50",2011-09-11,Land
NM,SANTA FE,"$519,450.57","$573,270.00",2011-09-13,Residential
NM,SANTA FE,"$191,189.00","$205,920.00",2011-09-15,Commercial 
NM,SANTA FE,"$425,058.93","$369,970.00",2011-09-16,Commercial 
NM,SANTA FE,"$394,974.58","$579,532.50",2011-09-24,Land
NM,SANTA FE,"$1,048,944.03","$1,145,570.00",2011-09-28,Commercial 
NM,SANTA FE,"$55,557.06","$42,345.00",2011-09-30,Land
NM,SANTA FE,"$1,457,131.83","$1,214,720.00",2011-10-01,Commercial 
NM,SANTA FE,"$430,273.65","$667,895.00",2011-10-07,Residential
NM,SANTA FE,"$901,326.49","$869,685.00",2011-10-09,Industrial
NM,SANTA FE,"$695,538.86","$977,100.00",2011-10-09,Industrial
NM,SANTA FE,"$1,257,981.42","$928,440.00",2011-10-11,Commercial 
NM,SANTA FE,"$826,499.32","$699,176.25",2011-10-14,Land
NM,SANTA FE,"$921,786.60","$1,049,130.00",2011-10-17,Industrial
NM,SANTA FE,"$256,034.23","$315,033.75",2011-10-18,Land
NM,SANTA FE,"$525,043.45","$749,805.00",2011-10-19,Industrial
NM,SANTA FE,"$1,594,980.04","$1,905,670.00",2011-10-22,Commercial 
NM,SANTA FE,"$666,998.53","$603,401.25",2011-10-22,Land
NM,SANTA FE,"$42,630.83","$40,060.00",2011-10-23,Residential
NM,SANTA FE,"$45,765.62","$40,901.25",2011-10-23,Land
NM,SANTA FE,"$1,403,918.99","$1,196,640.00",2011-10-25,Commercial 
NM,SANTA FE,"$435,574.08","$606,945.00",2011-10-26,Industrial
NM,SANTA FE,"$340,664.36","$552,665.00",2011-10-26,Residential
NM,SANTA FE,"$1,743,258.62","$1,474,027.50",2011-10-28,Industrial
NM,SANTA FE,"$80,657.02","$87,310.00",2011-10-31,Commercial 
NM,SANTA FE,"$382,736.84","$352,863.75",2011-10-31,Land
NM,SANTA FE,"$911,579.10","$1,026,345.00",2011-11-05,Industrial
NM,SANTA FE,"$757,867.92","$742,655.00",2011-11-07,Residential
NM,SANTA FE,"$138,003.82","$128,711.25",2011-11-08,Land
NM,SANTA FE,"$270,523.21","$435,100.00",2011-11-10,Residential
NM,SANTA FE,"$728,485.20","$970,415.00",2011-11-11,Residential
NM,SANTA FE,"$740,777.83","$768,865.00",2011-11-13,Residential
NM,SANTA FE,"$310,285.33","$370,605.00",2011-11-14,Land
NM,SANTA FE,"$836,860.72","$835,370.00",2011-11-17,Residential
NM,SANTA FE,"$233,432.68","$306,821.25",2011-11-18,Land
NM,SANTA FE,"$626,110.64","$873,785.00",2011-11-21,Residential
NM,SANTA FE,"$808,083.35","$769,495.00",2011-11-23,Residential
NM,SANTA FE,"$237,345.56","$212,636.25",2011-11-25,Land
NM,SANTA FE,"$288,242.61","$278,410.00",2011-11-26,Residential
NM,SANTA FE,"$1,858,246.60","$1,602,070.00",2011-11-29,Commercial 
NM,SANTA FE,"$549,495.16","$489,735.00",2011-12-04,Residential
NM,SANTA FE,"$706,619.60","$718,070.00",2011-12-06,Residential
NM,SANTA FE,"$829,685.84","$702,468.75",2011-12-11,Land
NM,SANTA FE,"$502,917.12","$864,000.00",2011-12-11,Residential
NM,SANTA FE,"$1,348,969.13","$1,874,400.00",2011-12-12,Commercial 
NM,SANTA FE,"$758,986.55","$614,370.00",2011-12-12,Industrial
NM,SANTA FE,"$215,731.93","$214,730.00",2011-12-14,Residential
NM,SANTA FE,"$296,514.88","$314,410.00",2011-12-17,Residential
NM,SANTA FE,"$623,404.73","$980,570.00",2011-12-19,Residential
NM,SANTA FE,"$909,338.42","$797,730.00",2011-12-23,Commercial 
NM,SANTA FE,"$155,636.14","$136,620.00",2011-12-23,Land
NM,SANTA FE,"$626,673.13","$765,100.00",2011-12-23,Commercial 
NM,SANTA FE,"$871,577.53","$677,137.50",2011-12-26,Industrial
NM,SANTA FE,"$781,387.40","$821,805.00",2011-12-27,Residential
NM,SANTA FE,"$378,657.92","$524,478.75",2011-12-28,Land
NM,SANTA FE,"$1,296,098.91","$1,162,222.50",2011-12-31,Industrial
NM,SANTA FE,"$238,898.73","$325,972.50",2011-12-31,Land
NM,SANTA FE,"$95,096.66","$141,082.50",2011-12-31,Land
NM,SANTA FE,"$408,244.53","$587,681.25",2012-01-01,Land
NM,SANTA FE,"$1,167,556.23","$1,317,337.50",2012-01-04,Industrial
NM,SANTA FE,"$1,192,260.53","$988,810.00",2012-01-09,Commercial 
NM,SANTA FE,"$22,659.29","$31,835.00",2012-01-09,Residential
NM,SANTA FE,"$232,362.97","$266,955.00",2012-01-13,Land
NM,SANTA FE,"$402,081.87","$534,030.00",2012-01-15,Land
NM,SANTA FE,"$140,700.17","$178,935.00",2012-01-16,Industrial
NM,SANTA FE,"$194,516.21","$154,980.00",2012-01-17,Commercial 
NM,SANTA FE,"$1,620,086.43","$1,475,520.00",2012-01-19,Commercial 
NM,SANTA FE,"$523,050.79","$722,276.25",2012-01-19,Land
NM,SANTA FE,"$97,459.87","$76,477.50",2012-01-24,Industrial
NM,SANTA FE,"$50,056.82","$60,975.00",2012-01-26,Industrial
NM,SANTA FE,"$442,001.18","$587,580.00",2012-01-26,Land
NM,SANTA FE,"$57,557.63","$77,430.00",2012-01-28,Residential
NM,SANTA FE,"$1,233,545.04","$1,114,110.00",2012-01-28,Industrial
NM,SANTA FE,"$349,918.14","$308,118.75",2012-01-28,Land
NM,SANTA FE,"$1,054,065.14","$1,215,817.50",2012-01-31,Industrial
NM,SANTA FE,"$1,321,603.24","$1,564,420.00",2012-01-31,Commercial 
NM,SANTA FE,"$776,904.60","$614,115.00",2012-02-01,Industrial
NM,SANTA FE,"$1,693,114.99","$1,386,787.50",2012-02-01,Industrial
NM,SANTA FE,"$74,324.13","$71,602.50",2012-02-02,Land
NM,SANTA FE,"$112,777.47","$139,882.50",2012-02-02,Land
NM,SANTA FE,"$83,774.33","$68,625.00",2012-02-03,Land
NM,SANTA FE,"$224,546.38","$371,660.00",2012-02-03,Residential
NM,SANTA FE,"$538,904.21","$428,647.50",2012-02-07,Land
NM,SANTA FE,"$582,729.80","$691,552.50",2012-02-10,Industrial
NM,SANTA FE,"$1,353,628.90","$1,774,910.00",2012-02-13,Commercial 
NM,SANTA FE,"$258,216.33","$291,025.00",2012-02-15,Residential
NM,SANTA FE,"$380,025.08","$461,621.25",2012-02-16,Land
NM,SANTA FE,"$1,125,071.97","$1,025,737.50",2012-02-17,Industrial
NM,SANTA FE,"$878,330.94","$904,200.00",2012-02-20,Residential
NM,SANTA FE,"$1,127,984.73","$996,585.00",2012-02-23,Industrial
NM,SANTA FE,"$1,038,133.32","$841,020.00",2012-02-23,Commercial 
NM,SANTA FE,"$529,966.31","$614,055.00",2012-02-25,Industrial
NM,SANTA FE,"$799,895.88","$950,380.00",2012-02-29,Commercial 
NM,SANTA FE,"$184,106.81","$188,320.00",2012-03-07,Residential
NM,SANTA FE,"$515,844.92","$588,600.00",2012-03-08,Commercial 
NM,SANTA FE,"$246,089.77","$276,123.75",2012-03-09,Land
NM,SANTA FE,"$392,560.46","$469,700.00",2012-03-09,Commercial 
