State,City,Investment,Revenue,Date,Property Type
NV,LAS VEGAS,"$1,816,547.53","$1,370,550.00",2011-01-01,Commercial 
NV,LAS VEGAS,"$688,334.70","$687,765.00",2011-01-01,Residential
NV,LAS VEGAS,"$1,722,815.44","$1,930,280.00",2011-01-03,Commercial 
NV,LAS VEGAS,"$36,931.90","$47,302.50",2011-01-05,Land
NV,LAS VEGAS,"$524,825.11","$502,890.00",2011-01-05,Residential
NV,LAS VEGAS,"$85,132.37","$121,830.00",2011-01-06,Industrial
NV,LAS VEGAS,"$1,198,990.53","$900,570.00",2011-01-08,Commercial 
NV,LAS VEGAS,"$876,195.00","$1,267,845.00",2011-01-09,Industrial
NV,LAS VEGAS,"$279,159.32","$256,815.00",2011-01-14,Residential
NV,LAS VEGAS,"$520,437.92","$654,285.00",2011-01-18,Industrial
NV,LAS VEGAS,"$1,117,575.73","$840,340.00",2011-01-23,Commercial 
NV,LAS VEGAS,"$2,165,094.60","$1,838,670.00",2011-01-23,Commercial 
NV,LAS VEGAS,"$159,941.38","$175,685.00",2011-01-23,Residential
NV,LAS VEGAS,"$187,934.47","$141,830.00",2011-01-25,Commercial 
NV,LAS VEGAS,"$723,995.17","$576,337.50",2011-01-27,Land
NV,LAS VEGAS,"$244,546.20","$284,617.50",2011-01-27,Industrial
NV,LAS VEGAS,"$434,242.95","$498,225.00",2011-01-28,Land
NV,LAS VEGAS,"$728,090.65","$972,720.00",2011-01-28,Residential
NV,LAS VEGAS,"$481,256.45","$397,957.50",2011-02-10,Land
NV,LAS VEGAS,"$72,322.61","$102,431.25",2011-02-11,Land
NV,LAS VEGAS,"$857,444.86","$1,116,020.00",2011-02-12,Commercial 
NV,LAS VEGAS,"$688,148.17","$783,090.00",2011-02-14,Industrial
NV,LAS VEGAS,"$312,731.99","$291,595.00",2011-02-14,Residential
NV,LAS VEGAS,"$1,518,805.71","$1,148,220.00",2011-02-14,Commercial 
NV,LAS VEGAS,"$2,298,823.63","$1,707,140.00",2011-02-15,Commercial 
NV,LAS VEGAS,"$37,669.12","$58,095.00",2011-02-16,Residential
NV,LAS VEGAS,"$231,344.69","$327,363.75",2011-02-20,Land
NV,LAS VEGAS,"$437,940.10","$568,893.75",2011-02-21,Land
NV,LAS VEGAS,"$446,788.61","$629,705.00",2011-02-24,Residential
NV,LAS VEGAS,"$695,926.53","$645,005.00",2011-02-28,Residential
NV,LAS VEGAS,"$1,331,460.89","$1,174,300.00",2011-02-28,Commercial 
NV,LAS VEGAS,"$187,117.29","$274,305.00",2011-02-28,Residential
NV,LAS VEGAS,"$797,972.95","$827,170.00",2011-03-06,Residential
NV,LAS VEGAS,"$614,174.98","$456,690.00",2011-03-07,Commercial 
NV,LAS VEGAS,"$510,622.66","$430,792.50",2011-03-07,Land
NV,LAS VEGAS,"$1,474,749.94","$1,190,890.00",2011-03-14,Commercial 
NV,LAS VEGAS,"$1,373,399.39","$1,199,985.00",2011-03-18,Industrial
NV,LAS VEGAS,"$265,285.41","$312,430.00",2011-03-18,Commercial 
NV,LAS VEGAS,"$1,301,640.29","$1,466,670.00",2011-03-19,Industrial
NV,LAS VEGAS,"$172,227.17","$140,090.00",2011-03-25,Commercial 
NV,LAS VEGAS,"$119,020.71","$147,337.50",2011-03-25,Industrial
NV,LAS VEGAS,"$1,626,211.28","$1,408,890.00",2011-03-27,Industrial
NV,LAS VEGAS,"$356,985.77","$305,355.00",2011-03-27,Industrial
NV,LAS VEGAS,"$83,968.22","$110,021.25",2011-04-01,Land
NV,LAS VEGAS,"$829,894.23","$785,305.00",2011-04-01,Residential
NV,LAS VEGAS,"$520,238.56","$403,680.00",2011-04-05,Industrial
NV,LAS VEGAS,"$438,132.15","$610,492.50",2011-04-05,Land
NV,LAS VEGAS,"$1,111,866.95","$871,717.50",2011-04-14,Industrial
NV,LAS VEGAS,"$310,590.98","$442,462.50",2011-04-15,Land
NV,LAS VEGAS,"$1,305,676.86","$964,800.00",2011-04-20,Commercial 
NV,LAS VEGAS,"$510,058.69","$731,105.00",2011-04-22,Residential
NV,LAS VEGAS,"$1,026,650.92","$810,870.00",2011-04-24,Commercial 
NV,LAS VEGAS,"$973,894.27","$829,792.50",2011-04-25,Industrial
NV,LAS VEGAS,"$272,969.13","$337,286.25",2011-04-27,Land
NV,LAS VEGAS,"$1,482,590.22","$1,631,190.00",2011-04-28,Commercial 
NV,LAS VEGAS,"$696,096.42","$576,933.75",2011-04-29,Land
NV,LAS VEGAS,"$310,514.49","$319,400.00",2011-05-01,Residential
NV,LAS VEGAS,"$2,758,992.78","$1,981,100.00",2011-05-03,Commercial 
NV,LAS VEGAS,"$1,067,500.86","$1,150,610.00",2011-05-05,Commercial 
NV,LAS VEGAS,"$180,271.40","$238,470.00",2011-05-06,Industrial
NV,LAS VEGAS,"$63,818.85","$102,015.00",2011-05-09,Residential
NV,LAS VEGAS,"$371,704.64","$524,925.00",2011-05-13,Land
NV,LAS VEGAS,"$1,170,197.25","$1,384,537.50",2011-05-13,Industrial
NV,LAS VEGAS,"$809,152.11","$1,177,222.50",2011-05-13,Industrial
NV,LAS VEGAS,"$736,925.43","$780,345.00",2011-05-14,Residential
NV,LAS VEGAS,"$277,124.05","$417,835.00",2011-05-15,Residential
NV,LAS VEGAS,"$144,216.58","$121,785.00",2011-05-15,Land
NV,LAS VEGAS,"$641,900.38","$484,526.25",2011-05-19,Land
NV,LAS VEGAS,"$1,820,380.97","$1,572,100.00",2011-05-27,Commercial 
NV,LAS VEGAS,"$340,512.26","$493,704.63",2011-06-04,Industrial
NV,LAS VEGAS,"$269,309.84","$331,008.51",2011-06-13,Industrial
NV,LAS VEGAS,"$764,406.63","$636,448.70",2011-06-15,Industrial
NV,LAS VEGAS,"$259,297.14","$311,478.33",2011-06-17,Commercial 
NV,LAS VEGAS,"$919,956.13","$771,989.11",2011-06-18,Commercial 
NV,LAS VEGAS,"$1,915,066.73","$1,575,548.89",2011-06-20,Commercial 
NV,LAS VEGAS,"$404,687.69","$574,616.37",2011-06-21,Land
NV,LAS VEGAS,"$62,327.67","$91,532.25",2011-06-21,Land
NV,LAS VEGAS,"$260,596.31","$463,557.48",2011-06-22,Residential
NV,LAS VEGAS,"$109,525.14","$181,080.55",2011-06-28,Residential
NV,LAS VEGAS,"$2,203,113.98","$1,763,275.59",2011-06-28,Commercial 
NV,LAS VEGAS,"$482,786.41","$432,593.28",2011-06-28,Industrial
NV,LAS VEGAS,"$698,941.11","$828,672.92",2011-06-29,Industrial
NV,LAS VEGAS,"$1,045,631.95","$878,011.97",2011-07-01,Industrial
NV,LAS VEGAS,"$104,555.80","$137,692.85",2011-07-05,Industrial
NV,LAS VEGAS,"$486,974.51","$810,413.30",2011-07-14,Residential
NV,LAS VEGAS,"$898,989.54","$816,854.21",2011-07-17,Commercial 
NV,LAS VEGAS,"$690,487.77","$652,627.24",2011-07-19,Commercial 
NV,LAS VEGAS,"$627,244.18","$1,031,758.76",2011-07-21,Residential
NV,LAS VEGAS,"$362,314.90","$356,528.93",2011-07-27,Land
NV,LAS VEGAS,"$2,248,799.11","$1,939,971.77",2011-07-27,Commercial 
NV,LAS VEGAS,"$2,371,226.92","$1,898,961.71",2011-07-28,Commercial 
NV,LAS VEGAS,"$493,312.04","$522,252.80",2011-07-30,Residential
NV,LAS VEGAS,"$984,921.86","$1,207,059.77",2011-08-01,Industrial
NV,LAS VEGAS,"$544,453.35","$546,569.31",2011-08-02,Residential
NV,LAS VEGAS,"$177,240.15","$235,311.33",2011-08-04,Land
NV,LAS VEGAS,"$520,945.12","$506,029.40",2011-08-07,Land
NV,LAS VEGAS,"$860,470.41","$774,904.52",2011-08-07,Land
NV,LAS VEGAS,"$65,720.44","$78,166.19",2011-08-09,Land
NV,LAS VEGAS,"$1,143,416.54","$1,000,806.41",2011-08-12,Commercial 
NV,LAS VEGAS,"$20,866.70","$31,495.16",2011-08-14,Residential
NV,LAS VEGAS,"$807,099.72","$844,111.34",2011-08-14,Residential
NV,LAS VEGAS,"$1,052,415.58","$1,376,959.08",2011-08-17,Commercial 
NV,LAS VEGAS,"$484,594.36","$843,874.01",2011-08-19,Residential
NV,LAS VEGAS,"$411,066.03","$455,538.25",2011-08-20,Residential
NV,LAS VEGAS,"$563,968.29","$765,397.82",2011-08-22,Industrial
NV,LAS VEGAS,"$1,195,457.00","$933,447.97",2011-08-27,Commercial 
NV,LAS VEGAS,"$638,427.72","$854,028.86",2011-08-27,Residential
NV,LAS VEGAS,"$859,735.11","$864,898.78",2011-08-29,Residential
NV,LAS VEGAS,"$37,197.31","$46,650.00",2011-09-01,Land
NV,LAS VEGAS,"$751,963.49","$572,810.00",2011-09-02,Commercial 
NV,LAS VEGAS,"$368,300.98","$500,630.00",2011-09-02,Residential
NV,LAS VEGAS,"$40,888.91","$51,090.00",2011-09-03,Commercial 
NV,LAS VEGAS,"$229,533.25","$260,265.00",2011-09-05,Residential
NV,LAS VEGAS,"$1,642,590.06","$1,361,270.00",2011-09-06,Commercial 
NV,LAS VEGAS,"$115,240.63","$178,485.00",2011-09-06,Residential
NV,LAS VEGAS,"$1,350,185.63","$1,537,430.00",2011-09-06,Commercial 
NV,LAS VEGAS,"$1,179,885.81","$1,459,297.50",2011-09-07,Industrial
NV,LAS VEGAS,"$948,281.85","$1,246,755.00",2011-09-13,Industrial
NV,LAS VEGAS,"$343,209.51","$347,140.00",2011-09-13,Residential
NV,LAS VEGAS,"$451,127.36","$400,415.00",2011-09-14,Residential
NV,LAS VEGAS,"$679,210.05","$689,490.00",2011-09-15,Residential
NV,LAS VEGAS,"$680,501.32","$592,905.00",2011-09-16,Industrial
NV,LAS VEGAS,"$668,272.91","$595,020.00",2011-09-17,Industrial
NV,LAS VEGAS,"$233,373.95","$239,365.00",2011-09-18,Residential
NV,LAS VEGAS,"$552,224.33","$661,830.00",2011-09-20,Land
NV,LAS VEGAS,"$1,065,130.85","$1,388,500.00",2011-09-21,Commercial 
NV,LAS VEGAS,"$624,671.27","$570,350.00",2011-09-22,Residential
NV,LAS VEGAS,"$655,232.60","$518,540.00",2011-09-24,Commercial 
NV,LAS VEGAS,"$997,705.90","$772,950.00",2011-10-02,Commercial 
NV,LAS VEGAS,"$416,322.24","$584,225.00",2011-10-02,Residential
NV,LAS VEGAS,"$148,816.76","$181,250.00",2011-10-07,Commercial 
NV,LAS VEGAS,"$524,264.50","$598,860.00",2011-10-07,Commercial 
NV,LAS VEGAS,"$251,468.22","$214,788.75",2011-10-11,Land
NV,LAS VEGAS,"$523,843.41","$708,310.00",2011-10-12,Residential
NV,LAS VEGAS,"$424,611.49","$386,925.00",2011-10-14,Industrial
NV,LAS VEGAS,"$1,463,604.09","$1,406,745.00",2011-10-16,Industrial
NV,LAS VEGAS,"$296,963.01","$245,478.75",2011-10-16,Land
NV,LAS VEGAS,"$519,379.94","$742,115.00",2011-10-19,Residential
NV,LAS VEGAS,"$143,808.78","$160,820.00",2011-10-20,Commercial 
NV,LAS VEGAS,"$580,412.16","$520,091.25",2011-10-23,Land
NV,LAS VEGAS,"$574,383.01","$699,120.00",2011-10-28,Land
NV,LAS VEGAS,"$411,187.19","$711,920.00",2011-10-30,Residential
NV,LAS VEGAS,"$531,815.91","$425,940.00",2011-10-31,Land
NV,LAS VEGAS,"$139,187.51","$114,086.25",2011-11-02,Land
NV,LAS VEGAS,"$758,217.27","$807,960.00",2011-11-03,Residential
NV,LAS VEGAS,"$356,680.49","$531,385.00",2011-11-04,Residential
NV,LAS VEGAS,"$83,283.35","$86,095.00",2011-11-11,Residential
NV,LAS VEGAS,"$1,018,084.49","$998,355.00",2011-11-11,Residential
NV,LAS VEGAS,"$383,293.04","$523,560.00",2011-11-12,Industrial
NV,LAS VEGAS,"$1,523,178.33","$1,996,540.00",2011-11-13,Commercial 
NV,LAS VEGAS,"$847,717.47","$728,550.00",2011-11-14,Commercial 
NV,LAS VEGAS,"$821,140.31","$656,917.50",2011-11-14,Industrial
NV,LAS VEGAS,"$779,319.87","$1,113,330.00",2011-11-16,Industrial
NV,LAS VEGAS,"$95,682.77","$92,105.00",2011-11-17,Residential
