State,City,Investment,Revenue,Date,Property Type
NY,ROCHESTER,"$573,551.73","$561,800.00",2011-01-03,Residential
NY,NEW YORK,"$311,928.12","$296,337.85",2011-01-13,Industrial
NY,NEW YORK,"$835,049.11","$1,209,985.66",2011-01-14,Residential
NY,ROCHESTER,"$899,079.93","$715,930.00",2011-01-15,Commercial 
NY,ALBANY,"$209,789.27","$242,242.50",2011-01-20,Industrial
NY,NEW YORK,"$162,919.80","$149,583.00",2011-01-22,Residential
NY,NEW YORK,"$3,193,768.38","$2,528,385.94",2011-01-22,Commercial 
NY,NEW YORK,"$438,988.59","$294,414.41",2011-01-25,Commercial 
NY,ALBANY,"$631,846.84","$863,085.00",2011-01-25,Residential
NY,NEW YORK,"$515,539.79","$683,724.49",2011-01-28,Land
NY,NEW YORK,"$782,535.88","$983,504.26",2011-01-30,Residential
NY,NEW YORK,"$2,534,576.77","$1,561,438.46",2011-02-05,Commercial 
NY,NEW YORK,"$1,624,078.45","$1,388,437.76",2011-02-11,Commercial 
NY,ROCHESTER,"$137,028.86","$196,702.50",2011-02-13,Land
NY,NEW YORK,"$96,290.12","$112,727.93",2011-02-15,Land
NY,ROCHESTER,"$314,593.77","$539,315.00",2011-02-17,Residential
NY,ALBANY,"$121,174.63","$170,036.25",2011-02-21,Land
NY,ROCHESTER,"$83,945.84","$146,235.00",2011-02-21,Residential
NY,NEW YORK,"$1,671,816.78","$1,047,765.67",2011-02-22,Commercial 
NY,ROCHESTER,"$540,323.40","$409,646.25",2011-02-22,Land
NY,ROCHESTER,"$1,449,449.04","$1,982,120.00",2011-02-23,Commercial 
NY,ALBANY,"$642,329.92","$623,377.50",2011-02-26,Land
NY,NEW YORK,"$1,953,094.95","$1,653,389.83",2011-03-03,Commercial 
NY,ROCHESTER,"$787,466.85","$953,770.00",2011-03-04,Commercial 
NY,ROCHESTER,"$133,577.17","$185,910.00",2011-03-05,Commercial 
NY,ALBANY,"$240,295.92","$225,805.00",2011-03-08,Residential
NY,ROCHESTER,"$297,153.40","$258,262.50",2011-03-10,Land
NY,ALBANY,"$286,361.63","$393,010.00",2011-03-19,Residential
NY,ROCHESTER,"$663,010.42","$763,040.00",2011-03-25,Commercial 
NY,ROCHESTER,"$534,706.35","$501,840.00",2011-03-26,Industrial
NY,NEW YORK,"$1,659,454.50","$1,666,392.94",2011-03-27,Industrial
NY,NEW YORK,"$1,053,245.41","$1,209,089.44",2011-03-30,Commercial 
