State,City,Investment,Revenue,Date,Property Type
OH,CINCINNATI,"$916,745.22","$1,020,022.50",2011-01-01,Industrial
OH,COLUMBUS,"$335,082.42","$434,780.00",2011-01-01,Commercial 
OH,CLEVELAND,"$343,368.52","$416,730.00",2011-01-02,Commercial 
OH,CLEVELAND,"$485,182.67","$389,036.25",2011-01-02,Land
OH,COLUMBUS,"$571,327.28","$720,945.00",2011-01-02,Industrial
OH,COLUMBUS,"$252,463.48","$243,975.00",2011-01-02,Industrial
OH,CINCINNATI,"$496,007.47","$417,930.00",2011-01-03,Land
OH,COLUMBUS,"$1,238,147.38","$1,096,462.50",2011-01-05,Industrial
OH,CLEVELAND,"$409,823.81","$549,835.00",2011-01-06,Residential
OH,CINCINNATI,"$244,058.25","$375,595.00",2011-01-07,Residential
OH,COLUMBUS,"$372,800.38","$327,281.25",2011-01-08,Land
OH,CLEVELAND,"$509,949.16","$576,911.25",2011-01-08,Land
OH,CINCINNATI,"$642,547.34","$923,320.00",2011-01-08,Residential
OH,CINCINNATI,"$788,230.63","$692,043.75",2011-01-12,Land
OH,CLEVELAND,"$132,589.11","$191,152.50",2011-01-12,Land
OH,CLEVELAND,"$300,096.86","$480,930.00",2011-01-12,Residential
OH,COLUMBUS,"$185,850.44","$258,682.50",2011-01-12,Industrial
OH,COLUMBUS,"$1,025,948.88","$942,100.00",2011-01-12,Residential
OH,COLUMBUS,"$1,060,401.70","$780,680.00",2011-01-13,Commercial 
OH,COLUMBUS,"$1,025,376.25","$1,171,790.00",2011-01-14,Commercial 
OH,CLEVELAND,"$137,151.84","$131,681.25",2011-01-15,Land
OH,COLUMBUS,"$546,916.41","$675,330.00",2011-01-15,Commercial 
OH,CINCINNATI,"$141,370.43","$126,262.50",2011-01-16,Industrial
OH,CINCINNATI,"$731,609.26","$660,806.25",2011-01-16,Land
OH,COLUMBUS,"$877,761.00","$693,142.50",2011-01-17,Industrial
OH,COLUMBUS,"$1,104,920.11","$998,860.00",2011-01-17,Residential
OH,COLUMBUS,"$429,143.05","$545,075.00",2011-01-18,Residential
OH,COLUMBUS,"$470,171.96","$422,508.75",2011-01-18,Land
OH,COLUMBUS,"$862,736.89","$747,100.00",2011-01-18,Residential
OH,COLUMBUS,"$631,119.09","$848,395.00",2011-01-18,Residential
OH,CINCINNATI,"$161,086.13","$117,940.00",2011-01-19,Commercial 
OH,COLUMBUS,"$294,169.16","$310,350.00",2011-01-19,Commercial 
OH,COLUMBUS,"$69,605.18","$62,670.00",2011-01-19,Land
OH,COLUMBUS,"$1,143,737.31","$991,072.50",2011-01-20,Industrial
OH,CINCINNATI,"$736,664.41","$964,215.00",2011-01-21,Residential
OH,CINCINNATI,"$599,041.63","$662,890.00",2011-01-21,Commercial 
OH,CLEVELAND,"$509,318.45","$497,185.00",2011-01-21,Residential
OH,COLUMBUS,"$674,837.04","$573,202.50",2011-01-22,Land
OH,COLUMBUS,"$357,525.53","$319,578.75",2011-01-23,Land
OH,COLUMBUS,"$727,376.30","$660,010.00",2011-01-25,Residential
OH,CINCINNATI,"$405,380.75","$492,990.00",2011-01-25,Land
OH,CINCINNATI,"$590,505.78","$745,042.50",2011-01-25,Industrial
OH,CLEVELAND,"$1,935,293.62","$1,505,350.00",2011-01-25,Commercial 
OH,COLUMBUS,"$292,038.47","$378,577.50",2011-01-26,Industrial
OH,COLUMBUS,"$1,538,143.64","$1,198,650.00",2011-01-28,Industrial
OH,COLUMBUS,"$438,930.43","$406,355.00",2011-02-01,Residential
OH,CINCINNATI,"$1,654,238.25","$1,282,395.00",2011-02-02,Industrial
OH,COLUMBUS,"$78,471.99","$113,535.00",2011-02-04,Industrial
OH,CLEVELAND,"$78,994.74","$81,450.00",2011-02-05,Residential
OH,CINCINNATI,"$1,899,253.96","$1,448,640.00",2011-02-05,Industrial
OH,CLEVELAND,"$84,066.16","$93,510.00",2011-02-05,Commercial 
OH,CLEVELAND,"$1,569,469.54","$1,429,500.00",2011-02-06,Commercial 
OH,CINCINNATI,"$379,521.73","$500,272.50",2011-02-06,Land
OH,COLUMBUS,"$117,656.08","$123,790.00",2011-02-07,Commercial 
OH,CLEVELAND,"$190,523.42","$255,078.75",2011-02-07,Land
OH,CINCINNATI,"$383,778.79","$533,418.75",2011-02-08,Land
OH,CLEVELAND,"$957,584.76","$1,073,780.00",2011-02-09,Commercial 
OH,CLEVELAND,"$1,340,824.82","$1,496,320.00",2011-02-10,Commercial 
OH,CLEVELAND,"$693,686.99","$642,712.50",2011-02-10,Industrial
OH,CINCINNATI,"$1,130,378.71","$820,020.00",2011-02-11,Commercial 
OH,COLUMBUS,"$96,016.34","$125,336.25",2011-02-12,Land
OH,CINCINNATI,"$424,558.37","$536,760.00",2011-02-12,Residential
OH,CINCINNATI,"$479,312.91","$653,460.00",2011-02-13,Land
OH,CLEVELAND,"$725,419.16","$702,310.00",2011-02-13,Residential
OH,COLUMBUS,"$207,825.65","$301,432.50",2011-02-15,Land
OH,CINCINNATI,"$419,852.31","$579,202.50",2011-02-15,Land
OH,CINCINNATI,"$315,723.16","$292,117.50",2011-02-17,Land
OH,COLUMBUS,"$424,873.24","$509,835.00",2011-02-17,Residential
OH,CLEVELAND,"$240,067.49","$216,967.50",2011-02-18,Industrial
OH,CLEVELAND,"$45,741.45","$39,727.50",2011-02-19,Industrial
OH,CLEVELAND,"$2,040,782.94","$1,655,680.00",2011-02-19,Commercial 
OH,CLEVELAND,"$437,580.73","$498,037.50",2011-02-20,Land
OH,COLUMBUS,"$692,420.03","$772,230.00",2011-02-21,Industrial
OH,CINCINNATI,"$860,792.54","$1,191,380.00",2011-02-21,Commercial 
OH,COLUMBUS,"$92,409.72","$109,552.50",2011-02-22,Land
OH,CINCINNATI,"$338,327.92","$300,405.00",2011-02-22,Residential
OH,COLUMBUS,"$349,297.64","$494,365.00",2011-02-22,Residential
OH,CLEVELAND,"$724,785.51","$960,795.00",2011-02-23,Residential
OH,CINCINNATI,"$111,560.31","$105,815.00",2011-02-24,Residential
OH,COLUMBUS,"$434,097.63","$350,565.00",2011-02-24,Land
OH,COLUMBUS,"$160,339.12","$230,617.50",2011-02-25,Land
OH,CINCINNATI,"$763,204.46","$947,797.50",2011-02-25,Industrial
OH,CLEVELAND,"$579,646.90","$801,425.00",2011-02-26,Residential
OH,CLEVELAND,"$85,746.71","$114,971.25",2011-02-26,Land
OH,CINCINNATI,"$189,110.45","$273,577.50",2011-02-26,Industrial
OH,COLUMBUS,"$630,864.58","$528,120.00",2011-02-27,Residential
OH,CINCINNATI,"$81,099.80","$109,710.00",2011-02-27,Residential
OH,CINCINNATI,"$580,570.66","$545,285.00",2011-02-27,Residential
OH,COLUMBUS,"$1,482,620.90","$1,133,440.00",2011-03-01,Commercial 
OH,CLEVELAND,"$450,408.77","$552,933.75",2011-03-01,Land
OH,COLUMBUS,"$58,995.26","$76,730.00",2011-03-02,Residential
OH,CLEVELAND,"$57,881.47","$66,521.25",2011-03-02,Land
OH,CLEVELAND,"$1,417,286.34","$1,204,640.00",2011-03-02,Commercial 
OH,CLEVELAND,"$139,139.08","$161,156.25",2011-03-03,Land
OH,CINCINNATI,"$2,272,571.11","$1,937,900.00",2011-03-04,Commercial 
OH,COLUMBUS,"$378,932.89","$312,821.25",2011-03-04,Land
OH,COLUMBUS,"$257,929.09","$225,112.50",2011-03-06,Land
OH,CINCINNATI,"$74,020.65","$114,825.00",2011-03-06,Residential
OH,CLEVELAND,"$199,772.05","$150,772.50",2011-03-06,Industrial
OH,CINCINNATI,"$985,546.70","$1,459,312.50",2011-03-07,Industrial
OH,COLUMBUS,"$1,171,636.23","$1,340,775.00",2011-03-07,Industrial
OH,COLUMBUS,"$994,445.56","$831,920.00",2011-03-08,Commercial 
OH,COLUMBUS,"$959,317.36","$1,219,600.00",2011-03-08,Commercial 
OH,COLUMBUS,"$572,347.30","$487,610.00",2011-03-08,Residential
OH,COLUMBUS,"$94,022.67","$82,226.25",2011-03-09,Land
OH,CINCINNATI,"$207,746.68","$213,790.00",2011-03-10,Residential
OH,COLUMBUS,"$753,863.40","$1,068,067.50",2011-03-10,Industrial
OH,CINCINNATI,"$538,533.98","$494,500.00",2011-03-10,Residential
OH,COLUMBUS,"$892,700.21","$804,125.00",2011-03-10,Residential
OH,CINCINNATI,"$744,310.30","$627,170.00",2011-03-11,Commercial 
OH,CLEVELAND,"$340,691.68","$413,190.00",2011-03-11,Land
OH,CINCINNATI,"$76,579.92","$69,427.50",2011-03-11,Industrial
OH,COLUMBUS,"$27,669.07","$35,260.00",2011-03-12,Residential
OH,CINCINNATI,"$544,206.49","$732,550.00",2011-03-13,Residential
OH,CLEVELAND,"$67,857.59","$85,985.00",2011-03-14,Residential
OH,CLEVELAND,"$854,248.78","$1,265,647.50",2011-03-14,Industrial
OH,CLEVELAND,"$330,113.27","$364,930.00",2011-03-14,Commercial 
OH,CLEVELAND,"$1,014,580.69","$1,204,040.00",2011-03-14,Commercial 
OH,COLUMBUS,"$620,964.41","$845,540.00",2011-03-15,Commercial 
OH,CLEVELAND,"$1,249,161.34","$1,155,825.00",2011-03-17,Industrial
OH,COLUMBUS,"$72,300.88","$65,381.25",2011-03-17,Land
OH,COLUMBUS,"$224,002.25","$321,108.75",2011-03-17,Land
OH,CLEVELAND,"$433,218.21","$519,970.00",2011-03-17,Commercial 
OH,CINCINNATI,"$133,283.12","$132,745.00",2011-03-17,Residential
OH,CINCINNATI,"$746,635.93","$701,110.00",2011-03-18,Residential
OH,CLEVELAND,"$926,223.52","$846,095.00",2011-03-20,Residential
OH,CINCINNATI,"$262,723.89","$198,652.50",2011-03-20,Land
OH,CLEVELAND,"$927,831.70","$923,195.00",2011-03-22,Residential
OH,CINCINNATI,"$1,808,710.18","$1,419,920.00",2011-03-22,Commercial 
OH,CINCINNATI,"$556,501.99","$484,020.00",2011-03-22,Industrial
OH,COLUMBUS,"$130,158.48","$113,857.50",2011-03-23,Land
OH,CLEVELAND,"$585,865.42","$552,487.50",2011-03-23,Industrial
OH,CLEVELAND,"$173,320.16","$150,030.00",2011-03-23,Residential
OH,CINCINNATI,"$937,946.05","$911,775.00",2011-03-24,Residential
OH,CINCINNATI,"$287,586.07","$399,015.00",2011-03-24,Land
OH,CLEVELAND,"$127,624.45","$105,697.50",2011-03-24,Industrial
OH,CINCINNATI,"$814,116.02","$965,782.50",2011-03-25,Industrial
OH,COLUMBUS,"$914,491.25","$758,100.00",2011-03-25,Residential
OH,CINCINNATI,"$413,347.62","$578,707.50",2011-03-25,Land
OH,COLUMBUS,"$1,221,309.16","$1,312,620.00",2011-03-26,Commercial 
OH,CLEVELAND,"$1,386,431.82","$1,677,510.00",2011-03-26,Commercial 
OH,CLEVELAND,"$150,656.06","$212,962.50",2011-03-27,Land
OH,CLEVELAND,"$922,305.48","$1,054,730.00",2011-03-27,Commercial 
OH,CLEVELAND,"$194,513.05","$268,435.00",2011-03-28,Residential
OH,CINCINNATI,"$1,229,743.48","$1,082,782.50",2011-03-28,Industrial
OH,COLUMBUS,"$811,858.98","$660,187.50",2011-03-28,Industrial
OH,COLUMBUS,"$425,014.19","$474,550.00",2011-03-29,Commercial 
OH,CINCINNATI,"$977,594.66","$948,750.00",2011-03-29,Industrial
OH,CINCINNATI,"$443,412.77","$609,130.00",2011-03-30,Commercial 
OH,CINCINNATI,"$75,593.77","$85,732.50",2011-04-01,Land
OH,CLEVELAND,"$163,932.93","$135,490.00",2011-04-01,Commercial 
OH,CLEVELAND,"$246,194.37","$336,386.25",2011-04-02,Land
OH,CINCINNATI,"$721,947.83","$663,400.00",2011-04-02,Commercial 
OH,COLUMBUS,"$318,739.26","$262,320.00",2011-04-04,Commercial 
OH,CINCINNATI,"$515,035.99","$712,130.00",2011-04-05,Residential
OH,CLEVELAND,"$725,154.07","$894,890.00",2011-04-05,Commercial 
OH,CLEVELAND,"$120,622.31","$182,475.00",2011-04-06,Residential
OH,CLEVELAND,"$344,047.63","$295,957.50",2011-04-06,Land
OH,CINCINNATI,"$695,992.04","$549,431.25",2011-04-07,Land
OH,COLUMBUS,"$668,402.99","$701,260.00",2011-04-07,Residential
OH,COLUMBUS,"$97,628.08","$134,480.00",2011-04-08,Residential
OH,COLUMBUS,"$78,032.81","$59,520.00",2011-04-08,Commercial 
OH,COLUMBUS,"$299,719.37","$446,396.25",2011-04-09,Land
OH,COLUMBUS,"$1,083,428.06","$989,835.00",2011-04-09,Industrial
OH,COLUMBUS,"$461,828.10","$534,727.50",2011-04-10,Land
OH,CLEVELAND,"$377,499.43","$321,892.50",2011-04-10,Land
OH,CINCINNATI,"$222,255.96","$198,745.00",2011-04-10,Residential
OH,CLEVELAND,"$241,930.85","$285,656.25",2011-04-10,Land
OH,CLEVELAND,"$614,514.87","$515,887.50",2011-04-12,Land
OH,COLUMBUS,"$1,719,574.10","$1,415,182.50",2011-04-13,Industrial
OH,COLUMBUS,"$544,063.37","$456,675.00",2011-04-14,Industrial
OH,CLEVELAND,"$40,917.47","$39,075.00",2011-04-15,Land
OH,CINCINNATI,"$787,511.22","$747,423.75",2011-04-15,Land
OH,COLUMBUS,"$321,776.30","$395,745.00",2011-04-16,Land
OH,COLUMBUS,"$1,316,892.54","$1,384,930.00",2011-04-17,Commercial 
OH,CLEVELAND,"$1,648,888.44","$1,405,110.00",2011-04-17,Commercial 
OH,COLUMBUS,"$575,385.55","$801,760.00",2011-04-18,Residential
OH,COLUMBUS,"$675,130.02","$618,395.00",2011-04-19,Residential
OH,COLUMBUS,"$948,141.48","$787,410.00",2011-04-20,Residential
OH,CINCINNATI,"$1,375,423.78","$1,104,770.00",2011-04-20,Commercial 
OH,CINCINNATI,"$1,700,522.86","$1,288,372.50",2011-04-21,Industrial
OH,COLUMBUS,"$181,038.28","$188,545.00",2011-04-22,Residential
OH,COLUMBUS,"$1,188,603.98","$895,920.00",2011-04-22,Commercial 
OH,COLUMBUS,"$95,526.79","$86,501.25",2011-04-24,Land
OH,CLEVELAND,"$877,188.66","$1,288,732.50",2011-04-25,Industrial
OH,CLEVELAND,"$1,201,334.18","$984,450.00",2011-04-25,Industrial
OH,CINCINNATI,"$1,592,089.31","$1,168,140.00",2011-04-27,Commercial 
OH,COLUMBUS,"$469,832.22","$595,455.00",2011-04-27,Residential
OH,COLUMBUS,"$1,559,850.09","$1,909,030.00",2011-04-28,Commercial 
OH,CINCINNATI,"$744,955.81","$742,575.00",2011-04-29,Residential
OH,CINCINNATI,"$259,966.83","$384,155.00",2011-04-29,Residential
OH,COLUMBUS,"$735,231.69","$937,140.00",2011-04-29,Commercial 
OH,CLEVELAND,"$965,796.57","$796,230.00",2011-04-29,Residential
OH,CLEVELAND,"$1,226,648.65","$1,471,507.50",2011-04-30,Industrial
OH,COLUMBUS,"$1,533,223.83","$1,983,160.00",2011-04-30,Commercial 
OH,CINCINNATI,"$2,489,489.74","$1,867,580.00",2011-04-30,Commercial 
OH,COLUMBUS,"$2,097,648.58","$1,831,240.00",2011-05-02,Commercial 
OH,COLUMBUS,"$1,307,544.86","$1,136,452.50",2011-05-03,Industrial
OH,CLEVELAND,"$541,244.28","$721,850.00",2011-05-04,Commercial 
OH,COLUMBUS,"$1,981,776.94","$1,666,700.00",2011-05-04,Commercial 
OH,CLEVELAND,"$133,936.55","$194,115.00",2011-05-04,Residential
OH,COLUMBUS,"$85,292.45","$100,665.00",2011-05-05,Industrial
OH,CINCINNATI,"$342,116.29","$320,981.25",2011-05-07,Land
OH,CLEVELAND,"$744,243.86","$558,450.00",2011-05-07,Commercial 
OH,COLUMBUS,"$1,528,770.03","$1,317,770.00",2011-05-08,Commercial 
OH,COLUMBUS,"$1,292,880.75","$1,007,230.00",2011-05-08,Commercial 
OH,CLEVELAND,"$444,529.08","$534,280.00",2011-05-08,Commercial 
OH,CINCINNATI,"$726,132.91","$686,670.00",2011-05-09,Residential
OH,CINCINNATI,"$1,030,126.88","$784,230.00",2011-05-10,Commercial 
OH,COLUMBUS,"$333,360.31","$426,101.25",2011-05-10,Land
OH,COLUMBUS,"$924,379.53","$1,160,220.00",2011-05-10,Commercial 
OH,CLEVELAND,"$176,599.78","$145,120.00",2011-05-11,Commercial 
OH,COLUMBUS,"$1,425,828.94","$1,105,940.00",2011-05-13,Commercial 
OH,COLUMBUS,"$1,106,663.04","$979,190.00",2011-05-13,Residential
OH,CLEVELAND,"$928,157.23","$1,359,300.00",2011-05-13,Industrial
OH,CINCINNATI,"$180,520.32","$202,275.00",2011-05-14,Land
OH,CINCINNATI,"$95,739.79","$132,427.50",2011-05-14,Industrial
OH,CINCINNATI,"$537,016.95","$770,955.00",2011-05-15,Residential
OH,CLEVELAND,"$1,918,437.93","$1,392,490.00",2011-05-15,Commercial 
OH,CINCINNATI,"$359,474.88","$448,665.00",2011-05-15,Industrial
OH,COLUMBUS,"$460,416.60","$380,475.00",2011-05-17,Industrial
OH,COLUMBUS,"$506,038.96","$533,480.00",2011-05-17,Commercial 
OH,CLEVELAND,"$665,278.10","$896,960.00",2011-05-18,Commercial 
OH,CINCINNATI,"$793,204.66","$646,147.50",2011-05-19,Land
OH,COLUMBUS,"$123,004.58","$112,860.00",2011-05-19,Residential
OH,COLUMBUS,"$1,829,662.17","$1,380,825.00",2011-05-20,Industrial
OH,COLUMBUS,"$745,166.28","$1,064,280.00",2011-05-20,Industrial
OH,CINCINNATI,"$533,936.64","$546,255.00",2011-05-21,Residential
OH,COLUMBUS,"$762,044.92","$605,898.75",2011-05-22,Land
OH,CINCINNATI,"$495,896.02","$642,760.00",2011-05-22,Commercial 
OH,COLUMBUS,"$1,569,947.96","$1,385,620.00",2011-05-24,Commercial 
OH,CINCINNATI,"$1,101,811.29","$1,273,785.00",2011-05-24,Industrial
OH,COLUMBUS,"$185,368.14","$291,200.00",2011-05-24,Residential
OH,CINCINNATI,"$858,711.86","$702,292.50",2011-05-24,Land
OH,CINCINNATI,"$1,506,685.10","$1,223,107.50",2011-05-25,Industrial
OH,CLEVELAND,"$605,344.11","$538,998.75",2011-05-25,Land
OH,CLEVELAND,"$832,263.54","$737,842.50",2011-05-26,Industrial
OH,CLEVELAND,"$301,980.85","$344,300.00",2011-05-26,Commercial 
OH,COLUMBUS,"$365,686.55","$495,416.25",2011-05-28,Land
OH,CLEVELAND,"$1,279,684.60","$973,462.50",2011-05-29,Industrial
OH,CLEVELAND,"$1,086,293.32","$927,607.50",2011-05-30,Industrial
OH,CLEVELAND,"$382,331.52","$566,186.20",2011-06-01,Commercial 
OH,COLUMBUS,"$83,963.17","$78,672.64",2011-06-01,Land
OH,CINCINNATI,"$23,948.62","$36,898.12",2011-06-03,Residential
OH,CLEVELAND,"$372,487.73","$324,849.03",2011-06-05,Industrial
OH,COLUMBUS,"$798,616.89","$686,326.02",2011-06-06,Commercial 
OH,COLUMBUS,"$539,173.66","$596,909.73",2011-06-06,Land
