State,City,Investment,Revenue,Date,Property Type
OK,OKLAHOMA CITY,"$663,425.76","$944,580.00",2011-01-01,Industrial
OK,OKLAHOMA CITY,"$2,523,481.26","$1,944,620.00",2011-01-03,Commercial 
OK,OKLAHOMA CITY,"$1,141,108.02","$877,500.00",2011-01-04,Commercial 
OK,OKLAHOMA CITY,"$962,520.85","$842,602.50",2011-01-04,Industrial
OK,OKLAHOMA CITY,"$1,907,803.69","$1,437,150.00",2011-01-04,Commercial 
OK,OKLAHOMA CITY,"$2,214,903.60","$1,769,440.00",2011-01-06,Commercial 
OK,TULSA,"$625,345.10","$580,110.00",2011-01-07,Residential
OK,TULSA,"$413,831.80","$336,770.00",2011-01-07,Commercial 
OK,TULSA,"$68,090.56","$96,086.25",2011-01-09,Land
OK,TULSA,"$926,218.89","$1,209,352.50",2011-01-09,Industrial
OK,TULSA,"$1,136,131.12","$1,481,227.50",2011-01-09,Industrial
OK,TULSA,"$158,742.23","$184,646.25",2011-01-09,Land
OK,OKLAHOMA CITY,"$332,792.61","$315,190.00",2011-01-10,Residential
OK,OKLAHOMA CITY,"$463,540.69","$383,081.25",2011-01-12,Land
OK,OKLAHOMA CITY,"$873,106.67","$882,235.00",2011-01-12,Residential
OK,TULSA,"$1,096,157.44","$1,387,100.00",2011-01-12,Commercial 
OK,OKLAHOMA CITY,"$875,260.18","$1,186,290.00",2011-01-14,Commercial 
OK,OKLAHOMA CITY,"$558,341.23","$541,955.00",2011-01-16,Residential
OK,TULSA,"$1,110,188.78","$1,356,817.50",2011-01-17,Industrial
OK,TULSA,"$1,061,360.34","$1,390,890.00",2011-01-19,Industrial
OK,OKLAHOMA CITY,"$509,066.31","$415,023.75",2011-01-22,Land
OK,TULSA,"$775,278.14","$646,567.50",2011-01-22,Industrial
OK,TULSA,"$101,990.74","$135,140.00",2011-01-22,Residential
OK,OKLAHOMA CITY,"$1,276,984.70","$1,607,020.00",2011-01-23,Commercial 
OK,OKLAHOMA CITY,"$521,015.43","$693,940.00",2011-01-23,Residential
OK,TULSA,"$909,211.56","$1,193,420.00",2011-01-23,Commercial 
OK,TULSA,"$1,733,269.74","$1,267,910.00",2011-01-24,Commercial 
OK,TULSA,"$1,006,014.49","$1,341,480.00",2011-01-26,Commercial 
OK,TULSA,"$373,527.15","$467,080.00",2011-01-28,Residential
OK,TULSA,"$782,742.53","$1,009,170.00",2011-01-29,Industrial
OK,TULSA,"$95,746.03","$87,635.00",2011-01-29,Residential
OK,OKLAHOMA CITY,"$474,818.53","$654,570.00",2011-01-29,Land
OK,OKLAHOMA CITY,"$977,606.40","$1,385,182.50",2011-02-02,Industrial
OK,TULSA,"$282,931.89","$414,875.00",2011-02-02,Residential
