State,City,Investment,Revenue,Date,Property Type
OR,BEND,"$609,297.76","$526,807.50",2011-01-02,Industrial
OR,BEND,"$425,202.79","$392,520.00",2011-01-02,Residential
OR,PORTLAND,"$26,978.08","$32,666.25",2011-01-02,Land
OR,PORTLAND,"$767,265.64","$1,120,537.50",2011-01-04,Industrial
OR,PORTLAND,"$795,261.09","$910,880.00",2011-01-04,Commercial 
OR,BEND,"$508,368.03","$587,340.00",2011-01-05,Commercial 
OR,BEND,"$289,078.34","$361,380.00",2011-01-06,Commercial 
OR,BEND,"$850,828.43","$989,542.50",2011-01-07,Industrial
OR,PORTLAND,"$851,870.04","$994,455.00",2011-01-07,Industrial
OR,PORTLAND,"$231,441.07","$219,035.00",2011-01-08,Residential
OR,BEND,"$1,005,964.96","$842,885.00",2011-01-08,Residential
OR,BEND,"$279,162.53","$404,167.50",2011-01-11,Industrial
OR,BEND,"$340,099.07","$281,105.00",2011-01-11,Residential
OR,PORTLAND,"$42,511.78","$50,268.75",2011-01-12,Land
OR,PORTLAND,"$1,181,615.17","$1,455,890.00",2011-01-12,Commercial 
OR,PORTLAND,"$115,845.84","$145,177.50",2011-01-12,Industrial
OR,PORTLAND,"$519,443.95","$673,177.50",2011-01-12,Industrial
OR,BEND,"$785,767.56","$639,761.25",2011-01-13,Land
OR,PORTLAND,"$71,232.91","$57,382.50",2011-01-13,Industrial
OR,BEND,"$173,956.87","$215,630.00",2011-01-14,Residential
OR,BEND,"$680,516.15","$872,930.00",2011-01-14,Commercial 
OR,PORTLAND,"$521,054.57","$465,460.00",2011-01-15,Residential
OR,PORTLAND,"$509,668.47","$417,138.75",2011-01-15,Land
OR,BEND,"$225,956.18","$214,955.00",2011-01-15,Residential
OR,PORTLAND,"$789,248.07","$1,072,950.00",2011-01-15,Commercial 
OR,BEND,"$476,888.02","$630,450.00",2011-01-16,Residential
OR,PORTLAND,"$68,774.48","$70,050.00",2011-01-16,Residential
OR,BEND,"$442,512.78","$401,675.00",2011-01-17,Residential
OR,BEND,"$295,384.35","$330,588.75",2011-01-17,Land
OR,PORTLAND,"$936,606.83","$1,070,060.00",2011-01-18,Commercial 
OR,BEND,"$34,064.40","$32,295.00",2011-01-19,Residential
OR,BEND,"$860,839.53","$838,710.00",2011-01-19,Industrial
OR,BEND,"$1,119,673.84","$842,512.50",2011-01-19,Industrial
OR,PORTLAND,"$835,466.63","$736,275.00",2011-01-20,Land
