State,City,Investment,Revenue,Date,Property Type
RI,PROVIDENCE,"$1,105,797.47","$976,705.00",2011-01-02,Residential
RI,PROVIDENCE,"$357,236.08","$441,670.00",2011-01-14,Residential
RI,PROVIDENCE,"$407,555.41","$364,355.00",2011-01-28,Residential
RI,PROVIDENCE,"$1,149,512.17","$1,422,030.00",2011-02-05,Industrial
RI,PROVIDENCE,"$336,907.60","$442,760.00",2011-02-11,Residential
RI,PROVIDENCE,"$206,317.54","$321,275.00",2011-02-15,Residential
RI,PROVIDENCE,"$1,594,040.31","$1,923,820.00",2011-02-21,Commercial 
RI,PROVIDENCE,"$596,973.15","$812,450.00",2011-02-21,Commercial 
RI,PROVIDENCE,"$875,600.49","$1,152,590.00",2011-03-06,Commercial 
RI,PROVIDENCE,"$1,668,188.18","$1,998,530.00",2011-03-10,Commercial 
RI,PROVIDENCE,"$194,933.51","$284,242.50",2011-03-12,Industrial
RI,PROVIDENCE,"$38,584.48","$57,127.50",2011-03-16,Land
RI,PROVIDENCE,"$173,751.22","$216,547.50",2011-03-18,Land
RI,PROVIDENCE,"$1,806,996.32","$1,368,830.00",2011-03-23,Commercial 
RI,PROVIDENCE,"$2,141,880.64","$1,904,570.00",2011-03-23,Commercial 
RI,PROVIDENCE,"$1,183,793.28","$1,248,950.00",2011-03-25,Commercial 
RI,PROVIDENCE,"$266,995.85","$297,581.25",2011-04-03,Land
RI,PROVIDENCE,"$392,276.62","$307,680.00",2011-04-10,Land
RI,PROVIDENCE,"$1,607,828.51","$1,737,320.00",2011-04-16,Commercial 
RI,PROVIDENCE,"$1,143,212.09","$1,029,420.00",2011-04-16,Industrial
RI,PROVIDENCE,"$92,335.12","$130,695.00",2011-04-24,Residential
RI,PROVIDENCE,"$1,091,017.35","$952,510.00",2011-04-26,Residential
RI,PROVIDENCE,"$798,353.04","$895,125.00",2011-05-02,Industrial
RI,PROVIDENCE,"$695,638.62","$663,975.00",2011-05-02,Residential
RI,PROVIDENCE,"$249,701.86","$207,562.50",2011-05-03,Industrial
RI,PROVIDENCE,"$265,820.96","$424,835.00",2011-05-03,Residential
RI,PROVIDENCE,"$830,116.77","$1,232,505.00",2011-05-05,Industrial
RI,PROVIDENCE,"$586,584.27","$681,472.50",2011-05-11,Industrial
RI,PROVIDENCE,"$2,030,660.53","$1,626,660.00",2011-05-13,Commercial 
RI,PROVIDENCE,"$607,827.86","$750,265.00",2011-05-15,Residential
RI,PROVIDENCE,"$391,563.55","$279,410.00",2011-05-24,Commercial 
RI,PROVIDENCE,"$448,421.87","$357,322.50",2011-05-24,Industrial
RI,PROVIDENCE,"$1,373,547.53","$1,611,190.00",2011-05-24,Commercial 
RI,PROVIDENCE,"$2,134,679.69","$1,948,730.00",2011-05-31,Commercial 
RI,PROVIDENCE,"$1,785,861.14","$2,397,630.73",2011-07-01,Commercial 
RI,PROVIDENCE,"$1,567,106.12","$1,382,944.41",2011-07-02,Industrial
RI,PROVIDENCE,"$988,966.56","$1,010,483.01",2011-07-02,Residential
RI,PROVIDENCE,"$923,625.73","$1,276,667.71",2011-07-03,Commercial 
RI,PROVIDENCE,"$22,710.54","$31,958.13",2011-07-17,Land
RI,PROVIDENCE,"$186,618.04","$151,908.43",2011-07-25,Commercial 
RI,PROVIDENCE,"$254,741.48","$410,649.21",2011-07-26,Commercial 
RI,PROVIDENCE,"$783,016.82","$695,802.17",2011-07-30,Residential
RI,PROVIDENCE,"$394,875.14","$567,468.14",2011-08-08,Commercial 
RI,PROVIDENCE,"$707,730.81","$723,622.45",2011-08-08,Residential
RI,PROVIDENCE,"$106,341.96","$163,250.79",2011-08-15,Industrial
RI,PROVIDENCE,"$1,223,112.94","$1,654,392.67",2011-08-17,Industrial
RI,PROVIDENCE,"$1,014,063.27","$1,317,386.40",2011-08-29,Commercial 
RI,PROVIDENCE,"$407,660.90","$555,500.00",2011-09-01,Residential
RI,PROVIDENCE,"$1,896,929.69","$1,484,890.00",2011-09-02,Commercial 
RI,PROVIDENCE,"$167,981.04","$255,770.00",2011-09-04,Residential
RI,PROVIDENCE,"$581,858.33","$499,368.75",2011-09-07,Land
RI,PROVIDENCE,"$251,629.01","$214,342.50",2011-09-08,Land
RI,PROVIDENCE,"$868,615.12","$776,285.00",2011-09-08,Residential
RI,PROVIDENCE,"$1,293,277.48","$997,830.00",2011-09-13,Industrial
RI,PROVIDENCE,"$155,742.01","$119,410.00",2011-09-13,Commercial 
RI,PROVIDENCE,"$1,688,563.03","$1,490,490.00",2011-09-23,Commercial 
RI,PROVIDENCE,"$469,249.18","$564,585.00",2011-10-15,Land
RI,PROVIDENCE,"$416,068.45","$375,112.50",2011-10-15,Industrial
RI,PROVIDENCE,"$327,486.61","$314,105.00",2011-11-02,Residential
RI,PROVIDENCE,"$353,389.21","$416,595.00",2011-11-03,Land
RI,PROVIDENCE,"$997,370.26","$1,286,370.00",2011-11-09,Commercial 
RI,PROVIDENCE,"$500,690.77","$426,820.00",2011-11-27,Commercial 
RI,PROVIDENCE,"$900,504.76","$980,430.00",2011-12-02,Commercial 
RI,PROVIDENCE,"$752,588.76","$610,623.75",2011-12-11,Land
RI,PROVIDENCE,"$41,169.25","$53,875.00",2011-12-16,Residential
RI,PROVIDENCE,"$468,942.27","$378,918.75",2011-12-18,Land
RI,PROVIDENCE,"$121,953.33","$108,840.00",2011-12-25,Industrial
RI,PROVIDENCE,"$825,550.83","$704,677.50",2011-12-26,Industrial
RI,PROVIDENCE,"$163,809.63","$163,265.00",2011-12-29,Residential
RI,PROVIDENCE,"$437,459.80","$409,327.50",2012-01-01,Industrial
RI,PROVIDENCE,"$210,262.62","$188,718.75",2012-01-05,Land
RI,PROVIDENCE,"$534,514.03","$673,715.00",2012-01-08,Residential
RI,PROVIDENCE,"$318,094.26","$448,260.00",2012-01-12,Land
RI,PROVIDENCE,"$584,126.75","$848,855.00",2012-01-24,Residential
RI,PROVIDENCE,"$496,319.52","$555,558.75",2012-01-25,Land
RI,PROVIDENCE,"$1,202,694.33","$931,447.50",2012-01-28,Industrial
RI,PROVIDENCE,"$350,767.89","$406,061.25",2012-02-02,Land
RI,PROVIDENCE,"$1,939,486.07","$1,556,400.00",2012-02-06,Commercial 
RI,PROVIDENCE,"$107,803.07","$136,087.50",2012-02-24,Industrial
RI,PROVIDENCE,"$1,865,173.51","$1,407,667.50",2012-03-02,Industrial
RI,PROVIDENCE,"$907,908.27","$793,300.00",2012-03-02,Residential
RI,PROVIDENCE,"$198,124.87","$221,047.50",2012-03-06,Industrial
RI,PROVIDENCE,"$297,870.70","$222,870.00",2012-03-08,Commercial 
RI,PROVIDENCE,"$879,266.78","$714,502.50",2012-03-10,Industrial
RI,PROVIDENCE,"$1,993,105.27","$1,553,820.00",2012-03-20,Commercial 
RI,PROVIDENCE,"$910,107.44","$791,775.00",2012-03-24,Residential
