State,City,Investment,Revenue,Date,Property Type
SC,COLUMBIA,"$1,540,148.86","$1,351,500.00",2011-01-03,Industrial
SC,COLUMBIA,"$156,053.15","$187,293.75",2011-01-06,Land
SC,COLUMBIA,"$892,302.99","$750,127.50",2011-01-09,Industrial
SC,COLUMBIA,"$801,975.75","$968,870.00",2011-01-26,Commercial 
SC,COLUMBIA,"$862,106.06","$722,240.00",2011-01-26,Commercial 
SC,COLUMBIA,"$1,383,930.69","$1,323,165.00",2011-01-30,Industrial
SC,COLUMBIA,"$2,233,321.25","$1,622,170.00",2011-02-01,Commercial 
SC,COLUMBIA,"$654,123.63","$573,641.25",2011-02-05,Land
SC,COLUMBIA,"$257,791.98","$290,902.50",2011-02-06,Industrial
SC,COLUMBIA,"$639,047.22","$568,130.00",2011-02-08,Residential
SC,COLUMBIA,"$368,475.11","$547,462.50",2011-02-08,Land
SC,COLUMBIA,"$372,879.58","$477,603.75",2011-02-11,Land
SC,COLUMBIA,"$423,416.76","$521,385.00",2011-02-14,Industrial
SC,COLUMBIA,"$805,976.16","$693,742.50",2011-02-27,Industrial
SC,COLUMBIA,"$435,805.51","$358,342.50",2011-03-05,Land
SC,COLUMBIA,"$493,117.06","$767,920.00",2011-03-10,Residential
SC,COLUMBIA,"$132,333.76","$191,570.00",2011-03-15,Residential
SC,COLUMBIA,"$955,835.48","$791,180.00",2011-03-23,Commercial 
SC,COLUMBIA,"$49,896.55","$60,815.00",2011-03-24,Residential
SC,COLUMBIA,"$563,890.45","$463,458.75",2011-03-27,Land
SC,COLUMBIA,"$1,029,752.01","$1,367,720.00",2011-03-31,Commercial 
SC,COLUMBIA,"$72,352.06","$64,400.00",2011-03-31,Residential
SC,COLUMBIA,"$651,951.45","$533,490.00",2011-04-06,Industrial
SC,COLUMBIA,"$421,782.05","$488,745.00",2011-04-10,Industrial
SC,COLUMBIA,"$849,353.93","$771,700.00",2011-04-13,Residential
SC,COLUMBIA,"$531,674.16","$387,320.00",2011-04-15,Commercial 
SC,COLUMBIA,"$40,946.20","$54,550.00",2011-04-16,Commercial 
SC,COLUMBIA,"$195,083.37","$150,206.25",2011-04-23,Land
SC,COLUMBIA,"$656,980.72","$849,800.00",2011-04-26,Commercial 
SC,COLUMBIA,"$451,460.83","$654,005.00",2011-05-02,Residential
SC,COLUMBIA,"$317,054.29","$373,440.00",2011-05-05,Land
SC,COLUMBIA,"$152,155.44","$199,590.00",2011-05-13,Land
SC,COLUMBIA,"$845,212.89","$946,095.00",2011-05-13,Industrial
SC,COLUMBIA,"$783,322.96","$1,023,070.00",2011-05-18,Commercial 
SC,COLUMBIA,"$471,365.51","$411,285.00",2011-05-24,Land
SC,COLUMBIA,"$363,790.12","$371,785.00",2011-05-26,Residential
SC,COLUMBIA,"$585,105.42","$890,460.00",2011-05-30,Residential
SC,COLUMBIA,"$827,733.14","$771,790.78",2011-06-05,Land
SC,COLUMBIA,"$117,882.24","$102,271.21",2011-06-09,Residential
SC,COLUMBIA,"$2,360,662.99","$1,908,213.03",2011-06-14,Commercial 
SC,COLUMBIA,"$1,247,440.00","$1,313,156.83",2011-06-18,Industrial
SC,COLUMBIA,"$951,398.60","$1,185,756.49",2011-06-19,Residential
SC,COLUMBIA,"$151,746.50","$160,502.15",2011-06-20,Residential
SC,COLUMBIA,"$252,398.14","$272,069.15",2011-06-23,Land
SC,COLUMBIA,"$343,266.16","$396,307.81",2011-06-24,Residential
SC,COLUMBIA,"$652,996.21","$957,388.50",2011-07-04,Industrial
SC,COLUMBIA,"$820,648.54","$810,463.29",2011-07-05,Residential
SC,COLUMBIA,"$401,280.21","$624,750.44",2011-07-08,Commercial 
SC,COLUMBIA,"$852,678.51","$914,390.78",2011-07-08,Commercial 
SC,COLUMBIA,"$501,232.97","$432,705.61",2011-07-12,Residential
SC,COLUMBIA,"$239,133.85","$338,173.52",2011-07-16,Land
SC,COLUMBIA,"$329,689.15","$311,010.23",2011-07-29,Land
SC,COLUMBIA,"$1,266,382.60","$1,604,075.15",2011-08-01,Industrial
SC,COLUMBIA,"$1,551,615.86","$1,660,691.17",2011-08-01,Industrial
SC,COLUMBIA,"$158,603.70","$136,635.20",2011-08-04,Industrial
SC,COLUMBIA,"$1,033,195.50","$1,441,301.11",2011-08-07,Industrial
SC,COLUMBIA,"$469,861.85","$806,128.50",2011-08-07,Land
SC,COLUMBIA,"$647,232.94","$627,278.58",2011-08-07,Industrial
SC,COLUMBIA,"$950,108.45","$1,428,186.82",2011-08-16,Commercial 
SC,COLUMBIA,"$214,585.88","$314,179.95",2011-08-24,Residential
