State,City,Investment,Revenue,Date,Property Type
TX,DALLAS,"$668,324.37","$605,816.25",2011-01-04,Land
TX,HOUSTON,"$224,291.62","$215,205.00",2011-01-06,Land
TX,HOUSTON,"$1,343,724.22","$1,066,642.50",2011-01-06,Industrial
TX,HOUSTON,"$2,242,094.01","$1,849,910.00",2011-01-09,Commercial 
TX,DALLAS,"$690,141.49","$920,065.00",2011-01-09,Residential
TX,DALLAS,"$340,703.95","$257,040.00",2011-01-12,Industrial
TX,DALLAS,"$248,306.73","$304,290.00",2011-01-14,Land
TX,DALLAS,"$1,602,380.93","$1,459,567.50",2011-01-19,Industrial
TX,HOUSTON,"$316,321.71","$291,435.00",2011-01-19,Residential
TX,DALLAS,"$120,389.51","$173,805.00",2011-01-21,Land
TX,DALLAS,"$426,653.31","$507,180.00",2011-01-26,Commercial 
TX,HOUSTON,"$760,315.25","$665,280.00",2011-01-27,Industrial
TX,HOUSTON,"$286,571.51","$219,080.00",2011-02-01,Commercial 
TX,DALLAS,"$530,850.19","$514,481.25",2011-02-03,Land
TX,HOUSTON,"$2,120,320.65","$1,524,040.00",2011-02-06,Commercial 
TX,DALLAS,"$426,054.33","$334,680.00",2011-02-09,Industrial
TX,HOUSTON,"$445,040.15","$388,550.00",2011-02-09,Residential
TX,DALLAS,"$184,991.23","$244,330.00",2011-02-11,Commercial 
TX,DALLAS,"$1,393,207.22","$1,117,290.00",2011-02-11,Commercial 
TX,DALLAS,"$1,059,321.97","$815,250.00",2011-02-14,Commercial 
TX,HOUSTON,"$254,358.97","$228,682.50",2011-02-15,Land
TX,HOUSTON,"$822,171.71","$668,422.50",2011-02-19,Industrial
TX,HOUSTON,"$787,378.57","$658,057.50",2011-02-21,Land
TX,HOUSTON,"$340,549.77","$501,221.25",2011-02-22,Land
TX,DALLAS,"$2,417,475.31","$1,827,580.00",2011-02-23,Commercial 
TX,HOUSTON,"$1,393,069.68","$1,190,250.00",2011-02-24,Commercial 
TX,DALLAS,"$903,290.15","$744,180.00",2011-03-04,Commercial 
TX,HOUSTON,"$245,164.14","$388,295.00",2011-03-07,Residential
TX,HOUSTON,"$256,496.61","$371,411.25",2011-03-12,Land
TX,DALLAS,"$1,233,187.13","$1,565,540.00",2011-03-13,Commercial 
TX,HOUSTON,"$675,876.70","$575,415.00",2011-03-14,Land
TX,DALLAS,"$276,248.68","$243,082.50",2011-03-19,Land
