State,City,Investment,Revenue,Date,Property Type
UT,SALT LAKE CITY,"$131,026.22","$116,317.50",2011-01-01,Land
UT,SALT LAKE CITY,"$740,396.36","$878,287.50",2011-01-02,Industrial
UT,SALT LAKE CITY,"$409,342.11","$346,790.00",2011-01-03,Residential
UT,SALT LAKE CITY,"$359,298.61","$491,505.00",2011-01-05,Residential
UT,SALT LAKE CITY,"$142,208.43","$126,750.00",2011-01-05,Land
UT,SALT LAKE CITY,"$432,194.06","$368,688.75",2011-01-06,Land
UT,SALT LAKE CITY,"$577,754.97","$505,955.00",2011-01-08,Residential
UT,SALT LAKE CITY,"$538,780.26","$507,506.25",2011-01-08,Land
UT,SALT LAKE CITY,"$452,430.55","$344,520.00",2011-01-09,Land
UT,SALT LAKE CITY,"$213,884.57","$274,728.75",2011-01-10,Land
UT,SALT LAKE CITY,"$886,986.32","$1,089,757.50",2011-01-12,Industrial
UT,SALT LAKE CITY,"$408,910.08","$595,485.00",2011-01-13,Residential
UT,SALT LAKE CITY,"$1,327,877.45","$1,547,440.00",2011-01-14,Commercial 
UT,SALT LAKE CITY,"$32,073.25","$29,020.00",2011-01-15,Residential
UT,SALT LAKE CITY,"$455,445.27","$439,860.00",2011-01-15,Residential
UT,SALT LAKE CITY,"$180,640.91","$201,468.75",2011-01-16,Land
UT,SALT LAKE CITY,"$332,106.20","$315,292.50",2011-01-16,Land
UT,SALT LAKE CITY,"$96,545.66","$82,875.00",2011-01-20,Industrial
UT,SALT LAKE CITY,"$942,693.07","$1,265,190.00",2011-01-27,Industrial
UT,SALT LAKE CITY,"$128,761.25","$111,625.00",2011-01-27,Residential
UT,SALT LAKE CITY,"$207,431.48","$288,307.50",2011-01-28,Industrial
UT,SALT LAKE CITY,"$230,144.67","$288,400.00",2011-01-29,Residential
UT,SALT LAKE CITY,"$1,080,021.26","$973,650.00",2011-01-29,Industrial
UT,SALT LAKE CITY,"$446,924.14","$614,362.50",2011-01-29,Industrial
UT,SALT LAKE CITY,"$67,206.64","$105,000.00",2011-01-30,Residential
UT,SALT LAKE CITY,"$198,963.47","$241,200.00",2011-01-31,Industrial
UT,SALT LAKE CITY,"$469,234.71","$598,995.00",2011-02-01,Industrial
UT,SALT LAKE CITY,"$1,542,549.63","$1,252,515.00",2011-02-03,Industrial
UT,SALT LAKE CITY,"$469,035.03","$449,167.50",2011-02-04,Land
UT,SALT LAKE CITY,"$114,165.00","$128,092.50",2011-02-04,Land
UT,SALT LAKE CITY,"$280,758.03","$248,797.50",2011-02-07,Industrial
UT,SALT LAKE CITY,"$746,960.23","$699,585.00",2011-02-08,Residential
UT,SALT LAKE CITY,"$108,536.98","$95,715.00",2011-02-10,Industrial
UT,SALT LAKE CITY,"$1,094,911.08","$1,385,560.00",2011-02-16,Commercial 
UT,SALT LAKE CITY,"$265,619.03","$218,846.25",2011-02-21,Land
UT,SALT LAKE CITY,"$97,051.16","$142,297.50",2011-02-22,Industrial
UT,SALT LAKE CITY,"$146,023.81","$135,120.00",2011-02-24,Land
UT,SALT LAKE CITY,"$1,099,752.71","$860,385.00",2011-02-25,Industrial
UT,SALT LAKE CITY,"$486,265.56","$444,100.00",2011-02-25,Residential
UT,SALT LAKE CITY,"$242,487.70","$233,715.00",2011-02-27,Industrial
UT,SALT LAKE CITY,"$566,423.12","$731,775.00",2011-03-01,Industrial
UT,SALT LAKE CITY,"$122,819.83","$119,295.00",2011-03-02,Residential
UT,SALT LAKE CITY,"$986,894.82","$936,485.00",2011-03-06,Residential
UT,SALT LAKE CITY,"$1,179,849.74","$999,705.00",2011-03-08,Industrial
UT,SALT LAKE CITY,"$1,088,460.48","$1,392,000.00",2011-03-09,Industrial
UT,SALT LAKE CITY,"$1,128,417.88","$897,820.00",2011-03-10,Commercial 
UT,SALT LAKE CITY,"$138,524.36","$184,110.00",2011-03-11,Industrial
UT,SALT LAKE CITY,"$1,539,447.44","$1,676,760.00",2011-03-12,Commercial 
UT,SALT LAKE CITY,"$1,078,953.99","$883,570.00",2011-03-12,Commercial 
UT,SALT LAKE CITY,"$108,532.08","$132,206.25",2011-03-12,Land
UT,SALT LAKE CITY,"$916,451.36","$803,587.50",2011-03-15,Industrial
UT,SALT LAKE CITY,"$2,143,351.02","$1,855,030.00",2011-03-16,Commercial 
UT,SALT LAKE CITY,"$331,595.20","$405,442.50",2011-03-18,Industrial
UT,SALT LAKE CITY,"$293,571.01","$283,680.00",2011-03-23,Industrial
UT,SALT LAKE CITY,"$221,360.74","$211,402.50",2011-03-24,Land
UT,SALT LAKE CITY,"$573,560.04","$913,270.00",2011-03-27,Residential
UT,SALT LAKE CITY,"$537,219.00","$657,993.75",2011-04-01,Land
UT,SALT LAKE CITY,"$166,448.51","$173,660.00",2011-04-02,Residential
UT,SALT LAKE CITY,"$112,978.62","$157,155.00",2011-04-02,Residential
