State,City,Investment,Revenue,Date,Property Type
WA,SPOKANE,"$751,303.12","$788,160.00",2011-01-04,Commercial 
WA,OLYMPIA,"$874,260.31","$831,980.00",2011-01-04,Residential
WA,OLYMPIA,"$363,715.83","$527,422.50",2011-01-10,Land
WA,BELLINGHAM,"$661,506.48","$504,420.00",2011-01-16,Industrial
WA,SEATTLE,"$2,367,612.42","$1,931,510.00",2011-01-17,Commercial 
WA,SPOKANE,"$230,246.06","$269,763.75",2011-01-18,Land
WA,BELLINGHAM,"$55,162.51","$73,563.75",2011-01-19,Land
WA,TACOMA,"$605,651.43","$734,096.25",2011-01-21,Land
WA,TACOMA,"$356,327.37","$440,805.00",2011-01-26,Residential
WA,SPOKANE,"$1,074,858.19","$975,285.00",2011-01-27,Residential
WA,SPOKANE,"$619,279.14","$855,712.50",2011-01-28,Industrial
WA,SEATTLE,"$431,299.49","$516,365.00",2011-01-28,Residential
WA,SPOKANE,"$141,257.75","$203,958.75",2011-01-29,Land
WA,TACOMA,"$283,937.37","$339,285.00",2011-01-30,Residential
WA,BELLINGHAM,"$722,597.05","$993,220.00",2011-01-31,Residential
WA,BELLINGHAM,"$957,681.94","$877,195.00",2011-02-02,Residential
WA,SEATTLE,"$499,052.56","$586,623.75",2011-02-07,Land
WA,TACOMA,"$74,284.93","$69,341.25",2011-02-09,Land
WA,TACOMA,"$1,539,028.46","$1,973,540.00",2011-02-11,Commercial 
WA,OLYMPIA,"$2,276,972.83","$1,930,310.00",2011-02-12,Commercial 
WA,SPOKANE,"$843,695.40","$732,427.50",2011-02-12,Land
WA,OLYMPIA,"$533,555.06","$441,622.50",2011-02-14,Industrial
WA,SEATTLE,"$530,832.46","$454,586.25",2011-02-14,Land
WA,SEATTLE,"$321,734.62","$328,170.00",2011-02-15,Residential
WA,SPOKANE,"$670,532.51","$592,730.00",2011-02-16,Residential
WA,TACOMA,"$637,959.53","$615,525.00",2011-02-17,Land
WA,SPOKANE,"$495,868.40","$558,731.25",2011-02-18,Land
WA,SPOKANE,"$1,275,688.68","$1,020,967.50",2011-02-19,Industrial
WA,TACOMA,"$115,597.56","$151,327.50",2011-02-21,Land
WA,BELLINGHAM,"$497,615.35","$554,767.50",2011-02-23,Land
WA,TACOMA,"$99,211.15","$147,145.00",2011-02-24,Residential
WA,TACOMA,"$1,148,447.70","$999,100.00",2011-02-26,Commercial 
WA,SPOKANE,"$532,046.95","$446,703.75",2011-02-28,Land
WA,BELLINGHAM,"$145,243.58","$134,945.00",2011-03-05,Residential
WA,OLYMPIA,"$67,820.99","$94,795.00",2011-03-07,Residential
WA,TACOMA,"$1,681,600.77","$1,889,220.00",2011-03-10,Commercial 
WA,OLYMPIA,"$94,593.87","$71,512.50",2011-03-10,Industrial
WA,TACOMA,"$778,291.35","$1,049,120.00",2011-03-12,Commercial 
WA,TACOMA,"$754,305.63","$931,402.50",2011-03-13,Industrial
WA,SEATTLE,"$296,873.65","$226,720.00",2011-03-14,Commercial 
WA,SPOKANE,"$694,813.39","$680,680.00",2011-03-15,Residential
WA,SEATTLE,"$347,267.10","$551,030.00",2011-03-19,Residential
WA,SEATTLE,"$135,628.95","$114,510.00",2011-03-19,Commercial 
WA,TACOMA,"$266,513.34","$332,182.50",2011-03-20,Industrial
WA,OLYMPIA,"$818,559.03","$1,069,830.00",2011-03-21,Industrial
WA,SPOKANE,"$1,524,821.70","$1,349,662.50",2011-03-21,Industrial
WA,TACOMA,"$131,471.60","$150,765.00",2011-03-23,Industrial
WA,BELLINGHAM,"$317,492.23","$256,046.25",2011-03-25,Land
WA,TACOMA,"$683,659.51","$620,775.00",2011-03-28,Land
WA,TACOMA,"$1,374,076.83","$1,160,190.00",2011-03-29,Industrial
WA,SPOKANE,"$921,328.68","$1,164,735.00",2011-03-29,Industrial
WA,SPOKANE,"$842,989.38","$1,034,340.00",2011-03-31,Commercial 
WA,SPOKANE,"$878,579.90","$790,605.00",2011-04-04,Residential
WA,SEATTLE,"$189,057.16","$185,290.00",2011-04-11,Residential
WA,SPOKANE,"$924,841.63","$1,242,015.00",2011-04-12,Industrial
WA,SEATTLE,"$722,755.28","$997,330.00",2011-04-12,Commercial 
WA,OLYMPIA,"$221,961.65","$180,280.00",2011-04-13,Commercial 
WA,SPOKANE,"$53,090.31","$78,780.00",2011-04-13,Residential
WA,SPOKANE,"$591,568.27","$806,160.00",2011-04-16,Industrial
WA,BELLINGHAM,"$581,206.98","$876,845.00",2011-04-17,Residential
WA,OLYMPIA,"$65,656.03","$52,713.75",2011-04-19,Land
WA,OLYMPIA,"$203,842.23","$154,421.25",2011-04-20,Land
WA,SEATTLE,"$772,107.87","$941,510.00",2011-04-22,Residential
WA,BELLINGHAM,"$899,938.58","$1,254,820.00",2011-04-26,Commercial 
WA,BELLINGHAM,"$70,163.01","$96,360.00",2011-04-27,Residential
WA,BELLINGHAM,"$396,134.01","$430,970.00",2011-05-01,Commercial 
WA,OLYMPIA,"$873,445.91","$903,745.00",2011-05-02,Residential
WA,OLYMPIA,"$603,506.70","$516,555.00",2011-05-03,Industrial
WA,BELLINGHAM,"$902,110.97","$1,017,270.00",2011-05-05,Commercial 
WA,TACOMA,"$826,421.04","$742,530.00",2011-05-06,Land
WA,TACOMA,"$249,976.25","$331,305.00",2011-05-12,Industrial
WA,SPOKANE,"$252,854.88","$340,192.50",2011-05-16,Land
WA,SPOKANE,"$1,755,773.70","$1,487,835.00",2011-05-18,Industrial
WA,SEATTLE,"$951,556.45","$727,030.00",2011-05-19,Commercial 
WA,TACOMA,"$1,600,168.58","$1,283,420.00",2011-05-24,Commercial 
WA,SPOKANE,"$801,237.57","$733,820.00",2011-05-25,Commercial 
WA,TACOMA,"$45,688.23","$57,862.50",2011-05-25,Land
WA,TACOMA,"$420,846.56","$505,612.50",2011-05-28,Land
WA,TACOMA,"$1,491,814.28","$1,337,182.50",2011-05-30,Industrial
WA,SPOKANE,"$705,341.40","$781,463.06",2011-06-03,Residential
WA,SPOKANE,"$858,533.28","$1,444,298.10",2011-06-03,Industrial
WA,SEATTLE,"$579,679.58","$577,465.63",2011-06-04,Commercial 
WA,OLYMPIA,"$272,611.88","$387,573.26",2011-06-10,Land
WA,TACOMA,"$1,056,346.30","$1,117,828.03",2011-06-13,Residential
WA,OLYMPIA,"$395,562.52","$456,009.34",2011-06-13,Land
WA,SEATTLE,"$1,552,121.15","$1,625,413.59",2011-06-18,Commercial 
WA,SEATTLE,"$1,253,251.84","$2,046,845.84",2011-06-20,Commercial 
WA,SPOKANE,"$358,649.30","$303,167.33",2011-06-20,Industrial
